,NOC,Sport,count
201,AUS,Short Track Speed Skating,54
202,AUS,Skeleton,8
203,AUS,Snowboarding,33
204,AUS,Softball,60
205,AUS,Speed Skating,63
206,AUS,Swimming,1235
207,AUS,Synchronized Swimming,57
208,AUS,Table Tennis,72
209,AUS,Taekwondo,22
210,AUS,Tennis,93
211,AUS,Trampolining,6
212,AUS,Triathlon,29
213,AUS,Volleyball,48
214,AUS,Water Polo,249
215,AUS,Weightlifting,78
216,AUS,Wrestling,101
217,AUT,Alpine Skiing,556
218,AUT,Archery,4
219,AUT,Art Competitions,199
220,AUT,Athletics,327
221,AUT,Badminton,9
222,AUT,Beach Volleyball,20
223,AUT,Biathlon,167
224,AUT,Bobsleigh,198
225,AUT,Boxing,37
226,AUT,Canoeing,120
227,AUT,Cross Country Skiing,241
228,AUT,Cycling,214
229,AUT,Diving,75
230,AUT,Equestrianism,110
231,AUT,Fencing,215
232,AUT,Figure Skating,101
233,AUT,Football,50
234,AUT,Freestyle Skiing,25
235,AUT,Golf,2
236,AUT,Gymnastics,365
237,AUT,Handball,66
238,AUT,Hockey,55
239,AUT,Ice Hockey,241
240,AUT,Judo,53
241,AUT,Luge,136
242,AUT,Modern Pentathlon,37
243,AUT,Nordic Combined,107
244,AUT,Rhythmic Gymnastics,6
245,AUT,Rowing,132
246,AUT,Sailing,127
247,AUT,Shooting,182
248,AUT,Short Track Speed Skating,5
249,AUT,Skeleton,11
250,AUT,Ski Jumping,167
251,AUT,Snowboarding,72
252,AUT,Speed Skating,163
253,AUT,Swimming,209
254,AUT,Synchronized Swimming,14
255,AUT,Table Tennis,55
256,AUT,Taekwondo,3
257,AUT,Tennis,39
258,AUT,Triathlon,13
259,AUT,Tug-Of-War,8
260,AUT,Water Polo,28
261,AUT,Weightlifting,82
262,AUT,Wrestling,95
263,AZE,Alpine Skiing,7
264,AZE,Archery,1
265,AZE,Athletics,21
266,AZE,Boxing,37
267,AZE,Canoeing,7
268,AZE,Cycling,6
269,AZE,Diving,2
270,AZE,Equestrianism,2
271,AZE,Fencing,4
272,AZE,Figure Skating,11
273,AZE,Gymnastics,18
274,AZE,Judo,29
275,AZE,Rhythmic Gymnastics,11
276,AZE,Rowing,4
277,AZE,Shooting,14
278,AZE,Swimming,11
279,AZE,Taekwondo,9
280,AZE,Triathlon,1
281,AZE,Weightlifting,21
282,AZE,Wrestling,67
283,BAH,Athletics,251
284,BAH,Boxing,7
285,BAH,Cycling,2
286,BAH,Diving,1
287,BAH,Rowing,1
288,BAH,Sailing,54
289,BAH,Swimming,43
290,BAH,Tennis,13
291,BAH,Wrestling,2
292,BAN,Archery,2
293,BAN,Athletics,28
294,BAN,Golf,1
295,BAN,Gymnastics,3
296,BAN,Shooting,8
297,BAN,Swimming,13
298,BAR,Athletics,109
299,BAR,Boxing,9
300,BAR,Cycling,24
301,BAR,Diving,1
302,BAR,Gymnastics,7
303,BAR,Judo,5
304,BAR,Sailing,15
305,BAR,Shooting,8
306,BAR,Swimming,36
307,BAR,Synchronized Swimming,1
308,BAR,Tennis,1
309,BAR,Triathlon,1
310,BAR,Weightlifting,2
311,BDI,Athletics,30
312,BDI,Judo,2
313,BDI,Swimming,7
314,BEL,Alpine Skiing,48
315,BEL,Archery,81
316,BEL,Art Competitions,171
317,BEL,Athletics,519
318,BEL,Badminton,6
319,BEL,Basketball,34
320,BEL,Beach Volleyball,2
321,BEL,Bobsleigh,56
322,BEL,Boxing,57
323,BEL,Canoeing,96
324,BEL,Cycling,340
325,BEL,Diving,12
326,BEL,Equestrianism,206
327,BEL,Fencing,344
328,BEL,Figure Skating,23
329,BEL,Football,67
