,NOC,Sport,count
995,DOM,Taekwondo,6
996,DOM,Tennis,2
997,DOM,Volleyball,24
998,DOM,Weightlifting,21
999,DOM,Wrestling,7
1000,ECU,Athletics,83
1001,ECU,Boxing,24
1002,ECU,Canoeing,2
1003,ECU,Cycling,26
1004,ECU,Diving,2
1005,ECU,Equestrianism,3
1006,ECU,Gymnastics,21
1007,ECU,Judo,17
1008,ECU,Rowing,1
1009,ECU,Sailing,1
1010,ECU,Shooting,16
1011,ECU,Swimming,46
1012,ECU,Table Tennis,1
1013,ECU,Taekwondo,1
1014,ECU,Tennis,6
1015,ECU,Triathlon,2
1016,ECU,Weightlifting,16
1017,ECU,Wrestling,9
1018,EGY,Alpine Skiing,3
1019,EGY,Archery,11
1020,EGY,Art Competitions,3
1021,EGY,Athletics,63
1022,EGY,Badminton,2
1023,EGY,Basketball,77
1024,EGY,Beach Volleyball,2
1025,EGY,Boxing,81
1026,EGY,Canoeing,4
1027,EGY,Cycling,13
1028,EGY,Diving,30
1029,EGY,Equestrianism,19
1030,EGY,Fencing,181
1031,EGY,Football,142
1032,EGY,Gymnastics,169
1033,EGY,Handball,88
1034,EGY,Hockey,32
1035,EGY,Judo,38
1036,EGY,Modern Pentathlon,30
1037,EGY,Rhythmic Gymnastics,2
1038,EGY,Rowing,50
1039,EGY,Sailing,3
1040,EGY,Shooting,84
1041,EGY,Swimming,101
1042,EGY,Synchronized Swimming,40
1043,EGY,Table Tennis,35
1044,EGY,Taekwondo,15
1045,EGY,Volleyball,60
1046,EGY,Water Polo,51
1047,EGY,Weightlifting,86
1048,EGY,Wrestling,107
1049,ERI,Athletics,41
1050,ERI,Cycling,2
1051,ESA,Archery,2
1052,ESA,Art Competitions,4
1053,ESA,Athletics,37
1054,ESA,Boxing,2
1055,ESA,Cycling,17
1056,ESA,Football,18
1057,ESA,Judo,10
1058,ESA,Rowing,3
1059,ESA,Sailing,4
1060,ESA,Shooting,24
1061,ESA,Swimming,83
1062,ESA,Tennis,1
1063,ESA,Weightlifting,8
1064,ESA,Wrestling,5
1065,ESP,Alpine Skiing,218
1066,ESP,Archery,36
1067,ESP,Art Competitions,3
1068,ESP,Athletics,637
1069,ESP,Badminton,11
1070,ESP,Baseball,20
1071,ESP,Basketball,191
1072,ESP,Basque Pelota,2
1073,ESP,Beach Volleyball,18
1074,ESP,Biathlon,13
1075,ESP,Bobsleigh,18
1076,ESP,Boxing,72
1077,ESP,Canoeing,192
1078,ESP,Cross Country Skiing,108
1079,ESP,Cycling,232
1080,ESP,Diving,37
1081,ESP,Equestrianism,203
1082,ESP,Fencing,140
1083,ESP,Figure Skating,11
1084,ESP,Football,164
1085,ESP,Freestyle Skiing,7
1086,ESP,Golf,4
1087,ESP,Gymnastics,633
1088,ESP,Handball,206
1089,ESP,Hockey,366
1090,ESP,Judo,75
1091,ESP,Luge,6
1092,ESP,Modern Pentathlon,30
1093,ESP,Polo,11
1094,ESP,Rhythmic Gymnastics,49
1095,ESP,Rowing,135
1096,ESP,Rugby Sevens,25
1097,ESP,Sailing,198
1098,ESP,Shooting,218
1099,ESP,Skeleton,2
1100,ESP,Ski Jumping,7
1101,ESP,Snowboarding,16
1102,ESP,Swimming,438
1103,ESP,Synchronized Swimming,49
1104,ESP,Table Tennis,25
1105,ESP,Taekwondo,17
1106,ESP,Tennis,124
1107,ESP,Triathlon,26
1108,ESP,Volleyball,36
1109,ESP,Water Polo,210
1110,ESP,Weightlifting,34
1111,ESP,Wrestling,40
1112,EST,Alpine Skiing,13
1113,EST,Archery,4
1114,EST,Athletics,125
1115,EST,Badminton,5
1116,EST,Basketball,8
1117,EST,Beach Volleyball,4
1118,EST,Biathlon,140
1119,EST,Boxing,4
1120,EST,Canoeing,6
1121,EST,Cross Country Skiing,197
1122,EST,Cycling,31
1123,EST,Fencing,31
1124,EST,Figure Skating,16
1125,EST,Football,11
1126,EST,Judo,9
1127,EST,Luge,3
1128,EST,Modern Pentathlon,3
1129,EST,Nordic Combined,34
1130,EST,Rhythmic Gymnastics,1
1131,EST,Rowing,36
1132,EST,Sailing,31
1133,EST,Shooting,12
1134,EST,Ski Jumping,12
1135,EST,Speed Skating,10
1136,EST,Swimming,47
1137,EST,Table Tennis,1
1138,EST,Tennis,7
1139,EST,Triathlon,3
1140,EST,Weightlifting,20
1141,EST,Wrestling,52
1142,ETH,Athletics,289
1143,ETH,Boxing,27
1144,ETH,Cross Country Skiing,2
1145,ETH,Cycling,56
1146,ETH,Swimming,4
1147,EUN,Alpine Skiing,19
1148,EUN,Archery,12
1149,EUN,Athletics,114
1150,EUN,Badminton,2
1151,EUN,Basketball,24
1152,EUN,Biathlon,23
1153,EUN,Bobsleigh,12
1154,EUN,Boxing,12
1155,EUN,Canoeing,23
1156,EUN,Cross Country Skiing,40
1157,EUN,Cycling,21
1158,EUN,Diving,8
1159,EUN,Equestrianism,15
1160,EUN,Fencing,32
1161,EUN,Figure Skating,17
1162,EUN,Freestyle Skiing,8
1163,EUN,Gymnastics,84
1164,EUN,Handball,25
1165,EUN,Hockey,15
1166,EUN,Ice Hockey,22
1167,EUN,Judo,13
1168,EUN,Luge,10
1169,EUN,Modern Pentathlon,6
1170,EUN,Nordic Combined,7
1171,EUN,Rhythmic Gymnastics,2
1172,EUN,Rowing,47
1173,EUN,Sailing,14
1174,EUN,Shooting,28
1175,EUN,Short Track Speed Skating,8
1176,EUN,Ski Jumping,12
1177,EUN,Speed Skating,36
1178,EUN,Swimming,67
1179,EUN,Synchronized Swimming,5
1180,EUN,Table Tennis,11
1181,EUN,Tennis,7
1182,EUN,Volleyball,20
1183,EUN,Water Polo,13
1184,EUN,Weightlifting,10
1185,EUN,Wrestling,20
1186,FIJ,Alpine Skiing,2
1187,FIJ,Archery,3
1188,FIJ,Athletics,65
1189,FIJ,Boxing,5
1190,FIJ,Cross Country Skiing,2
1191,FIJ,Cycling,1
1192,FIJ,Football,16
1193,FIJ,Judo,17
1194,FIJ,Rugby Sevens,26
1195,FIJ,Sailing,22
1196,FIJ,Shooting,4
1197,FIJ,Swimming,60
1198,FIJ,Table Tennis,1
1199,FIJ,Weightlifting,8
1200,FIN,Alpine Skiing,87
1201,FIN,Archery,45
1202,FIN,Art Competitions,9
1203,FIN,Athletics,912
1204,FIN,Badminton,14
1205,FIN,Basketball,23
1206,FIN,Biathlon,175
1207,FIN,Boxing,72
1208,FIN,Canoeing,100
1209,FIN,Cross Country Skiing,590
1210,FIN,Curling,9
1211,FIN,Cycling,123
1212,FIN,Diving,49
1213,FIN,Equestrianism,57
1214,FIN,Fencing,61
1215,FIN,Figure Skating,29
1216,FIN,Football,51
1217,FIN,Freestyle Skiing,34
1218,FIN,Golf,4
1219,FIN,Gymnastics,714
1220,FIN,Hockey,11
1221,FIN,Ice Hockey,420
1222,FIN,Judo,27
1223,FIN,Military Ski Patrol,4
1224,FIN,Modern Pentathlon,68
1225,FIN,Nordic Combined,117
1226,FIN,Rhythmic Gymnastics,4
1227,FIN,Rowing,93
1228,FIN,Sailing,177
1229,FIN,Shooting,347
1230,FIN,Ski Jumping,168
1231,FIN,Snowboarding,35
1232,FIN,Speed Skating,244
1233,FIN,Swimming,237
1234,FIN,Synchronized Swimming,1
1235,FIN,Table Tennis,1
1236,FIN,Taekwondo,5
1237,FIN,Tennis,11
1238,FIN,Weightlifting,65
1239,FIN,Wrestling,274
1240,FRA,Alpine Skiing,476
1241,FRA,Archery,151
1242,FRA,Art Competitions,366
1243,FRA,Athletics,1500
1244,FRA,Badminton,20
1245,FRA,Basketball,147
1246,FRA,Beach Volleyball,10
1247,FRA,Biathlon,277
1248,FRA,Bobsleigh,152
1249,FRA,Boxing,172
1250,FRA,Canoeing,280
1251,FRA,Cricket,3
1252,FRA,Croquet,19
1253,FRA,Cross Country Skiing,383
1254,FRA,Curling,14
1255,FRA,Cycling,679
1256,FRA,Diving,80
1257,FRA,Equestrianism,463
1258,FRA,Fencing,982
1259,FRA,Figure Skating,130
1260,FRA,Football,212
1261,FRA,Freestyle Skiing,63
1262,FRA,Golf,11
1263,FRA,Gymnastics,1576
1264,FRA,Handball,181
1265,FRA,Hockey,135
1266,FRA,Ice Hockey,169
1267,FRA,Judo,135
1268,FRA,Luge,20
1269,FRA,Military Ski Patrol,4
1270,FRA,Modern Pentathlon,93
1271,FRA,Motorboating,1
1272,FRA,Nordic Combined,89
1273,FRA,Polo,13
1274,FRA,Rhythmic Gymnastics,20
1275,FRA,Rowing,531
1276,FRA,Rugby,49
1277,FRA,Rugby Sevens,25
1278,FRA,Sailing,483
1279,FRA,Shooting,594
1280,FRA,Short Track Speed Skating,74
1281,FRA,Skeleton,5
1282,FRA,Ski Jumping,96
1283,FRA,Snowboarding,73
1284,FRA,Speed Skating,109
1285,FRA,Swimming,887
1286,FRA,Synchronized Swimming,41
1287,FRA,Table Tennis,44
1288,FRA,Taekwondo,14
1289,FRA,Tennis,174
1290,FRA,Trampolining,6
1291,FRA,Triathlon,26
1292,FRA,Tug-Of-War,5
1293,FRA,Volleyball,46
1294,FRA,Water Polo,125
1295,FRA,Weightlifting,129
1296,FRA,Wrestling,196
1297,FRG,Alpine Skiing,146
1298,FRG,Archery,24
1299,FRG,Athletics,392
1300,FRG,Basketball,24
1301,FRG,Biathlon,49
1302,FRG,Bobsleigh,72
1303,FRG,Boxing,37
1304,FRG,Canoeing,104
1305,FRG,Cross Country Skiing,128
1306,FRG,Cycling,93
1307,FRG,Diving,39
1308,FRG,Equestrianism,107
1309,FRG,Fencing,153
1310,FRG,Figure Skating,45
1311,FRG,Football,51
1312,FRG,Gymnastics,394
1313,FRG,Handball,58
1314,FRG,Hockey,115
1315,FRG,Ice Hockey,119
1316,FRG,Judo,26
1317,FRG,Luge,56
1318,FRG,Modern Pentathlon,30
1319,FRG,Nordic Combined,25
1320,FRG,Rhythmic Gymnastics,4
1321,FRG,Rowing,178
1322,FRG,Sailing,64
1323,FRG,Shooting,81
1324,FRG,Ski Jumping,39
1325,FRG,Speed Skating,78
1326,FRG,Swimming,356
1327,FRG,Synchronized Swimming,10
1328,FRG,Table Tennis,10
1329,FRG,Tennis,9
1330,FRG,Volleyball,34
1331,FRG,Water Polo,58
1332,FRG,Weightlifting,31
1333,FRG,Wrestling,76
1334,FSM,Athletics,10
1335,FSM,Boxing,1
1336,FSM,Swimming,10
1337,FSM,Weightlifting,4
1338,FSM,Wrestling,1
1339,GAB,Athletics,22
1340,GAB,Boxing,12
1341,GAB,Football,15
1342,GAB,Judo,10
1343,GAB,Swimming,1
1344,GAB,Taekwondo,3
1345,GAM,Athletics,50
1346,GAM,Boxing,1
1347,GAM,Judo,1
1348,GAM,Swimming,1
1349,GAM,Wrestling,3
1350,GBR,Alpine Skiing,338
1351,GBR,Alpinism,12
1352,GBR,Archery,133
1353,GBR,Art Competitions,339
1354,GBR,Athletics,2244
1355,GBR,Badminton,83
1356,GBR,Basketball,37
1357,GBR,Beach Volleyball,6
1358,GBR,Biathlon,106
1359,GBR,Bobsleigh,210
1360,GBR,Boxing,224
1361,GBR,Canoeing,262
1362,GBR,Cricket,21
1363,GBR,Cross Country Skiing,130
1364,GBR,Curling,52
1365,GBR,Cycling,634
1366,GBR,Diving,221
1367,GBR,Equestrianism,378
1368,GBR,Fencing,590
1369,GBR,Figure Skating,174
1370,GBR,Football,161
1371,GBR,Freestyle Skiing,22
1372,GBR,Golf,11
1373,GBR,Gymnastics,1127
1374,GBR,Handball,28
1375,GBR,Hockey,422
1376,GBR,Ice Hockey,48
1377,GBR,Jeu De Paume,9
1378,GBR,Judo,111
1379,GBR,Lacrosse,12
1380,GBR,Luge,45
1381,GBR,Modern Pentathlon,106
1382,GBR,Motorboating,16
1383,GBR,Nordic Combined,1
1384,GBR,Polo,30
1385,GBR,Racquets,12
1386,GBR,Rhythmic Gymnastics,13
1387,GBR,Rowing,708
1388,GBR,Rugby,30
1389,GBR,Rugby Sevens,24
1390,GBR,Sailing,335
1391,GBR,Shooting,471
1392,GBR,Short Track Speed Skating,70
1393,GBR,Skeleton,18
1394,GBR,Ski Jumping,4
1395,GBR,Snowboarding,16
1396,GBR,Speed Skating,114
1397,GBR,Swimming,1291
1398,GBR,Synchronized Swimming,30
1399,GBR,Table Tennis,34
1400,GBR,Taekwondo,17
1401,GBR,Tennis,191
1402,GBR,Trampolining,9
1403,GBR,Triathlon,29
1404,GBR,Tug-Of-War,40
1405,GBR,Volleyball,24
1406,GBR,Water Polo,107
1407,GBR,Weightlifting,128
1408,GBR,Wrestling,198
1409,GBS,Athletics,12
1410,GBS,Judo,1
1411,GBS,Wrestling,8
1412,GDR,Alpine Skiing,3
1413,GDR,Athletics,366
1414,GDR,Biathlon,55
1415,GDR,Bobsleigh,48
1416,GDR,Boxing,45
1417,GDR,Canoeing,99
1418,GDR,Cross Country Skiing,143
1419,GDR,Cycling,74
1420,GDR,Diving,43
1421,GDR,Equestrianism,28
1422,GDR,Fencing,50
1423,GDR,Figure Skating,45
1424,GDR,Football,51
1425,GDR,Gymnastics,420
1426,GDR,Handball,71
1427,GDR,Hockey,14
1428,GDR,Ice Hockey,18
1429,GDR,Judo,21
1430,GDR,Luge,62
1431,GDR,Modern Pentathlon,6
1432,GDR,Nordic Combined,24
1433,GDR,Rowing,205
1434,GDR,Sailing,47
1435,GDR,Shooting,71
1436,GDR,Ski Jumping,43
1437,GDR,Speed Skating,100
1438,GDR,Swimming,334
1439,GDR,Volleyball,60
1440,GDR,Water Polo,11
1441,GDR,Weightlifting,31
1442,GDR,Wrestling,57
1443,GEO,Alpine Skiing,24
1444,GEO,Archery,18
1445,GEO,Athletics,18
1446,GEO,Beach Volleyball,4
1447,GEO,Boxing,11
1448,GEO,Canoeing,1
1449,GEO,Cycling,1
1450,GEO,Diving,3
1451,GEO,Fencing,2
1452,GEO,Figure Skating,7
1453,GEO,Gymnastics,24
1454,GEO,Judo,41
1455,GEO,Luge,2
1456,GEO,Modern Pentathlon,1
1457,GEO,Rhythmic Gymnastics,3
1458,GEO,Sailing,2
1459,GEO,Shooting,19
1460,GEO,Ski Jumping,6
1461,GEO,Swimming,7
1462,GEO,Tennis,4
1463,GEO,Trampolining,5
1464,GEO,Weightlifting,16
1465,GEO,Wrestling,67
1466,GEQ,Athletics,37
1467,GEQ,Judo,1
1468,GEQ,Swimming,2
1469,GER,Alpine Skiing,255
1470,GER,Alpinism,2
1471,GER,Archery,38
1472,GER,Art Competitions,356
1473,GER,Athletics,1254
1474,GER,Badminton,50
1475,GER,Basketball,34
1476,GER,Beach Volleyball,42
1477,GER,Biathlon,233
1478,GER,Bobsleigh,182
1479,GER,Boxing,108
1480,GER,Canoeing,281
1481,GER,Cross Country Skiing,348
1482,GER,Curling,40
1483,GER,Cycling,416
1484,GER,Diving,159
1485,GER,Equestrianism,301
1486,GER,Fencing,382
1487,GER,Figure Skating,109
1488,GER,Football,193
1489,GER,Freestyle Skiing,29
1490,GER,Golf,4
1491,GER,Gymnastics,994
1492,GER,Handball,158
1493,GER,Hockey,330
1494,GER,Ice Hockey,297
1495,GER,Judo,88
1496,GER,Luge,85
1497,GER,Modern Pentathlon,51
1498,GER,Nordic Combined,92
1499,GER,Polo,4
1500,GER,Rhythmic Gymnastics,31
1501,GER,Rowing,526
1502,GER,Rugby,15
1503,GER,Sailing,181
1504,GER,Shooting,250
1505,GER,Short Track Speed Skating,63
1506,GER,Skeleton,19
1507,GER,Ski Jumping,116
1508,GER,Snowboarding,54
1509,GER,Speed Skating,289
1510,GER,Swimming,711
1511,GER,Synchronized Swimming,4
1512,GER,Table Tennis,74
1513,GER,Taekwondo,11
1514,GER,Tennis,84
1515,GER,Trampolining,9
1516,GER,Triathlon,23
1517,GER,Tug-Of-War,9
1518,GER,Volleyball,60
1519,GER,Water Polo,123
1520,GER,Weightlifting,95
1521,GER,Wrestling,168
1522,GHA,Alpine Skiing,1
1523,GHA,Athletics,190
1524,GHA,Boxing,56
1525,GHA,Football,98
1526,GHA,Judo,2
1527,GHA,Swimming,2
1528,GHA,Table Tennis,8
1529,GHA,Weightlifting,2
1530,GRE,Alpine Skiing,100
1531,GRE,Archery,17
1532,GRE,Art Competitions,9
1533,GRE,Athletics,668
1534,GRE,Badminton,2
1535,GRE,Baseball,23
1536,GRE,Basketball,60
1537,GRE,Beach Volleyball,14
1538,GRE,Biathlon,17
1539,GRE,Bobsleigh,10
1540,GRE,Boxing,33
1541,GRE,Canoeing,15
1542,GRE,Cross Country Skiing,50
1543,GRE,Cycling,82
1544,GRE,Diving,26
1545,GRE,Equestrianism,12
1546,GRE,Fencing,149
1547,GRE,Football,78
1548,GRE,Golf,1
1549,GRE,Gymnastics,139
1550,GRE,Handball,30
1551,GRE,Judo,24
1552,GRE,Luge,3
1553,GRE,Modern Pentathlon,5
1554,GRE,Rhythmic Gymnastics,40
1555,GRE,Rowing,194
1556,GRE,Sailing,141
1557,GRE,Shooting,388
1558,GRE,Skeleton,3
1559,GRE,Ski Jumping,2
1560,GRE,Snowboarding,3
1561,GRE,Softball,14
1562,GRE,Swimming,242
1563,GRE,Synchronized Swimming,20
1564,GRE,Table Tennis,21
1565,GRE,Taekwondo,11
1566,GRE,Tennis,68
1567,GRE,Trampolining,1
1568,GRE,Triathlon,3
1569,GRE,Tug-Of-War,13
1570,GRE,Volleyball,24
1571,GRE,Water Polo,200
1572,GRE,Weightlifting,83
1573,GRE,Wrestling,143
1574,GRN,Athletics,38
1575,GRN,Boxing,9
1576,GRN,Swimming,6
1577,GRN,Taekwondo,1
1578,GUA,Alpine Skiing,11
1579,GUA,Art Competitions,1
1580,GUA,Athletics,76
1581,GUA,Badminton,5
1582,GUA,Boxing,7
1583,GUA,Canoeing,1
1584,GUA,Cross Country Skiing,4
1585,GUA,Cycling,35
1586,GUA,Equestrianism,6
1587,GUA,Fencing,7
1588,GUA,Football,53
1589,GUA,Gymnastics,18
1590,GUA,Judo,5
1591,GUA,Modern Pentathlon,6
1592,GUA,Rowing,3
1593,GUA,Sailing,9
1594,GUA,Shooting,51
1595,GUA,Swimming,85
1596,GUA,Taekwondo,5
1597,GUA,Weightlifting,13
1598,GUA,Wrestling,24
1599,GUI,Athletics,29
1600,GUI,Boxing,7
1601,GUI,Football,15
1602,GUI,Judo,11
1603,GUI,Swimming,8
1604,GUI,Taekwondo,1
1605,GUI,Wrestling,2
1606,GUM,Archery,1
1607,GUM,Athletics,20
1608,GUM,Biathlon,1
1609,GUM,Boxing,1
1610,GUM,Canoeing,2
1611,GUM,Cycling,18
1612,GUM,Judo,7
1613,GUM,Sailing,8
1614,GUM,Swimming,44
1615,GUM,Weightlifting,4
1616,GUM,Wrestling,6
1617,GUY,Athletics,53
1618,GUY,Boxing,18
1619,GUY,Cycling,16
1620,GUY,Judo,1
1621,GUY,Swimming,6
1622,GUY,Weightlifting,8
1623,HAI,Art Competitions,1
1624,HAI,Athletics,59
1625,HAI,Boxing,6
1626,HAI,Fencing,5
1627,HAI,Judo,14
1628,HAI,Rugby,1
1629,HAI,Shooting,9
1630,HAI,Swimming,3
1631,HAI,Taekwondo,2
1632,HAI,Tennis,3
1633,HAI,Weightlifting,2
1634,HAI,Wrestling,1
1635,HKG,Archery,11
1636,HKG,Athletics,36
1637,HKG,Badminton,36
1638,HKG,Boxing,2
1639,HKG,Canoeing,27
1640,HKG,Cycling,54
1641,HKG,Diving,7
1642,HKG,Equestrianism,6
1643,HKG,Fencing,68
1644,HKG,Golf,1
1645,HKG,Gymnastics,9
1646,HKG,Hockey,17
1647,HKG,Judo,17
1648,HKG,Rowing,21
1649,HKG,Sailing,39
1650,HKG,Shooting,35
1651,HKG,Short Track Speed Skating,12
1652,HKG,Swimming,205
1653,HKG,Table Tennis,78
1654,HKG,Triathlon,3
1655,HKG,Weightlifting,1
1656,HON,Athletics,30
1657,HON,Boxing,6
1658,HON,Cross Country Skiing,3
1659,HON,Fencing,1
1660,HON,Football,68
1661,HON,Judo,7
1662,HON,Rowing,1
1663,HON,Shooting,1
1664,HON,Swimming,65
1665,HON,Table Tennis,1
1666,HON,Taekwondo,2
1667,HON,Weightlifting,3
1668,HON,Wrestling,1
1669,HUN,Alpine Skiing,99
1670,HUN,Archery,14
1671,HUN,Art Competitions,87
1672,HUN,Athletics,767
1673,HUN,Badminton,7
1674,HUN,Basketball,61
1675,HUN,Biathlon,67
1676,HUN,Bobsleigh,19
1677,HUN,Boxing,110
1678,HUN,Canoeing,306
1679,HUN,Cross Country Skiing,51
1680,HUN,Cycling,121
1681,HUN,Diving,39
1682,HUN,Equestrianism,84
1683,HUN,Fencing,628
1684,HUN,Figure Skating,61
1685,HUN,Football,132
1686,HUN,Gymnastics,1242
1687,HUN,Handball,205
1688,HUN,Hockey,15
1689,HUN,Ice Hockey,40
1690,HUN,Judo,76
1691,HUN,Modern Pentathlon,93
1692,HUN,Nordic Combined,6
1693,HUN,Polo,5
1694,HUN,Rhythmic Gymnastics,7
1695,HUN,Rowing,194
1696,HUN,Sailing,77
1697,HUN,Shooting,298
1698,HUN,Short Track Speed Skating,56
1699,HUN,Ski Jumping,11
1700,HUN,Speed Skating,68
1701,HUN,Swimming,719
1702,HUN,Synchronized Swimming,4
1703,HUN,Table Tennis,36
1704,HUN,Taekwondo,1
1705,HUN,Tennis,60
1706,HUN,Triathlon,12
1707,HUN,Volleyball,47
1708,HUN,Water Polo,304
1709,HUN,Weightlifting,99
1710,HUN,Wrestling,279
1711,INA,Archery,38
1712,INA,Athletics,44
1713,INA,Badminton,98
1714,INA,Beach Volleyball,4
1715,INA,Boxing,21
1716,INA,Canoeing,7
1717,INA,Cycling,12
1718,INA,Diving,4
1719,INA,Fencing,11
1720,INA,Football,13
1721,INA,Judo,9
1722,INA,Rowing,3
1723,INA,Sailing,14
1724,INA,Shooting,9
1725,INA,Swimming,42
1726,INA,Table Tennis,11
1727,INA,Taekwondo,3
1728,INA,Tennis,18
1729,INA,Weightlifting,49
1730,INA,Wrestling,2
1731,IND,Alpine Skiing,16
1732,IND,Alpinism,7
1733,IND,Archery,56
1734,IND,Art Competitions,2
1735,IND,Athletics,269
1736,IND,Badminton,27
1737,IND,Basketball,12
1738,IND,Boxing,56
1739,IND,Cross Country Skiing,3
1740,IND,Cycling,40
1741,IND,Diving,2
1742,IND,Equestrianism,10
1743,IND,Football,51
1744,IND,Golf,3
1745,IND,Gymnastics,88
1746,IND,Hockey,345
1747,IND,Judo,15
1748,IND,Luge,4
1749,IND,Rowing,10
1750,IND,Sailing,12
1751,IND,Shooting,105
1752,IND,Swimming,36
1753,IND,Table Tennis,26
1754,IND,Tennis,50
1755,IND,Water Polo,19
1756,IND,Weightlifting,40
1757,IND,Wrestling,104
1758,IOA,Athletics,13
1759,IOA,Boxing,1
1760,IOA,Canoeing,7
1761,IOA,Cycling,8
1762,IOA,Fencing,2
1763,IOA,Judo,5
1764,IOA,Luge,1
1765,IOA,Rhythmic Gymnastics,2
1766,IOA,Rowing,2
1767,IOA,Sailing,1
1768,IOA,Shooting,19
1769,IOA,Swimming,10
1770,IOA,Synchronized Swimming,5
1771,IOA,Table Tennis,7
1772,IOA,Tennis,1
1773,IOA,Weightlifting,1
1774,IOA,Wrestling,9
1775,IRI,Alpine Skiing,72
1776,IRI,Archery,5
1777,IRI,Athletics,61
1778,IRI,Badminton,1
1779,IRI,Basketball,25
1780,IRI,Boxing,55
1781,IRI,Canoeing,6
1782,IRI,Cross Country Skiing,5
1783,IRI,Cycling,70
1784,IRI,Diving,1
1785,IRI,Equestrianism,1
1786,IRI,Fencing,56
1787,IRI,Football,48
1788,IRI,Gymnastics,12
1789,IRI,Judo,18
1790,IRI,Rowing,5
1791,IRI,Shooting,33
1792,IRI,Swimming,6
1793,IRI,Table Tennis,9
1794,IRI,Taekwondo,14
1795,IRI,Volleyball,12
1796,IRI,Water Polo,11
1797,IRI,Weightlifting,74
1798,IRI,Wrestling,189
1799,IRL,Alpine Skiing,17
1800,IRL,Archery,11
1801,IRL,Art Competitions,42
1802,IRL,Athletics,300
1803,IRL,Badminton,7
1804,IRL,Basketball,13
1805,IRL,Bobsleigh,16
1806,IRL,Boxing,124
1807,IRL,Canoeing,48
1808,IRL,Cross Country Skiing,4
1809,IRL,Cycling,73
1810,IRL,Diving,2
1811,IRL,Equestrianism,183
1812,IRL,Fencing,53
1813,IRL,Football,23
1814,IRL,Golf,4
1815,IRL,Gymnastics,18
1816,IRL,Hockey,16
1817,IRL,Judo,16
1818,IRL,Modern Pentathlon,10
1819,IRL,Rowing,66
1820,IRL,Sailing,86
1821,IRL,Shooting,25
1822,IRL,Skeleton,4
1823,IRL,Snowboarding,2
1824,IRL,Swimming,112
1825,IRL,Tennis,19
1826,IRL,Triathlon,5
1827,IRL,Water Polo,14
1828,IRL,Weightlifting,3
1829,IRL,Wrestling,9
1830,IRQ,Archery,1
1831,IRQ,Athletics,50
1832,IRQ,Basketball,10
1833,IRQ,Boxing,22
1834,IRQ,Cycling,3
1835,IRQ,Football,80
1836,IRQ,Judo,2
1837,IRQ,Rowing,3
1838,IRQ,Shooting,3
1839,IRQ,Swimming,4
1840,IRQ,Table Tennis,1
1841,IRQ,Taekwondo,1
1842,IRQ,Weightlifting,29
1843,IRQ,Wrestling,23
1844,ISL,Alpine Skiing,145
1845,ISL,Art Competitions,1
1846,ISL,Athletics,117
1847,ISL,Badminton,8
1848,ISL,Cross Country Skiing,53
1849,ISL,Gymnastics,25
1850,ISL,Handball,102
1851,ISL,Judo,15
1852,ISL,Sailing,6
1853,ISL,Shooting,4
1854,ISL,Ski Jumping,3
1855,ISL,Swimming,131
1856,ISL,Water Polo,8
1857,ISL,Weightlifting,7
1858,ISL,Wrestling,2
1859,ISR,Alpine Skiing,4
1860,ISR,Athletics,84
1861,ISR,Badminton,2
1862,ISR,Basketball,12
1863,ISR,Boxing,5
1864,ISR,Canoeing,15
1865,ISR,Cycling,4
1866,ISR,Diving,3
1867,ISR,Fencing,21
1868,ISR,Figure Skating,17
1869,ISR,Football,32
1870,ISR,Golf,1
1871,ISR,Gymnastics,90
1872,ISR,Judo,32
1873,ISR,Rhythmic Gymnastics,25
1874,ISR,Sailing,55
1875,ISR,Shooting,64
1876,ISR,Short Track Speed Skating,6
1877,ISR,Swimming,131
1878,ISR,Synchronized Swimming,8
1879,ISR,Table Tennis,1
1880,ISR,Taekwondo,3
1881,ISR,Tennis,20
1882,ISR,Triathlon,1
1883,ISR,Weightlifting,12
1884,ISR,Wrestling,17
1885,ISV,Alpine Skiing,9
1886,ISV,Athletics,61
1887,ISV,Bobsleigh,38
1888,ISV,Boxing,10
1889,ISV,Cycling,2
1890,ISV,Equestrianism,4
1891,ISV,Fencing,5
1892,ISV,Luge,8
1893,ISV,Sailing,48
1894,ISV,Shooting,23
1895,ISV,Swimming,81
1896,ISV,Weightlifting,1
1897,ISV,Wrestling,4
1898,ITA,Alpine Skiing,498
1899,ITA,Archery,93
1900,ITA,Art Competitions,189
1901,ITA,Athletics,1021
1902,ITA,Badminton,3
1903,ITA,Baseball,88
1904,ITA,Basketball,184
1905,ITA,Beach Volleyball,24
1906,ITA,Biathlon,230
1907,ITA,Bobsleigh,230
1908,ITA,Boxing,175
1909,ITA,Canoeing,180
1910,ITA,Cross Country Skiing,528
1911,ITA,Curling,9
1912,ITA,Cycling,447
1913,ITA,Diving,100
1914,ITA,Equestrianism,293
1915,ITA,Fencing,736
1916,ITA,Figure Skating,90
1917,ITA,Football,240
1918,ITA,Freestyle Skiing,26
1919,ITA,Golf,4
1920,ITA,Gymnastics,1363
1921,ITA,Hockey,33
1922,ITA,Ice Hockey,191
1923,ITA,Judo,76
1924,ITA,Luge,139
1925,ITA,Military Ski Patrol,4
1926,ITA,Modern Pentathlon,90
1927,ITA,Nordic Combined,65
