,Weight,Sport,count
218,48.0,Triathlon,16
219,48.0,Weightlifting,55
220,48.0,Wrestling,183
221,48.5,Judo,1
222,49.0,Alpine Skiing,2
223,49.0,Archery,10
224,49.0,Athletics,211
225,49.0,Biathlon,33
226,49.0,Boxing,48
227,49.0,Canoeing,2
228,49.0,Cross Country Skiing,33
229,49.0,Curling,3
230,49.0,Cycling,11
231,49.0,Diving,51
232,49.0,Equestrianism,12
233,49.0,Fencing,26
234,49.0,Figure Skating,53
235,49.0,Football,6
236,49.0,Freestyle Skiing,2
237,49.0,Gymnastics,341
238,49.0,Hockey,10
239,49.0,Ice Hockey,2
240,49.0,Judo,2
241,49.0,Modern Pentathlon,3
242,49.0,Rhythmic Gymnastics,41
243,49.0,Rowing,10
244,49.0,Sailing,6
245,49.0,Shooting,14
246,49.0,Short Track Speed Skating,32
247,49.0,Snowboarding,1
248,49.0,Speed Skating,2
249,49.0,Swimming,45
250,49.0,Synchronized Swimming,19
251,49.0,Table Tennis,11
252,49.0,Taekwondo,56
253,49.0,Trampolining,1
254,49.0,Triathlon,7
255,49.0,Weightlifting,3
256,49.0,Wrestling,1
257,49.5,Cross Country Skiing,3
258,50.0,Alpine Skiing,52
259,50.0,Archery,20
260,50.0,Athletics,586
261,50.0,Badminton,4
262,50.0,Basketball,2
263,50.0,Biathlon,64
264,50.0,Boxing,40
265,50.0,Canoeing,3
266,50.0,Cross Country Skiing,96
267,50.0,Curling,2
268,50.0,Cycling,84
269,50.0,Diving,102
270,50.0,Equestrianism,65
271,50.0,Fencing,35
272,50.0,Figure Skating,82
273,50.0,Football,12
274,50.0,Freestyle Skiing,20
275,50.0,Golf,1
276,50.0,Gymnastics,586
277,50.0,Handball,1
278,50.0,Hockey,22
279,50.0,Ice Hockey,5
280,50.0,Judo,6
281,50.0,Modern Pentathlon,1
282,50.0,Rhythmic Gymnastics,58
283,50.0,Rowing,146
284,50.0,Sailing,12
285,50.0,Shooting,84
286,50.0,Short Track Speed Skating,28
287,50.0,Ski Jumping,10
288,50.0,Snowboarding,11
289,50.0,Softball,2
290,50.0,Speed Skating,24
291,50.0,Swimming,180
292,50.0,Synchronized Swimming,51
293,50.0,Table Tennis,39
294,50.0,Taekwondo,1
295,50.0,Tennis,3
296,50.0,Trampolining,3
297,50.0,Triathlon,19
298,50.0,Volleyball,2
299,50.0,Water Polo,1
300,50.0,Weightlifting,5
301,50.0,Wrestling,17
302,51.0,Alpine Skiing,24
303,51.0,Archery,22
304,51.0,Athletics,332
305,51.0,Badminton,9
306,51.0,Basketball,1
