lindex,Sport,Year,Weight,count
17142,Rowing,1900,51.0,1
17143,Rowing,1900,60.0,3
17144,Rowing,1900,78.0,1
17145,Rowing,1900,83.0,1
17146,Rowing,1904,75.0,1
17147,Rowing,1906,79.0,2
17148,Rowing,1908,51.0,2
17149,Rowing,1908,54.0,1
17150,Rowing,1908,55.0,2
17151,Rowing,1908,56.0,1
17152,Rowing,1908,62.0,1
17153,Rowing,1908,63.0,1
17154,Rowing,1908,65.0,1
17155,Rowing,1908,67.0,2
17156,Rowing,1908,68.0,4
17157,Rowing,1908,69.0,3
17158,Rowing,1908,70.0,4
17159,Rowing,1908,71.0,3
17160,Rowing,1908,72.0,2
17161,Rowing,1908,73.0,5
17162,Rowing,1908,74.0,5
17163,Rowing,1908,75.0,6
17164,Rowing,1908,76.0,3
17165,Rowing,1908,77.0,13
17166,Rowing,1908,78.0,6
17167,Rowing,1908,79.0,4
17168,Rowing,1908,80.0,6
17169,Rowing,1908,81.0,4
17170,Rowing,1908,82.0,2
17171,Rowing,1908,83.0,1
17172,Rowing,1908,84.0,1
17173,Rowing,1908,85.0,1
17174,Rowing,1908,87.0,1
17175,Rowing,1908,90.0,2
17176,Rowing,1912,51.0,1
17177,Rowing,1912,54.0,1
17178,Rowing,1912,55.0,1
17179,Rowing,1912,56.0,1
17180,Rowing,1912,61.0,1
17181,Rowing,1912,65.0,1
17182,Rowing,1912,67.0,1
17183,Rowing,1912,69.0,1
17184,Rowing,1912,70.0,4
17185,Rowing,1912,72.0,2
17186,Rowing,1912,73.0,2
17187,Rowing,1912,74.0,2
17188,Rowing,1912,75.0,1
17189,Rowing,1912,76.0,4
17190,Rowing,1912,77.0,6
17191,Rowing,1912,78.0,1
17192,Rowing,1912,80.0,3
17193,Rowing,1912,81.0,2
17194,Rowing,1912,85.0,1
17195,Rowing,1912,87.0,2
17196,Rowing,1920,52.0,2
17197,Rowing,1920,56.0,1
17198,Rowing,1920,57.0,1
17199,Rowing,1920,67.0,1
17200,Rowing,1920,73.0,3
17201,Rowing,1920,74.0,1
17202,Rowing,1920,75.0,1
17203,Rowing,1920,76.0,1
17204,Rowing,1920,77.0,3
17205,Rowing,1920,79.0,3
17206,Rowing,1920,80.0,1
17207,Rowing,1920,81.0,1
17208,Rowing,1920,84.0,5
17209,Rowing,1920,86.0,1
17210,Rowing,1920,137.0,1
17211,Rowing,1924,44.0,1
17212,Rowing,1924,51.0,1
17213,Rowing,1924,58.0,1
17214,Rowing,1924,63.0,1
17215,Rowing,1924,70.0,2
17216,Rowing,1924,71.0,2
17217,Rowing,1924,72.0,1
17218,Rowing,1924,73.0,1
17219,Rowing,1924,74.0,2
17220,Rowing,1924,75.0,3
17221,Rowing,1924,76.0,1
17222,Rowing,1924,79.0,3
17223,Rowing,1928,41.0,1
17224,Rowing,1928,54.0,2
17225,Rowing,1928,58.0,1
17226,Rowing,1928,59.0,1
17227,Rowing,1928,68.0,1
17228,Rowing,1928,69.0,1
17229,Rowing,1928,72.0,1
17230,Rowing,1928,73.0,2
17231,Rowing,1928,74.0,2
17232,Rowing,1928,75.0,3
17233,Rowing,1928,77.0,4
17234,Rowing,1928,78.0,1
17235,Rowing,1928,79.0,6
17236,Rowing,1928,81.0,1
17237,Rowing,1928,83.0,3
17238,Rowing,1928,84.0,7
17239,Rowing,1928,85.0,1
17240,Rowing,1928,89.0,1
17241,Rowing,1928,92.0,1
17242,Rowing,1928,95.0,1
17243,Rowing,1928,109.0,1
17244,Rowing,1932,41.0,1
17245,Rowing,1932,44.0,1
17246,Rowing,1932,55.0,1
17247,Rowing,1932,59.0,2
17248,Rowing,1932,68.0,2
17249,Rowing,1932,74.0,1
17250,Rowing,1932,76.0,1
17251,Rowing,1932,77.0,2
17252,Rowing,1932,79.0,2
17253,Rowing,1932,82.0,2
17254,Rowing,1932,83.0,1
17255,Rowing,1932,84.0,1
17256,Rowing,1932,86.0,1
17257,Rowing,1932,89.0,1
17258,Rowing,1932,90.0,2
17259,Rowing,1932,92.0,1
17260,Rowing,1932,95.0,2
17261,Rowing,1936,37.0,2
17262,Rowing,1936,59.0,2
17263,Rowing,1936,70.0,1
17264,Rowing,1936,74.0,1
17265,Rowing,1936,78.0,2
17266,Rowing,1936,80.0,1
17267,Rowing,1936,82.0,2
17268,Rowing,1936,84.0,1
17269,Rowing,1936,90.0,1
17270,Rowing,1936,95.0,1
17271,Rowing,1948,50.0,1
17272,Rowing,1948,52.0,2
17273,Rowing,1948,65.0,1
17274,Rowing,1948,66.0,1
17275,Rowing,1948,67.0,1
17276,Rowing,1948,75.0,1
17277,Rowing,1948,75.5,1
17278,Rowing,1948,77.0,1
17279,Rowing,1948,78.0,1
17280,Rowing,1948,82.0,2
17281,Rowing,1948,83.0,3
17282,Rowing,1948,84.0,1
17283,Rowing,1948,86.0,2
17284,Rowing,1948,87.0,1
17285,Rowing,1948,88.0,1
17286,Rowing,1948,90.0,1
17287,Rowing,1948,92.0,1
17288,Rowing,1952,52.0,2
17289,Rowing,1952,57.0,1
17290,Rowing,1952,64.5,1
17291,Rowing,1952,68.0,1
17292,Rowing,1952,72.0,4
17293,Rowing,1952,73.0,1
17294,Rowing,1952,75.0,3
17295,Rowing,1952,76.0,2
17296,Rowing,1952,77.0,3
17297,Rowing,1952,78.0,4
17298,Rowing,1952,79.0,2
17299,Rowing,1952,80.0,3
17300,Rowing,1952,81.5,1
17301,Rowing,1952,82.0,3
17302,Rowing,1952,82.5,1
17303,Rowing,1952,83.0,3
17304,Rowing,1952,84.0,5
17305,Rowing,1952,85.0,2
17306,Rowing,1952,86.0,1
17307,Rowing,1952,87.0,3
17308,Rowing,1952,88.0,3
17309,Rowing,1952,90.0,3
17310,Rowing,1952,105.0,1
17311,Rowing,1956,52.0,1
17312,Rowing,1956,55.0,1
17313,Rowing,1956,56.0,1
17314,Rowing,1956,57.0,1
17315,Rowing,1956,68.0,2
17316,Rowing,1956,71.0,1
17317,Rowing,1956,73.0,1
17318,Rowing,1956,75.0,3
17319,Rowing,1956,76.0,1
17320,Rowing,1956,77.0,4
17321,Rowing,1956,78.0,3
17322,Rowing,1956,79.0,7
17323,Rowing,1956,80.0,5
17324,Rowing,1956,81.0,7
17325,Rowing,1956,82.0,3
17326,Rowing,1956,82.5,2
17327,Rowing,1956,83.0,6
17328,Rowing,1956,84.0,8
17329,Rowing,1956,85.0,5
17330,Rowing,1956,86.0,4
17331,Rowing,1956,87.0,1
17332,Rowing,1956,88.0,5
17333,Rowing,1956,89.0,3
17334,Rowing,1956,90.0,3
17335,Rowing,1956,92.0,1
17336,Rowing,1956,99.0,1
17337,Rowing,1956,105.0,1
17338,Rowing,1960,40.0,2
17339,Rowing,1960,43.0,1
17340,Rowing,1960,48.0,1
17341,Rowing,1960,49.0,1
17342,Rowing,1960,50.0,7
17343,Rowing,1960,51.0,11
17344,Rowing,1960,52.0,7
17345,Rowing,1960,53.0,3
17346,Rowing,1960,54.0,1
17347,Rowing,1960,55.0,2
17348,Rowing,1960,56.0,5
17349,Rowing,1960,57.0,2
17350,Rowing,1960,59.0,1
17351,Rowing,1960,60.0,1
17352,Rowing,1960,61.0,2
17353,Rowing,1960,63.0,1
17354,Rowing,1960,64.0,1
17355,Rowing,1960,66.0,2
17356,Rowing,1960,68.0,4
17357,Rowing,1960,69.0,1
17358,Rowing,1960,70.0,2
17359,Rowing,1960,71.0,3
17360,Rowing,1960,72.0,8
17361,Rowing,1960,73.0,12
17362,Rowing,1960,74.0,7
17363,Rowing,1960,75.0,12
17364,Rowing,1960,76.0,12
17365,Rowing,1960,77.0,19
17366,Rowing,1960,78.0,24
17367,Rowing,1960,79.0,19
17368,Rowing,1960,80.0,29
17369,Rowing,1960,81.0,16
17370,Rowing,1960,82.0,24
17371,Rowing,1960,82.5,1
17372,Rowing,1960,83.0,29
17373,Rowing,1960,84.0,23
17374,Rowing,1960,85.0,17
17375,Rowing,1960,86.0,16
17376,Rowing,1960,87.0,10
17377,Rowing,1960,88.0,22
17378,Rowing,1960,89.0,5
17379,Rowing,1960,90.0,13
17380,Rowing,1960,92.0,4
17381,Rowing,1960,93.0,4
17382,Rowing,1960,95.0,1
17383,Rowing,1960,96.0,2
17384,Rowing,1960,98.0,2
17385,Rowing,1960,99.0,1
17386,Rowing,1960,100.0,2
17387,Rowing,1960,105.0,1
17388,Rowing,1964,38.0,1
17389,Rowing,1964,46.0,1
17390,Rowing,1964,47.0,1
17391,Rowing,1964,49.0,2
17392,Rowing,1964,50.0,10
17393,Rowing,1964,51.0,5
17394,Rowing,1964,52.0,8
17395,Rowing,1964,53.0,6
17396,Rowing,1964,54.0,3
17397,Rowing,1964,55.0,2
17398,Rowing,1964,57.0,1
17399,Rowing,1964,65.0,1
17400,Rowing,1964,70.0,2
17401,Rowing,1964,71.0,1
17402,Rowing,1964,72.0,6
17403,Rowing,1964,73.0,6
17404,Rowing,1964,74.0,5
17405,Rowing,1964,75.0,15
17406,Rowing,1964,76.0,11
17407,Rowing,1964,77.0,11
17408,Rowing,1964,78.0,18
17409,Rowing,1964,79.0,12
17410,Rowing,1964,80.0,14
17411,Rowing,1964,81.0,14
17412,Rowing,1964,82.0,21
17413,Rowing,1964,82.5,1
17414,Rowing,1964,83.0,25
17415,Rowing,1964,84.0,30
17416,Rowing,1964,85.0,17
17417,Rowing,1964,86.0,32
17418,Rowing,1964,87.0,7
17419,Rowing,1964,88.0,17
17420,Rowing,1964,89.0,9
17421,Rowing,1964,90.0,8
17422,Rowing,1964,91.0,7
17423,Rowing,1964,92.0,8
17424,Rowing,1964,93.0,3
17425,Rowing,1964,94.0,3
17426,Rowing,1964,95.0,3
17427,Rowing,1964,96.0,5
17428,Rowing,1964,97.0,2
17429,Rowing,1964,98.0,3
17430,Rowing,1964,100.0,2
17431,Rowing,1968,45.0,2
17432,Rowing,1968,47.0,1
17433,Rowing,1968,48.0,1
17434,Rowing,1968,50.0,10
17435,Rowing,1968,51.0,6
17436,Rowing,1968,52.0,14
17437,Rowing,1968,53.0,2
17438,Rowing,1968,54.0,3
17439,Rowing,1968,55.0,1
17440,Rowing,1968,56.0,1
17441,Rowing,1968,57.0,1
17442,Rowing,1968,60.0,1
17443,Rowing,1968,66.0,1
17444,Rowing,1968,68.0,1
17445,Rowing,1968,69.0,3
17446,Rowing,1968,70.0,1
17447,Rowing,1968,72.0,2
17448,Rowing,1968,73.0,5
17449,Rowing,1968,74.0,7
17450,Rowing,1968,75.0,3
17451,Rowing,1968,76.0,4
17452,Rowing,1968,77.0,8
17453,Rowing,1968,78.0,10
17454,Rowing,1968,79.0,7
17455,Rowing,1968,80.0,17
17456,Rowing,1968,81.0,13
17457,Rowing,1968,82.0,17
17458,Rowing,1968,83.0,17
17459,Rowing,1968,84.0,28
17460,Rowing,1968,85.0,20
17461,Rowing,1968,86.0,28
17462,Rowing,1968,87.0,21
17463,Rowing,1968,88.0,11
17464,Rowing,1968,89.0,13
17465,Rowing,1968,90.0,19
17466,Rowing,1968,91.0,7
17467,Rowing,1968,92.0,16
17468,Rowing,1968,93.0,10
17469,Rowing,1968,94.0,6
17470,Rowing,1968,95.0,3
17471,Rowing,1968,96.0,3
17472,Rowing,1968,97.0,3
17473,Rowing,1968,98.0,5
17474,Rowing,1968,99.0,3
17475,Rowing,1968,100.0,1
17476,Rowing,1968,102.0,1
17477,Rowing,1968,104.0,1
17478,Rowing,1972,41.0,1
17479,Rowing,1972,45.0,1
17480,Rowing,1972,47.0,3
17481,Rowing,1972,48.0,7
17482,Rowing,1972,49.0,1
17483,Rowing,1972,50.0,14
17484,Rowing,1972,51.0,2
17485,Rowing,1972,52.0,8
17486,Rowing,1972,53.0,3
17487,Rowing,1972,54.0,3
17488,Rowing,1972,55.0,1
17489,Rowing,1972,56.0,1
17490,Rowing,1972,57.0,1
17491,Rowing,1972,69.0,1
17492,Rowing,1972,70.0,5
17493,Rowing,1972,71.0,2
17494,Rowing,1972,72.0,2
17495,Rowing,1972,73.0,2
17496,Rowing,1972,74.0,6
17497,Rowing,1972,75.0,5
17498,Rowing,1972,76.0,3
17499,Rowing,1972,77.0,7
17500,Rowing,1972,78.0,9
17501,Rowing,1972,79.0,3
17502,Rowing,1972,80.0,21
17503,Rowing,1972,81.0,14
17504,Rowing,1972,82.0,22
17505,Rowing,1972,83.0,17
17506,Rowing,1972,84.0,23
17507,Rowing,1972,85.0,24
17508,Rowing,1972,86.0,33
17509,Rowing,1972,87.0,24
17510,Rowing,1972,88.0,21
17511,Rowing,1972,89.0,19
17512,Rowing,1972,90.0,34
17513,Rowing,1972,91.0,12
17514,Rowing,1972,92.0,19
17515,Rowing,1972,93.0,18
17516,Rowing,1972,94.0,7
17517,Rowing,1972,95.0,8
17518,Rowing,1972,96.0,6
17519,Rowing,1972,97.0,3
17520,Rowing,1972,98.0,4
17521,Rowing,1972,99.0,1
17522,Rowing,1972,102.0,2
17523,Rowing,1972,104.0,1
17524,Rowing,1972,109.0,1
17525,Rowing,1976,39.0,1
17526,Rowing,1976,40.0,2
17527,Rowing,1976,41.0,5
17528,Rowing,1976,42.0,5
17529,Rowing,1976,43.0,1
17530,Rowing,1976,44.0,1
17531,Rowing,1976,45.0,6
17532,Rowing,1976,47.0,3
17533,Rowing,1976,48.0,3
17534,Rowing,1976,49.0,2
17535,Rowing,1976,50.0,15
17536,Rowing,1976,51.0,6
17537,Rowing,1976,52.0,5
17538,Rowing,1976,54.0,2
17539,Rowing,1976,55.0,1
17540,Rowing,1976,57.0,1
17541,Rowing,1976,58.0,2
17542,Rowing,1976,59.0,1
17543,Rowing,1976,60.0,12
17544,Rowing,1976,61.0,7
17545,Rowing,1976,62.0,11
17546,Rowing,1976,63.0,2
17547,Rowing,1976,64.0,8
17548,Rowing,1976,65.0,7
17549,Rowing,1976,66.0,9
17550,Rowing,1976,67.0,7
17551,Rowing,1976,68.0,13
17552,Rowing,1976,69.0,10
17553,Rowing,1976,70.0,19
17554,Rowing,1976,71.0,11
17555,Rowing,1976,72.0,12
17556,Rowing,1976,73.0,10
17557,Rowing,1976,74.0,15
17558,Rowing,1976,75.0,9
17559,Rowing,1976,76.0,7
17560,Rowing,1976,77.0,6
17561,Rowing,1976,78.0,7
17562,Rowing,1976,79.0,6
17563,Rowing,1976,80.0,19
17564,Rowing,1976,81.0,6
17565,Rowing,1976,82.0,19
17566,Rowing,1976,83.0,17
17567,Rowing,1976,84.0,24
17568,Rowing,1976,85.0,29
17569,Rowing,1976,86.0,17
17570,Rowing,1976,87.0,24
17571,Rowing,1976,88.0,19
17572,Rowing,1976,89.0,24
17573,Rowing,1976,90.0,30
17574,Rowing,1976,91.0,19
17575,Rowing,1976,92.0,14
17576,Rowing,1976,93.0,23
17577,Rowing,1976,94.0,13
17578,Rowing,1976,95.0,11
17579,Rowing,1976,96.0,11
17580,Rowing,1976,97.0,2
17581,Rowing,1976,98.0,6
17582,Rowing,1976,99.0,1
17583,Rowing,1976,100.0,6
17584,Rowing,1976,102.0,1
17585,Rowing,1976,103.0,2
17586,Rowing,1976,109.0,1
17587,Rowing,1980,39.0,1
17588,Rowing,1980,41.0,1
17589,Rowing,1980,42.0,3
17590,Rowing,1980,44.0,1
17591,Rowing,1980,45.0,8
17592,Rowing,1980,46.0,4
17593,Rowing,1980,47.0,2
17594,Rowing,1980,48.0,2
17595,Rowing,1980,50.0,18
17596,Rowing,1980,51.0,2
17597,Rowing,1980,52.0,5
17598,Rowing,1980,53.0,1
17599,Rowing,1980,55.0,4
17600,Rowing,1980,59.0,1
17601,Rowing,1980,60.0,3
17602,Rowing,1980,61.0,1
17603,Rowing,1980,62.0,5
17604,Rowing,1980,63.0,2
17605,Rowing,1980,64.0,2
17606,Rowing,1980,65.0,8
17607,Rowing,1980,66.0,2
17608,Rowing,1980,67.0,3
17609,Rowing,1980,68.0,4
17610,Rowing,1980,69.0,6
17611,Rowing,1980,70.0,16
17612,Rowing,1980,71.0,6
17613,Rowing,1980,72.0,12
17614,Rowing,1980,73.0,11
17615,Rowing,1980,74.0,10
17616,Rowing,1980,75.0,9
17617,Rowing,1980,76.0,12
17618,Rowing,1980,77.0,2
17619,Rowing,1980,78.0,14
17620,Rowing,1980,79.0,6
17621,Rowing,1980,80.0,15
17622,Rowing,1980,81.0,11
17623,Rowing,1980,82.0,11
17624,Rowing,1980,83.0,21
17625,Rowing,1980,84.0,12
17626,Rowing,1980,85.0,20
17627,Rowing,1980,86.0,29
17628,Rowing,1980,87.0,21
17629,Rowing,1980,88.0,19
17630,Rowing,1980,89.0,20
17631,Rowing,1980,90.0,30
17632,Rowing,1980,91.0,13
17633,Rowing,1980,92.0,12
17634,Rowing,1980,93.0,13
17635,Rowing,1980,94.0,11
17636,Rowing,1980,95.0,14
17637,Rowing,1980,96.0,11
17638,Rowing,1980,97.0,3
17639,Rowing,1980,98.0,4
17640,Rowing,1980,99.0,1
17641,Rowing,1980,100.0,3
17642,Rowing,1980,102.0,1
17643,Rowing,1980,103.0,2
17644,Rowing,1980,105.0,2
17645,Rowing,1980,106.0,1
17646,Rowing,1984,42.0,1
17647,Rowing,1984,43.0,3
17648,Rowing,1984,44.0,2
17649,Rowing,1984,45.0,5
17650,Rowing,1984,46.0,4
17651,Rowing,1984,47.0,3
17652,Rowing,1984,48.0,2
17653,Rowing,1984,49.0,1
17654,Rowing,1984,50.0,12
17655,Rowing,1984,51.0,3
17656,Rowing,1984,52.0,7
17657,Rowing,1984,53.0,2
17658,Rowing,1984,55.0,2
17659,Rowing,1984,58.0,3
17660,Rowing,1984,60.0,1
17661,Rowing,1984,61.0,2
17662,Rowing,1984,62.0,2
17663,Rowing,1984,63.0,3
17664,Rowing,1984,64.0,2
17665,Rowing,1984,65.0,5
17666,Rowing,1984,66.0,7
17667,Rowing,1984,67.0,10
17668,Rowing,1984,68.0,18
17669,Rowing,1984,69.0,11
17670,Rowing,1984,70.0,14
17671,Rowing,1984,71.0,6
17672,Rowing,1984,72.0,10
17673,Rowing,1984,73.0,13
17674,Rowing,1984,74.0,9
17675,Rowing,1984,75.0,15
17676,Rowing,1984,76.0,6
17677,Rowing,1984,77.0,8
17678,Rowing,1984,78.0,8
17679,Rowing,1984,79.0,4
17680,Rowing,1984,80.0,15
17681,Rowing,1984,81.0,11
17682,Rowing,1984,82.0,10
17683,Rowing,1984,83.0,14
17684,Rowing,1984,84.0,14
17685,Rowing,1984,85.0,21
17686,Rowing,1984,86.0,17
17687,Rowing,1984,87.0,16
17688,Rowing,1984,88.0,9
17689,Rowing,1984,88.5,1
17690,Rowing,1984,89.0,20
17691,Rowing,1984,90.0,27
17692,Rowing,1984,91.0,15
17693,Rowing,1984,92.0,10
17694,Rowing,1984,93.0,11
17695,Rowing,1984,94.0,8
17696,Rowing,1984,95.0,8
17697,Rowing,1984,96.0,5
17698,Rowing,1984,97.0,5
17699,Rowing,1984,98.0,4
17700,Rowing,1984,100.0,5
17701,Rowing,1984,102.0,1
17702,Rowing,1984,103.0,2
17703,Rowing,1984,105.0,1
17704,Rowing,1984,106.0,1
17705,Rowing,1988,40.0,1
17706,Rowing,1988,42.0,1
17707,Rowing,1988,43.0,2
17708,Rowing,1988,44.0,2
17709,Rowing,1988,45.0,7
17710,Rowing,1988,46.0,2
17711,Rowing,1988,47.0,1
17712,Rowing,1988,48.0,1
17713,Rowing,1988,50.0,23
17714,Rowing,1988,51.0,4
17715,Rowing,1988,52.0,5
17716,Rowing,1988,53.0,3
17717,Rowing,1988,55.0,4
17718,Rowing,1988,59.0,1
17719,Rowing,1988,60.0,1
17720,Rowing,1988,62.0,1
17721,Rowing,1988,63.0,2
17722,Rowing,1988,64.0,5
17723,Rowing,1988,65.0,6
17724,Rowing,1988,66.0,7
17725,Rowing,1988,67.0,3
17726,Rowing,1988,68.0,16
17727,Rowing,1988,69.0,6
17728,Rowing,1988,70.0,18
17729,Rowing,1988,71.0,6
17730,Rowing,1988,72.0,26
17731,Rowing,1988,73.0,12
17732,Rowing,1988,74.0,6
17733,Rowing,1988,75.0,21
17734,Rowing,1988,76.0,7
17735,Rowing,1988,77.0,11
17736,Rowing,1988,78.0,15
17737,Rowing,1988,79.0,7
17738,Rowing,1988,80.0,20
17739,Rowing,1988,81.0,13
17740,Rowing,1988,82.0,17
17741,Rowing,1988,83.0,12
17742,Rowing,1988,84.0,20
17743,Rowing,1988,85.0,35
17744,Rowing,1988,86.0,14
17745,Rowing,1988,87.0,32
17746,Rowing,1988,88.0,14
17747,Rowing,1988,88.5,1
17748,Rowing,1988,89.0,23
17749,Rowing,1988,90.0,44
17750,Rowing,1988,91.0,28
17751,Rowing,1988,92.0,14
17752,Rowing,1988,93.0,22
17753,Rowing,1988,94.0,12
17754,Rowing,1988,95.0,26
17755,Rowing,1988,96.0,10
17756,Rowing,1988,97.0,7
17757,Rowing,1988,98.0,5
17758,Rowing,1988,99.0,1
17759,Rowing,1988,100.0,6
17760,Rowing,1988,101.0,2
17761,Rowing,1988,102.0,1
17762,Rowing,1988,103.0,4
17763,Rowing,1988,104.0,3
17764,Rowing,1988,105.0,1
17765,Rowing,1988,106.0,2
17766,Rowing,1992,43.0,1
17767,Rowing,1992,45.0,3
17768,Rowing,1992,47.0,2
17769,Rowing,1992,49.0,1
17770,Rowing,1992,50.0,14
17771,Rowing,1992,51.0,2
17772,Rowing,1992,52.0,3
17773,Rowing,1992,53.0,1
17774,Rowing,1992,54.0,2
17775,Rowing,1992,55.0,6
17776,Rowing,1992,59.0,1
17777,Rowing,1992,60.0,4
17778,Rowing,1992,64.0,4
17779,Rowing,1992,65.0,8
17780,Rowing,1992,66.0,5
17781,Rowing,1992,67.0,6
17782,Rowing,1992,68.0,11
17783,Rowing,1992,69.0,5
17784,Rowing,1992,70.0,17
17785,Rowing,1992,71.0,9
17786,Rowing,1992,72.0,21
17787,Rowing,1992,73.0,14
17788,Rowing,1992,74.0,8
17789,Rowing,1992,75.0,13
17790,Rowing,1992,76.0,8
17791,Rowing,1992,77.0,11
17792,Rowing,1992,78.0,15
17793,Rowing,1992,79.0,5
17794,Rowing,1992,80.0,13
