,Year,Weight,Sport,count
169,1906,82.0,Tug-Of-War,2
170,1906,82.0,Weightlifting,2
171,1906,83.0,Athletics,2
172,1906,83.0,Swimming,2
173,1906,84.0,Athletics,3
174,1906,86.0,Swimming,1
175,1906,87.5,Wrestling,2
176,1906,88.0,Athletics,15
177,1906,88.0,Tug-Of-War,1
178,1906,89.0,Fencing,1
179,1906,95.0,Athletics,5
180,1906,95.0,Wrestling,1
181,1906,98.0,Weightlifting,2
182,1906,102.0,Athletics,2
183,1906,106.0,Athletics,3
184,1906,114.0,Tug-Of-War,1
185,1906,114.0,Weightlifting,2
186,1908,51.0,Athletics,2
187,1908,51.0,Rowing,2
188,1908,52.0,Athletics,2
189,1908,52.0,Wrestling,1
190,1908,53.0,Athletics,2
191,1908,53.0,Wrestling,1
192,1908,54.0,Gymnastics,1
193,1908,54.0,Rowing,1
194,1908,54.0,Wrestling,1
195,1908,55.0,Athletics,1
196,1908,55.0,Rowing,2
197,1908,56.0,Athletics,2
198,1908,56.0,Rowing,1
199,1908,57.0,Athletics,8
200,1908,58.0,Athletics,5
201,1908,59.0,Athletics,15
202,1908,60.0,Athletics,11
203,1908,60.0,Wrestling,2
204,1908,61.0,Athletics,9
205,1908,62.0,Athletics,3
206,1908,62.0,Rowing,1
207,1908,63.0,Athletics,3
208,1908,63.0,Boxing,2
209,1908,63.0,Rowing,1
210,1908,64.0,Athletics,7
211,1908,64.0,Cycling,4
212,1908,64.0,Wrestling,1
213,1908,65.0,Athletics,3
214,1908,65.0,Gymnastics,1
215,1908,65.0,Rowing,1
216,1908,65.0,Swimming,4
217,1908,65.0,Wrestling,2
218,1908,66.0,Athletics,16
219,1908,66.0,Gymnastics,1
220,1908,66.0,Swimming,3
221,1908,66.0,Wrestling,1
222,1908,67.0,Athletics,5
223,1908,67.0,Cycling,2
224,1908,67.0,Gymnastics,1
225,1908,67.0,Rowing,2
226,1908,67.0,Wrestling,2
227,1908,68.0,Athletics,14
228,1908,68.0,Rowing,4
229,1908,69.0,Athletics,7
230,1908,69.0,Rowing,3
231,1908,69.0,Wrestling,2
232,1908,70.0,Athletics,18
233,1908,70.0,Cycling,1
234,1908,70.0,Rowing,4
235,1908,70.0,Swimming,2
236,1908,70.0,Wrestling,2
237,1908,71.0,Athletics,4
238,1908,71.0,Cycling,1
239,1908,71.0,Rowing,3
240,1908,71.0,Swimming,1
241,1908,72.0,Athletics,8
242,1908,72.0,Rowing,2
243,1908,73.0,Athletics,10
244,1908,73.0,Rowing,5
245,1908,73.0,Water Polo,1
246,1908,73.0,Wrestling,1
247,1908,74.0,Athletics,6
248,1908,74.0,Rowing,5
249,1908,75.0,Athletics,7
250,1908,75.0,Gymnastics,1
251,1908,75.0,Rowing,6
252,1908,76.0,Athletics,17
253,1908,76.0,Diving,1
254,1908,76.0,Rowing,3
255,1908,76.0,Swimming,6
256,1908,76.0,Water Polo,2
257,1908,77.0,Athletics,3
258,1908,77.0,Motorboating,1
259,1908,77.0,Rowing,13
260,1908,78.0,Athletics,12
261,1908,78.0,Rowing,6
262,1908,79.0,Athletics,12
263,1908,79.0,Rowing,4
264,1908,80.0,Athletics,6
265,1908,80.0,Fencing,2
266,1908,80.0,Rowing,6
267,1908,80.0,Swimming,3
268,1908,80.0,Water Polo,1
269,1908,81.0,Athletics,12
270,1908,81.0,Rowing,4
271,1908,82.0,Athletics,3
272,1908,82.0,Rowing,2
273,1908,83.0,Cycling,5
274,1908,83.0,Rowing,1
275,1908,83.0,Swimming,2
276,1908,83.0,Tug-Of-War,1
277,1908,83.0,Wrestling,1
278,1908,84.0,Athletics,1
279,1908,84.0,Rowing,1
280,1908,84.0,Wrestling,1
281,1908,85.0,Athletics,6
282,1908,85.0,Rowing,1
283,1908,85.0,Wrestling,2
284,1908,86.0,Gymnastics,1
285,1908,87.0,Rowing,1
286,1908,87.5,Wrestling,1
287,1908,88.0,Athletics,11
288,1908,89.0,Athletics,7
289,1908,89.0,Hockey,1
290,1908,89.0,Tug-Of-War,2
291,1908,90.0,Rowing,2
292,1908,91.0,Athletics,3
293,1908,91.0,Tug-Of-War,1
294,1908,91.0,Wrestling,1
295,1908,93.0,Athletics,4
296,1908,93.0,Boxing,1
297,1908,93.0,Tug-Of-War,2
298,1908,94.0,Tug-Of-War,1
299,1908,95.0,Athletics,7
300,1908,95.0,Tug-Of-War,4
301,1908,95.0,Wrestling,1
302,1908,96.0,Tug-Of-War,1
303,1908,97.0,Athletics,1
304,1908,98.0,Tug-Of-War,1
305,1908,98.0,Water Polo,1
306,1908,99.0,Athletics,3
307,1908,99.0,Football,1
308,1908,99.0,Tug-Of-War,2
309,1908,99.0,Wrestling,2
310,1908,100.0,Tug-Of-War,3
311,1908,100.0,Wrestling,3
312,1908,102.0,Athletics,3
313,1908,102.0,Tug-Of-War,1
314,1908,102.0,Wrestling,1
315,1908,104.0,Tug-Of-War,2
316,1908,105.0,Water Polo,1
317,1908,106.0,Athletics,5
318,1908,108.0,Tug-Of-War,1
319,1908,109.0,Athletics,2
320,1908,115.0,Athletics,2
321,1908,115.0,Tug-Of-War,2
322,1912,49.0,Athletics,2
323,1912,50.0,Athletics,4
324,1912,51.0,Athletics,2
325,1912,51.0,Rowing,1
326,1912,52.0,Athletics,2
327,1912,52.0,Wrestling,1
328,1912,53.0,Athletics,2
329,1912,54.0,Rowing,1
330,1912,55.0,Athletics,5
331,1912,55.0,Rowing,1
332,1912,55.5,Athletics,2
333,1912,56.0,Athletics,3
334,1912,56.0,Rowing,1
335,1912,57.0,Athletics,5
336,1912,57.5,Athletics,5
337,1912,58.0,Athletics,1
338,1912,59.0,Athletics,19
339,1912,59.0,Wrestling,1
340,1912,60.0,Athletics,10
341,1912,61.0,Athletics,12
342,1912,61.0,Rowing,1
343,1912,62.0,Athletics,12
344,1912,62.0,Wrestling,1
345,1912,63.0,Athletics,23
346,1912,63.0,Equestrianism,1
347,1912,64.0,Athletics,29
348,1912,64.0,Wrestling,1
349,1912,65.0,Athletics,15
350,1912,65.0,Football,1
351,1912,65.0,Rowing,1
352,1912,66.0,Athletics,20
353,1912,66.0,Football,3
354,1912,66.0,Swimming,3
355,1912,67.0,Athletics,26
356,1912,67.0,Rowing,1
357,1912,68.0,Athletics,23
358,1912,68.0,Football,1
359,1912,69.0,Athletics,7
360,1912,69.0,Rowing,1
361,1912,69.0,Wrestling,1
362,1912,70.0,Athletics,34
363,1912,70.0,Rowing,4
364,1912,70.0,Wrestling,1
365,1912,71.0,Athletics,11
366,1912,71.0,Wrestling,1
367,1912,72.0,Athletics,24
368,1912,72.0,Football,4
369,1912,72.0,Rowing,2
370,1912,73.0,Athletics,15
371,1912,73.0,Gymnastics,1
372,1912,73.0,Rowing,2
373,1912,73.0,Wrestling,1
374,1912,74.0,Athletics,4
375,1912,74.0,Football,1
376,1912,74.0,Rowing,2
377,1912,75.0,Athletics,12
378,1912,75.0,Football,1
379,1912,75.0,Rowing,1
380,1912,76.0,Athletics,11
381,1912,76.0,Cycling,2
382,1912,76.0,Diving,2
383,1912,76.0,Rowing,4
384,1912,76.0,Swimming,1
385,1912,76.0,Water Polo,1
386,1912,77.0,Athletics,10
387,1912,77.0,Rowing,6
388,1912,77.0,Wrestling,1
389,1912,77.5,Wrestling,1
390,1912,78.0,Athletics,21
391,1912,78.0,Rowing,1
392,1912,79.0,Athletics,10
393,1912,79.0,Football,1
394,1912,80.0,Athletics,17
395,1912,80.0,Fencing,3
396,1912,80.0,Football,1
397,1912,80.0,Rowing,3
398,1912,80.0,Water Polo,1
399,1912,81.0,Athletics,17
400,1912,81.0,Football,2
401,1912,81.0,Rowing,2
402,1912,82.0,Athletics,3
403,1912,82.0,Fencing,3
404,1912,82.0,Sailing,1
405,1912,83.0,Athletics,2
406,1912,84.0,Athletics,12
407,1912,84.0,Tennis,1
408,1912,84.0,Wrestling,1
409,1912,85.0,Athletics,11
410,1912,85.0,Rowing,1
411,1912,85.0,Tennis,1
412,1912,86.0,Athletics,12
413,1912,87.0,Rowing,2
414,1912,88.0,Athletics,7
415,1912,89.0,Athletics,3
416,1912,90.0,Athletics,2
417,1912,91.0,Athletics,4
418,1912,92.0,Athletics,6
419,1912,92.0,Wrestling,1
420,1912,92.5,Athletics,2
421,1912,95.0,Athletics,2
422,1912,96.0,Wrestling,1
423,1912,98.0,Water Polo,1
424,1912,99.0,Wrestling,1
425,1912,100.0,Tug-Of-War,2
426,1912,102.0,Athletics,4
427,1912,104.0,Tug-Of-War,1
428,1912,105.0,Water Polo,1
429,1912,106.0,Athletics,2
430,1912,109.0,Athletics,1
431,1912,109.0,Shooting,2
432,1912,115.0,Athletics,5
433,1912,115.0,Wrestling,1
434,1912,117.0,Athletics,2
435,1912,120.0,Athletics,2
436,1912,120.0,Wrestling,1
437,1912,125.0,Athletics,1
438,1912,125.0,Wrestling,1
439,1920,48.0,Athletics,1
440,1920,49.0,Athletics,4
441,1920,50.0,Boxing,1
442,1920,51.0,Boxing,2
443,1920,52.0,Athletics,4
444,1920,52.0,Rowing,2
445,1920,53.0,Athletics,3
446,1920,54.0,Athletics,2
447,1920,55.0,Athletics,8
448,1920,55.5,Athletics,1
449,1920,56.0,Athletics,1
450,1920,56.0,Rowing,1
451,1920,57.0,Athletics,7
452,1920,57.0,Boxing,1
453,1920,57.0,Rowing,1
454,1920,57.5,Athletics,1
455,1920,58.0,Figure Skating,1
456,1920,58.0,Gymnastics,1
457,1920,58.0,Ice Hockey,2
458,1920,59.0,Athletics,16
459,1920,59.0,Tennis,3
460,1920,60.0,Athletics,12
461,1920,60.0,Weightlifting,2
462,1920,60.0,Wrestling,1
463,1920,60.5,Wrestling,1
464,1920,61.0,Athletics,7
465,1920,61.0,Ice Hockey,1
466,1920,62.0,Athletics,5
467,1920,63.0,Athletics,11
468,1920,64.0,Athletics,18
469,1920,64.0,Ice Hockey,1
470,1920,64.0,Tennis,2
471,1920,64.0,Wrestling,1
472,1920,65.0,Athletics,8
473,1920,65.0,Football,1
474,1920,65.0,Ice Hockey,1
475,1920,65.0,Swimming,3
476,1920,66.0,Athletics,15
477,1920,66.0,Boxing,1
478,1920,66.0,Gymnastics,2
479,1920,66.0,Swimming,3
480,1920,66.0,Tennis,2
481,1920,66.0,Weightlifting,3
482,1920,67.0,Athletics,6
483,1920,67.0,Football,1
484,1920,67.0,Ice Hockey,1
485,1920,67.0,Rowing,1
486,1920,67.0,Sailing,1
487,1920,68.0,Athletics,20
488,1920,68.0,Diving,1
489,1920,68.0,Ice Hockey,1
490,1920,68.0,Rugby,2
491,1920,69.0,Athletics,6
492,1920,69.0,Fencing,7
493,1920,69.0,Wrestling,1
494,1920,70.0,Athletics,5
495,1920,70.0,Cycling,3
496,1920,70.0,Football,2
497,1920,70.0,Gymnastics,1
498,1920,70.0,Ice Hockey,1
499,1920,70.0,Rugby,1
500,1920,70.5,Wrestling,1
501,1920,71.0,Athletics,10
502,1920,71.0,Football,1
503,1920,71.0,Wrestling,1
504,1920,72.0,Athletics,5
505,1920,72.0,Rugby,1
506,1920,73.0,Athletics,12
507,1920,73.0,Figure Skating,1
508,1920,73.0,Rowing,3
509,1920,73.0,Swimming,2
510,1920,73.0,Weightlifting,1
511,1920,74.0,Athletics,9
512,1920,74.0,Football,1
513,1920,74.0,Rowing,1
514,1920,74.0,Weightlifting,2
515,1920,75.0,Athletics,16
516,1920,75.0,Cycling,1
517,1920,75.0,Football,1
518,1920,75.0,Ice Hockey,3
519,1920,75.0,Rowing,1
520,1920,75.0,Rugby,1
521,1920,75.0,Swimming,2
522,1920,75.0,Weightlifting,1
523,1920,75.0,Wrestling,2
524,1920,76.0,Athletics,5
525,1920,76.0,Rowing,1
526,1920,76.0,Rugby,1
527,1920,76.0,Water Polo,1
528,1920,77.0,Athletics,8
529,1920,77.0,Rowing,3
530,1920,77.0,Rugby,1
531,1920,78.0,Athletics,11
532,1920,78.0,Rugby,1
533,1920,79.0,Athletics,8
534,1920,79.0,Ice Hockey,1
535,1920,79.0,Rowing,3
536,1920,80.0,Athletics,14
537,1920,80.0,Fencing,3
538,1920,80.0,Football,3
539,1920,80.0,Rowing,1
540,1920,81.0,Athletics,6
541,1920,81.0,Ice Hockey,1
542,1920,81.0,Rowing,1
543,1920,81.0,Sailing,1
544,1920,82.0,Athletics,2
545,1920,82.0,Fencing,5
546,1920,82.0,Ice Hockey,3
547,1920,82.0,Weightlifting,2
548,1920,83.0,Athletics,1
549,1920,84.0,Athletics,8
550,1920,84.0,Fencing,2
551,1920,84.0,Rowing,5
552,1920,85.0,Athletics,4
553,1920,85.0,Rugby,1
554,1920,85.0,Tug-Of-War,1
555,1920,86.0,Athletics,3
556,1920,86.0,Rowing,1
557,1920,86.5,Wrestling,1
558,1920,88.0,Athletics,1
559,1920,88.0,Tug-Of-War,1
560,1920,89.0,Athletics,2
561,1920,89.0,Tug-Of-War,1
562,1920,90.0,Swimming,3
563,1920,90.0,Tug-Of-War,1
564,1920,90.0,Wrestling,1
565,1920,91.0,Ice Hockey,1
566,1920,92.0,Athletics,2
567,1920,92.0,Wrestling,1
568,1920,92.5,Athletics,2
569,1920,93.0,Athletics,1
570,1920,95.0,Athletics,1
571,1920,95.0,Football,1
572,1920,95.0,Tug-Of-War,3
573,1920,95.0,Weightlifting,1
574,1920,95.0,Wrestling,1
575,1920,96.0,Wrestling,1
576,1920,97.0,Tug-Of-War,1
577,1920,97.5,Athletics,3
578,1920,98.0,Athletics,2
579,1920,99.0,Ice Hockey,1
580,1920,99.0,Weightlifting,1
581,1920,100.0,Tug-Of-War,2
582,1920,102.0,Athletics,4
583,1920,104.0,Athletics,2
584,1920,104.0,Tug-Of-War,1
585,1920,105.0,Water Polo,1
586,1920,109.0,Tug-Of-War,2
587,1920,113.0,Athletics,2
588,1920,115.0,Athletics,1
589,1920,118.0,Tug-Of-War,1
590,1920,120.0,Athletics,2
591,1920,125.0,Athletics,1
592,1920,137.0,Rowing,1
593,1920,146.0,Weightlifting,1
594,1924,44.0,Rowing,1
595,1924,45.0,Diving,1
596,1924,45.0,Figure Skating,1
597,1924,47.0,Athletics,1
598,1924,49.0,Athletics,5
599,1924,50.0,Athletics,3
600,1924,51.0,Athletics,1
601,1924,51.0,Boxing,1
602,1924,51.0,Rowing,1
603,1924,52.0,Athletics,2
604,1924,53.0,Athletics,3
605,1924,54.0,Athletics,3
606,1924,55.0,Athletics,2
607,1924,56.0,Athletics,3
608,1924,56.0,Weightlifting,1
609,1924,57.0,Athletics,15
610,1924,57.0,Boxing,1
611,1924,57.0,Weightlifting,1
612,1924,57.5,Athletics,1
613,1924,58.0,Athletics,7
614,1924,58.0,Figure Skating,1
615,1924,58.0,Ice Hockey,1
616,1924,58.0,Rowing,1
617,1924,58.0,Weightlifting,3
618,1924,58.0,Wrestling,1
619,1924,59.0,Athletics,18
620,1924,59.0,Weightlifting,12
621,1924,59.0,Wrestling,1
622,1924,59.5,Athletics,2
623,1924,60.0,Athletics,5
624,1924,60.0,Fencing,1
625,1924,60.0,Football,1
626,1924,60.0,Weightlifting,4
627,1924,60.0,Wrestling,2
628,1924,60.5,Wrestling,1
629,1924,61.0,Athletics,11
630,1924,61.0,Boxing,2
631,1924,61.0,Cross Country Skiing,1
632,1924,61.0,Nordic Combined,1
633,1924,61.0,Wrestling,1
634,1924,62.0,Athletics,13
635,1924,62.0,Fencing,2
636,1924,62.0,Ice Hockey,1
637,1924,62.0,Speed Skating,5
638,1924,63.0,Athletics,8
639,1924,63.0,Equestrianism,4
640,1924,63.0,Football,1
641,1924,63.0,Rowing,1
642,1924,64.0,Athletics,20
643,1924,64.0,Equestrianism,1
644,1924,64.0,Swimming,3
645,1924,64.0,Tennis,1
646,1924,64.0,Wrestling,1
647,1924,65.0,Athletics,20
648,1924,65.0,Equestrianism,4
649,1924,65.0,Football,1
650,1924,65.0,Ice Hockey,1
651,1924,65.0,Shooting,3
652,1924,65.0,Swimming,3
653,1924,65.0,Weightlifting,1
654,1924,66.0,Athletics,18
655,1924,66.0,Boxing,1
656,1924,66.0,Cross Country Skiing,2
657,1924,66.0,Equestrianism,1
658,1924,66.0,Football,1
659,1924,66.0,Tennis,2
660,1924,66.0,Weightlifting,10
661,1924,66.5,Weightlifting,1
662,1924,67.0,Athletics,7
663,1924,67.0,Boxing,2
664,1924,67.0,Fencing,1
665,1924,67.0,Football,2
666,1924,67.0,Speed Skating,5
667,1924,67.0,Weightlifting,5
668,1924,68.0,Athletics,24
669,1924,68.0,Diving,1
670,1924,68.0,Football,3
671,1924,68.0,Rugby,1
672,1924,68.0,Weightlifting,5
673,1924,69.0,Athletics,4
674,1924,69.0,Fencing,1
675,1924,69.0,Modern Pentathlon,1
676,1924,69.0,Rugby,2
677,1924,70.0,Athletics,26
678,1924,70.0,Cross Country Skiing,4
679,1924,70.0,Cycling,2
680,1924,70.0,Football,3
681,1924,70.0,Ice Hockey,1
682,1924,70.0,Nordic Combined,1
683,1924,70.0,Rowing,2
684,1924,70.0,Ski Jumping,1
685,1924,70.0,Wrestling,1
686,1924,71.0,Athletics,2
687,1924,71.0,Cross Country Skiing,3
688,1924,71.0,Cycling,2
689,1924,71.0,Equestrianism,4
690,1924,71.0,Football,2
691,1924,71.0,Nordic Combined,1
692,1924,71.0,Rowing,2
693,1924,71.0,Weightlifting,3
694,1924,71.0,Wrestling,1
695,1924,72.0,Athletics,12
696,1924,72.0,Boxing,1
697,1924,72.0,Cross Country Skiing,1
698,1924,72.0,Cycling,2
699,1924,72.0,Football,1
700,1924,72.0,Ice Hockey,1
701,1924,72.0,Nordic Combined,1
702,1924,72.0,Rowing,1
703,1924,72.0,Rugby,2
704,1924,72.0,Weightlifting,5
705,1924,73.0,Athletics,17
706,1924,73.0,Figure Skating,1
707,1924,73.0,Football,1
708,1924,73.0,Modern Pentathlon,1
709,1924,73.0,Rowing,1
710,1924,73.0,Rugby,1
711,1924,73.0,Weightlifting,6
712,1924,73.0,Wrestling,1
713,1924,74.0,Athletics,12
714,1924,74.0,Cycling,3
715,1924,74.0,Football,6
716,1924,74.0,Rowing,2
717,1924,74.0,Speed Skating,2
718,1924,74.0,Weightlifting,7
719,1924,74.5,Weightlifting,1
720,1924,75.0,Athletics,19
721,1924,75.0,Diving,1
722,1924,75.0,Football,2
723,1924,75.0,Ice Hockey,1
724,1924,75.0,Rowing,3
725,1924,75.0,Shooting,2
726,1924,75.0,Weightlifting,3
727,1924,75.0,Wrestling,1
728,1924,76.0,Art Competitions,1
729,1924,76.0,Athletics,7
730,1924,76.0,Football,1
731,1924,76.0,Rowing,1
732,1924,76.0,Rugby,1
733,1924,76.0,Tennis,3
734,1924,76.0,Water Polo,1
735,1924,77.0,Athletics,5
736,1924,77.0,Football,1
737,1924,77.0,Rugby,2
738,1924,77.0,Weightlifting,1
739,1924,77.5,Wrestling,1
740,1924,78.0,Athletics,11
741,1924,78.0,Cycling,2
742,1924,78.0,Rugby,2
743,1924,78.0,Weightlifting,1
744,1924,79.0,Athletics,6
745,1924,79.0,Boxing,2
746,1924,79.0,Rowing,3
747,1924,79.0,Weightlifting,2
748,1924,79.0,Wrestling,1
749,1924,80.0,Athletics,8
750,1924,80.0,Cycling,1
751,1924,80.0,Fencing,3
752,1924,80.0,Football,3
753,1924,80.0,Swimming,1
754,1924,80.0,Weightlifting,3
755,1924,81.0,Art Competitions,2
756,1924,81.0,Athletics,1
757,1924,81.0,Weightlifting,4
758,1924,82.0,Athletics,5
759,1924,82.0,Fencing,3
760,1924,82.0,Ice Hockey,1
761,1924,82.0,Weightlifting,8
762,1924,83.0,Athletics,4
763,1924,83.0,Rugby,1
764,1924,83.0,Weightlifting,2
765,1924,84.0,Athletics,3
766,1924,84.0,Boxing,1
767,1924,84.0,Fencing,1
768,1924,84.0,Wrestling,1
769,1924,85.0,Athletics,11
770,1924,85.0,Football,1
771,1924,86.0,Ice Hockey,1
772,1924,86.0,Rugby,1
773,1924,86.0,Weightlifting,1
774,1924,86.5,Wrestling,1
775,1924,87.0,Rugby,1
776,1924,88.0,Athletics,3
777,1924,88.0,Boxing,1
778,1924,88.0,Rugby,1
779,1924,88.0,Weightlifting,1
780,1924,90.0,Athletics,1
781,1924,90.0,Cycling,2
782,1924,90.0,Swimming,2
783,1924,91.0,Athletics,1
784,1924,92.0,Athletics,3
785,1924,92.0,Boxing,1
786,1924,92.0,Rugby,1
787,1924,92.0,Wrestling,1
788,1924,92.5,Athletics,1
789,1924,95.0,Athletics,2
790,1924,95.0,Shooting,4
791,1924,95.0,Weightlifting,2
792,1924,96.0,Weightlifting,1
793,1924,97.0,Athletics,1
794,1924,97.0,Weightlifting,2
795,1924,97.5,Athletics,1
796,1924,98.0,Athletics,2
797,1924,98.0,Rugby,1
798,1924,98.0,Weightlifting,1
799,1924,99.0,Rugby,1
800,1924,99.0,Weightlifting,3
801,1924,100.0,Athletics,1
802,1924,100.0,Weightlifting,3
803,1924,100.0,Wrestling,1
804,1924,102.0,Athletics,2
805,1924,102.0,Ice Hockey,1
806,1924,105.0,Water Polo,1
807,1924,106.0,Boxing,1
808,1924,107.0,Weightlifting,1
809,1924,109.0,Ice Hockey,1
810,1924,109.0,Weightlifting,1
811,1924,110.0,Athletics,1
812,1924,110.0,Weightlifting,1
813,1924,115.0,Athletics,3
814,1924,125.0,Athletics,1
815,1924,130.0,Shooting,2
816,1924,146.0,Weightlifting,1
817,1928,41.0,Rowing,1
818,1928,45.0,Athletics,3
819,1928,45.0,Figure Skating,1
820,1928,48.0,Athletics,1
821,1928,49.0,Athletics,2
822,1928,50.0,Athletics,4
823,1928,50.0,Boxing,2
824,1928,51.0,Athletics,1
825,1928,52.0,Athletics,5
826,1928,53.0,Athletics,6
827,1928,54.0,Athletics,8
828,1928,54.0,Rowing,2
829,1928,55.0,Athletics,8
830,1928,56.0,Athletics,8
831,1928,56.0,Weightlifting,1
832,1928,57.0,Athletics,4
833,1928,57.0,Boxing,2
834,1928,58.0,Athletics,11
835,1928,58.0,Figure Skating,1
836,1928,58.0,Gymnastics,7
837,1928,58.0,Rowing,1
838,1928,58.0,Wrestling,1
839,1928,59.0,Athletics,13
840,1928,59.0,Boxing,1
841,1928,59.0,Figure Skating,1
