,"(1896, '1')","(1896, '2')","(1896, '3')","(1900, '1')","(1900, '2')","(1900, '3')","(1904, '1')","(1904, '2')","(1904, '3')","(1906, '1')","(1906, '2')","(1906, '3')","(1908, '1')","(1908, '2')","(1908, '3')","(1912, '1')","(1912, '2')","(1912, '3')","(1920, '1')","(1920, '2')","(1920, '3')","(1924, '1')","(1924, '2')","(1924, '3')","(1928, '1')","(1928, '2')","(1928, '3')","(1932, '1')","(1932, '2')","(1932, '3')","(1936, '1')","(1936, '2')","(1936, '3')","(1948, '1')","(1948, '2')","(1948, '3')","(1952, '1')","(1952, '2')","(1952, '3')","(1956, '1')","(1956, '2')","(1956, '3')","(1960, '1')","(1960, '2')","(1960, '3')","(1964, '1')","(1964, '2')","(1964, '3')","(1968, '1')","(1968, '2')","(1968, '3')","(1972, '1')","(1972, '2')","(1972, '3')","(1976, '1')","(1976, '2')","(1976, '3')","(1980, '1')","(1980, '2')","(1980, '3')","(1984, '1')","(1984, '2')","(1984, '3')","(1988, '1')","(1988, '2')","(1988, '3')","(1992, '1')","(1992, '2')","(1992, '3')","(1994, '1')","(1994, '2')","(1994, '3')","(1996, '1')","(1996, '2')","(1996, '3')","(1998, '1')","(1998, '2')","(1998, '3')","(2000, '1')","(2000, '2')","(2000, '3')","(2002, '1')","(2002, '2')","(2002, '3')","(2004, '1')","(2004, '2')","(2004, '3')","(2006, '1')","(2006, '2')","(2006, '3')","(2008, '1')","(2008, '2')","(2008, '3')","(2010, '1')","(2010, '2')","(2010, '3')","(2012, '1')","(2012, '2')","(2012, '3')","(2014, '1')","(2014, '2')","(2014, '3')","(2016, '1')","(2016, '2')","(2016, '3')"
0,AUS,Athletics,3,ARG,Fencing,1,AUS,Athletics,2,AUS,Athletics,7,ANZ,Athletics,15,ANZ,Athletics,7,ARG,Boxing,1,ARG,Athletics,16,ARG,Athletics,12,ARG,Art Competitions,2,AFG,Athletics,3,AFG,Football,11,AHO,Football,11,AFG,Hockey,12,AFG,Athletics,9,AFG,Wrestling,8,AFG,Wrestling,5,AFG,Wrestling,8,AHO,Athletics,2,AFG,Boxing,3,AHO,Athletics,4,AFG,Wrestling,5,AHO,Athletics,1,AND,Alpine Skiing,13,AFG,Athletics,2,AND,Alpine Skiing,7,AHO,Athletics,2,AND,Alpine Skiing,5,AFG,Athletics,2,ALB,Alpine Skiing,3,AFG,Athletics,2,ALB,Alpine Skiing,2,AFG,Athletics,2,ALB,Alpine Skiing,2,AFG,Athletics,2
1,AUS,Tennis,2,AUS,Athletics,4,AUS,Swimming,4,AUS,Swimming,3,ANZ,Boxing,1,ANZ,Rowing,10,AUS,Athletics,8,ARG,Boxing,10,ARG,Bobsleigh,10,ARG,Athletics,18,AFG,Hockey,13,AFG,Hockey,14,ARG,Alpine Skiing,17,ARG,Athletics,2,AFG,Wrestling,7,AHO,Fencing,1,AHO,Fencing,3,AHO,Shooting,1,AHO,Judo,2,AFG,Wrestling,8,AHO,Swimming,5,AHO,Bobsleigh,2,AHO,Bobsleigh,2,ARG,Alpine Skiing,18,AHO,Athletics,1,ARG,Alpine Skiing,5,AHO,Equestrianism,1,ARG,Alpine Skiing,18,AFG,Boxing,1,ALG,Alpine Skiing,2,AFG,Taekwondo,2,ALG,Cross Country Skiing,1,AFG,Boxing,1,AND,Alpine Skiing,9,AFG,Judo,1
2,AUT,Cycling,4,AUS,Swimming,2,AUT,Gymnastics,4,AUT,Athletics,32,ANZ,Diving,1,ANZ,Swimming,20,AUS,Cycling,3,ARG,Cycling,14,ARG,Boxing,8,ARG,Boxing,8,ARG,Athletics,17,ARG,Alpine Skiing,14,ARG,Athletics,30,ARG,Boxing,10,AHO,Weightlifting,5,AHO,Weightlifting,3,AHO,Weightlifting,2,AHO,Weightlifting,1,AND,Alpine Skiing,11,ALG,Athletics,13,AHO,Synchronized Swimming,4,AHO,Luge,1,AHO,Sailing,2,ARG,Biathlon,2,AHO,Judo,1,ARG,Snowboarding,1,AHO,Sailing,1,ARG,Biathlon,4,AFG,Judo,1,ALG,Cross Country Skiing,1,AHO,Athletics,2,AND,Alpine Skiing,15,AFG,Judo,1,AND,Biathlon,2,ALB,Athletics,2
3,AUT,Fencing,1,AUT,Athletics,3,AUT,Swimming,3,AUT,Cycling,18,ANZ,Rugby,15,ANZ,Tennis,1,AUS,Diving,1,ARG,Fencing,24,ARG,Cycling,10,ARG,Fencing,9,ARG,Boxing,8,ARG,Athletics,38,ARG,Basketball,14,ARG,Equestrianism,13,ARG,Alpine Skiing,12,ALG,Gymnastics,7,ALG,Boxing,2,ALB,Shooting,4,AND,Boxing,1,ALG,Boxing,2,ALG,Athletics,9,AHO,Sailing,1,AHO,Shooting,1,ARM,Bobsleigh,2,AHO,Sailing,2,ARM,Alpine Skiing,1,AHO,Shooting,1,ARG,Freestyle Skiing,1,AFG,Wrestling,1,AND,Alpine Skiing,7,AHO,Shooting,1,AND,Cross Country Skiing,4,AFG,Taekwondo,2,AND,Snowboarding,1,ALB,Swimming,2
4,AUT,Swimming,3,AUT,Equestrianism,6,CAN,Athletics,10,AUT,Diving,1,ANZ,Shooting,3,AUT,Athletics,27,AUS,Swimming,16,ARG,Polo,5,ARG,Equestrianism,6,ARG,Shooting,2,ARG,Fencing,19,ARG,Basketball,14,ARG,Bobsleigh,4,ARG,Fencing,2,ARG,Athletics,4,ARG,Alpine Skiing,12,ALG,Gymnastics,7,ALB,Weightlifting,1,AND,Shooting,2,ALG,Fencing,1,ALG,Boxing,7,AHO,Shooting,1,ALB,Athletics,1,ASA,Bobsleigh,2,AHO,Shooting,2,ARM,Cross Country Skiing,1,AHO,Swimming,2,ARG,Luge,2,AHO,Athletics,2,AND,Cross Country Skiing,3,AHO,Swimming,1,AND,Snowboarding,1,ALB,Athletics,1,ARG,Alpine Skiing,19,ALB,Weightlifting,2
5,DEN,Athletics,4,AUT,Fencing,8,CAN,Football,13,AUT,Fencing,6,ANZ,Swimming,13,AUT,Cycling,12,AUS,Tennis,1,ARG,Rowing,9,ARG,Fencing,9,ARG,Swimming,7,ARG,Polo,4,ARG,Bobsleigh,6,ARG,Boxing,10,ARG,Modern Pentathlon,1,ARG,Boxing,10,ARG,Athletics,12,ARG,Alpine Skiing,12,ALG,Athletics,6,ANT,Athletics,14,ALG,Football,14,ALG,Handball,15,AHO,Swimming,2,ALB,Shooting,2,AUS,Alpine Skiing,5,AHO,Swimming,1,ARM,Figure Skating,4,AHO,Triathlon,1,ARG,Skeleton,1,AHO,Equestrianism,1,ARG,Alpine Skiing,12,ALB,Athletics,2,ARG,Alpine Skiing,18,ALB,Judo,1,ARG,Cross Country Skiing,1,ALG,Athletics,16
6,DEN,Fencing,1,AUT,Swimming,9,CAN,Golf,3,AUT,Shooting,15,ARG,Figure Skating,1,AUT,Diving,1,BEL,Archery,51,ARG,Sailing,6,ARG,Football,16,ARG,Weightlifting,1,ARG,Rowing,3,ARG,Boxing,8,ARG,Cycling,6,ARG,Sailing,6,ARG,Cross Country Skiing,2,ARG,Bobsleigh,9,ARG,Athletics,9,ALG,Boxing,1,ANT,Cycling,3,ALG,Handball,14,ALG,Weightlifting,2,ALG,Athletics,15,ALB,Swimming,3,AUS,Biathlon,4,ALB,Athletics,2,ARM,Freestyle Skiing,1,ALB,Athletics,2,ARM,Alpine Skiing,3,ALB,Athletics,2,ARG,Biathlon,2,ALB,Judo,1,ARG,Cross Country Skiing,1,ALB,Shooting,2,ARM,Alpine Skiing,2,ALG,Boxing,8
7,DEN,Gymnastics,1,BEL,Archery,8,CAN,Lacrosse,24,AUT,Swimming,9,AUT,Athletics,4,AUT,Fencing,21,BEL,Art Competitions,6,ARG,Shooting,8,ARG,Rowing,9,AUS,Art Competitions,2,ARG,Sailing,11,ARG,Cycling,16,ARG,Equestrianism,12,ARG,Shooting,4,ARG,Cycling,9,ARG,Boxing,10,ARG,Boxing,7,ARG,Alpine Skiing,6,ARG,Alpine Skiing,12,ALG,Judo,3,AND,Alpine Skiing,6,ALG,Boxing,6,ALB,Weightlifting,3,AUS,Bobsleigh,6,ALB,Cycling,1,AUS,Alpine Skiing,1,ALB,Shooting,2,ARM,Bobsleigh,2,ALB,Swimming,2,ARG,Cross Country Skiing,1,ALB,Shooting,2,ARG,Luge,1,ALB,Swimming,2,ARM,Cross Country Skiing,4,ALG,Cycling,2
8,DEN,Shooting,7,BEL,Cycling,1,CAN,Rowing,9,AUT,Tug-Of-War,8,AUT,Fencing,1,AUT,Football,15,BEL,Athletics,78,ARG,Swimming,6,ARG,Sailing,5,AUS,Athletics,5,ARG,Shooting,5,ARG,Equestrianism,18,ARG,Fencing,20,ARG,Weightlifting,2,ARG,Diving,1,ARG,Cycling,14,ARG,Cycling,16,ARG,Athletics,10,ARG,Athletics,2,ALG,Swimming,10,AND,Shooting,2,ALG,Cycling,2,ALG,Alpine Skiing,8,AUS,Cross Country Skiing,7,ALB,Shooting,4,AUS,Biathlon,2,ALB,Weightlifting,1,ARM,Cross Country Skiing,9,ALB,Weightlifting,2,ARG,Freestyle Skiing,1,ALB,Swimming,2,ARM,Alpine Skiing,4,ALB,Weightlifting,4,AUS,Alpine Skiing,13,ALG,Fencing,2
9,DEN,Weightlifting,2,BEL,Equestrianism,15,CAN,Wrestling,2,AUT,Weightlifting,2,AUT,Swimming,3,AUT,Modern Pentathlon,1,BEL,Boxing,13,ARG,Tennis,8,ARG,Swimming,8,AUS,Cycling,2,ARG,Swimming,1,ARG,Fencing,28,ARG,Gymnastics,14,ARG,Wrestling,4,ARG,Equestrianism,15,ARG,Equestrianism,15,ARG,Equestrianism,14,ARG,Boxing,5,ARG,Boxing,3,ALG,Weightlifting,3,ANT,Athletics,22,ALG,Handball,14,ALG,Athletics,9,AUS,Figure Skating,3,ALB,Weightlifting,1,AUS,Bobsleigh,6,ALG,Athletics,23,ARM,Figure Skating,3,ALB,Wrestling,1,ARG,Luge,1,ALB,Weightlifting,3,ARM,Cross Country Skiing,2,ALG,Athletics,7,AUS,Biathlon,4,ALG,Football,18
10,FRA,Athletics,12,BEL,Fencing,6,CUB,Athletics,1,AUT,Wrestling,9,AUT,Tennis,5,AUT,Rowing,6,BEL,Cycling,24,ARG,Weightlifting,3,ARG,Water Polo,7,AUS,Rowing,1,AUS,Athletics,8,ARG,Gymnastics,55,ARG,Modern Pentathlon,6,AUS,Alpine Skiing,11,ARG,Fencing,9,ARG,Fencing,23,ARG,Fencing,22,ARG,Cycling,9,ARG,Cross Country Skiing,4,ALG,Wrestling,3,ANT,Cycling,4,ALG,Judo,5,ALG,Boxing,8,AUS,Freestyle Skiing,5,ALB,Wrestling,1,AUS,Cross Country Skiing,7,ALG,Boxing,7,AUS,Alpine Skiing,21,ALG,Athletics,21,ARM,Alpine Skiing,1,ALB,Wrestling,2,AUS,Alpine Skiing,4,ALG,Boxing,8,AUS,Bobsleigh,8,ALG,Gymnastics,10
11,FRA,Cycling,7,BEL,Football,9,CUB,Fencing,5,BEL,Athletics,4,BEL,Athletics,10,AUT,Shooting,15,BEL,Diving,3,AUS,Alpinism,1,ARG,Weightlifting,3,AUS,Swimming,9,AUS,Boxing,3,ARG,Hockey,12,ARG,Rowing,9,AUS,Athletics,96,ARG,Football,13,ARG,Football,14,ARG,Hockey,18,ARG,Equestrianism,15,ARG,Cycling,8,AND,Alpine Skiing,9,ANT,Sailing,1,ALG,Tennis,1,ALG,Judo,3,AUS,Luge,1,ALG,Athletics,8,AUS,Figure Skating,4,ALG,Fencing,2,AUS,Figure Skating,2,ALG,Boxing,7,ARM,Cross Country Skiing,6,ALG,Athletics,12,AUS,Biathlon,2,ALG,Cycling,1,AUS,Cross Country Skiing,11,ALG,Judo,5
12,FRA,Fencing,4,BEL,Gymnastics,2,FRA,Athletics,2,BEL,Cycling,6,BEL,Cycling,12,AUT,Swimming,14,BEL,Equestrianism,27,AUS,Art Competitions,1,ARG,Wrestling,5,AUS,Wrestling,1,AUS,Cycling,4,ARG,Modern Pentathlon,3,ARG,Sailing,14,AUS,Basketball,12,ARG,Gymnastics,7,ARG,Gymnastics,7,ARG,Rowing,9,ARG,Fencing,13,ARG,Equestrianism,12,AND,Shooting,2,ARG,Alpine Skiing,21,ALG,Weightlifting,2,ALG,Swimming,2,AUS,Short Track Speed Skating,12,ALG,Boxing,6,AUS,Freestyle Skiing,5,ALG,Judo,7,AUS,Freestyle Skiing,7,ALG,Fencing,10,ARM,Figure Skating,2,ALG,Badminton,1,AUS,Bobsleigh,7,ALG,Fencing,2,AUS,Figure Skating,4,ALG,Rowing,2
13,FRA,Gymnastics,1,BEL,Rowing,11,GBR,Athletics,3,BEL,Fencing,11,BEL,Diving,1,AUT,Tennis,5,BEL,Fencing,43,AUS,Athletics,18,AUS,Athletics,13,AUT,Art Competitions,21,AUS,Diving,2,ARG,Rowing,26,ARG,Shooting,7,AUS,Boxing,9,ARG,Modern Pentathlon,6,ARG,Judo,3,ARG,Sailing,6,ARG,Hockey,16,ARG,Fencing,16,ANG,Athletics,3,ARG,Athletics,9,AND,Alpine Skiing,9,ALG,Volleyball,10,AUS,Speed Skating,4,ALG,Fencing,2,AUS,Short Track Speed Skating,8,ALG,Rowing,2,AUS,Short Track Speed Skating,10,ALG,Judo,11,AUS,Alpine Skiing,5,ALG,Boxing,7,AUS,Cross Country Skiing,6,ALG,Judo,2,AUS,Freestyle Skiing,21,ALG,Sailing,3
14,FRA,Shooting,1,BEL,Shooting,36,GBR,Fencing,1,BEL,Rowing,4,BEL,Fencing,27,AUT,Water Polo,7,BEL,Figure Skating,2,AUS,Boxing,3,AUS,Cycling,2,AUT,Athletics,2,AUS,Rowing,12,ARG,Sailing,13,ARG,Swimming,13,AUS,Canoeing,13,ARG,Rowing,9,ARG,Luge,1,ARG,Shooting,4,ARG,Judo,2,ARG,Hockey,16,ANG,Boxing,3,ARG,Biathlon,5,AND,Athletics,2,ALG,Weightlifting,2,AUT,Alpine Skiing,35,ALG,Handball,16,AUS,Snowboarding,1,ALG,Swimming,4,AUS,Snowboarding,1,ALG,Rowing,1,AUS,Biathlon,2,ALG,Cycling,1,AUS,Figure Skating,1,ALG,Rowing,1,AUS,Luge,1,ALG,Shooting,1
15,FRA,Tennis,1,BEL,Swimming,1,GBR,Golf,2,BEL,Shooting,1,BEL,Gymnastics,2,AUT,Wrestling,8,BEL,Football,14,AUS,Cycling,6,AUS,Diving,2,AUT,Bobsleigh,2,AUS,Speed Skating,3,ARG,Shooting,12,ARG,Water Polo,7,AUS,Cycling,16,ARG,Sailing,9,ARG,Rowing,12,ARG,Swimming,20,ARG,Rowing,19,ARG,Judo,3,ANG,Swimming,11,ARG,Boxing,6,AND,Cycling,2,ALG,Wrestling,2,AUT,Biathlon,12,ALG,Judo,6,AUT,Alpine Skiing,37,ALG,Table Tennis,2,AUT,Alpine Skiing,40,ALG,Swimming,10,AUS,Bobsleigh,4,ALG,Fencing,2,AUS,Freestyle Skiing,11,ALG,Shooting,1,AUS,Short Track Speed Skating,3,ALG,Swimming,2
16,GBR,Athletics,7,BEL,Water Polo,11,GER,Athletics,5,BEL,Weightlifting,2,BEL,Rowing,10,BEL,Art Competitions,1,BEL,Gymnastics,53,AUS,Diving,2,AUS,Rowing,1,AUT,Cross Country Skiing,3,AUS,Swimming,7,ARG,Swimming,29,ARG,Weightlifting,5,AUS,Diving,12,ARG,Shooting,9,ARG,Sailing,6,ARG,Weightlifting,1,ARG,Sailing,9,ARG,Rowing,10,ARG,Alpine Skiing,12,ARG,Canoeing,2,ANG,Athletics,8,AND,Alpine Skiing,14,AUT,Bobsleigh,12,ALG,Rowing,1,AUT,Biathlon,12,ALG,Trampolining,1,AUT,Biathlon,15,ALG,Table Tennis,7,AUS,Cross Country Skiing,3,ALG,Judo,10,AUS,Luge,1,ALG,Swimming,1,AUS,Skeleton,3,ALG,Weightlifting,2
17,GBR,Cycling,5,BOH,Athletics,5,GER,Diving,3,BEL,Wrestling,3,BEL,Sailing,3,BEL,Athletics,3,BEL,Hockey,14,AUS,Rowing,10,AUS,Swimming,8,AUT,Diving,4,AUS,Wrestling,3,ARG,Water Polo,7,ARG,Wrestling,7,AUS,Equestrianism,7,ARG,Swimming,4,ARG,Shooting,8,ARG,Wrestling,6,ARG,Shooting,5,ARG,Sailing,4,ARG,Biathlon,10,ARG,Cross Country Skiing,11,ANG,Boxing,3,AND,Athletics,1,AUT,Cross Country Skiing,3,ALG,Swimming,3,AUT,Bobsleigh,8,ALG,Weightlifting,1,AUT,Bobsleigh,6,ALG,Tennis,1,AUS,Figure Skating,1,ALG,Rowing,3,AUS,Short Track Speed Skating,4,ALG,Taekwondo,1,AUS,Snowboarding,14,ALG,Wrestling,3
18,GBR,Gymnastics,1,BOH,Cycling,1,GER,Fencing,2,BOH,Athletics,13,BEL,Shooting,16,BEL,Cycling,1,BEL,Ice Hockey,7,AUS,Swimming,15,AUS,Wrestling,3,AUT,Fencing,1,AUT,Alpine Skiing,4,ARG,Weightlifting,8,AUS,Alpine Skiing,9,AUS,Fencing,27,ARG,Water Polo,7,ARG,Swimming,14,AUS,Alpine Skiing,3,ARG,Swimming,14,ARG,Shooting,6,ARG,Cross Country Skiing,4,ARG,Cycling,12,ANG,Judo,7,AND,Cycling,3,AUT,Freestyle Skiing,1,ALG,Weightlifting,3,AUT,Cross Country Skiing,22,ALG,Wrestling,2,AUT,Cross Country Skiing,17,ALG,Weightlifting,2,AUS,Freestyle Skiing,9,ALG,Swimming,6,AUS,Skeleton,3,ALG,Volleyball,11,AUS,Speed Skating,2,AND,Athletics,1
19,GBR,Shooting,5,BOH,Gymnastics,1,GER,Gymnastics,28,BOH,Fencing,1,BEL,Swimming,7,BEL,Equestrianism,15,BEL,Polo,4,AUS,Tennis,4,AUT,Art Competitions,49,AUT,Figure Skating,2,AUT,Art Competitions,84,ARG,Wrestling,8,AUS,Athletics,40,AUS,Figure Skating,2,ARG,Wrestling,4,ARG,Weightlifting,2,AUS,Athletics,35,ARG,Wrestling,6,ARG,Swimming,20,AUS,Alpine Skiing,9,ARG,Diving,2,ANG,Swimming,15,AND,Judo,1,AUT,Ice Hockey,23,ALG,Wrestling,2,AUT,Figure Skating,1,AND,Athletics,2,AUT,Freestyle Skiing,1,ALG,Wrestling,1,AUS,Luge,1,ALG,Table Tennis,1,AUS,Snowboarding,8,ALG,Weightlifting,1,AUT,Alpine Skiing,40,AND,Judo,1
20,GBR,Tennis,4,BOH,Tennis,2,GER,Swimming,9,BOH,Gymnastics,3,BEL,Water Polo,7,BEL,Fencing,30,BEL,Rowing,20,AUS,Wrestling,1,AUT,Athletics,7,AUT,Nordic Combined,3,AUT,Athletics,41,AUS,Athletics,34,AUS,Boxing,5,AUS,Football,11,AUS,Alpine Skiing,9,ARG,Wrestling,8,AUS,Boxing,4,AUS,Alpine Skiing,6,ARG,Wrestling,6,AUS,Archery,3,ARG,Equestrianism,7,ANT,Athletics,19,AND,Sailing,2,AUT,Luge,8,AND,Athletics,1,AUT,Freestyle Skiing,2,AND,Shooting,1,AUT,Ice Hockey,21,AND,Athletics,2,AUS,Short Track Speed Skating,9,ALG,Volleyball,10,AUS,Speed Skating,2,ALG,Wrestling,3,AUT,Biathlon,28,AND,Shooting,1
21,GBR,Weightlifting,2,BRA,Athletics,3,GER,Tennis,2,BOH,Shooting,5,BEL,Wrestling,4,BEL,Rowing,6,BEL,Sailing,14,AUT,Athletics,7,AUT,Bobsleigh,11,AUT,Sailing,1,AUT,Bobsleigh,12,AUS,Boxing,7,AUS,Cross Country Skiing,4,AUS,Gymnastics,63,AUS,Athletics,45,AUS,Alpine Skiing,14,AUS,Canoeing,7,AUS,Archery,3,AUS,Alpine Skiing,12,AUS,Athletics,25,ARG,Fencing,22,ANT,Boxing,2,AND,Shooting,1,AUT,Nordic Combined,7,AND,Judo,1,AUT,Ice Hockey,22,AND,Swimming,2,AUT,Luge,10,AND,Judo,1,AUS,Skeleton,2,ALG,Weightlifting,1,AUT,Alpine Skiing,39,AND,Athletics,2,AUT,Bobsleigh,10,AND,Swimming,1
22,GBR,Wrestling,1,CAN,Athletics,7,GER,Tug-Of-War,1,BOH,Tennis,5,BOH,Athletics,6,BEL,Swimming,6,BEL,Shooting,59,AUT,Boxing,3,AUT,Boxing,1,AUT,Ski Jumping,2,AUT,Boxing,6,AUS,Cycling,14,AUS,Cycling,16,AUS,Hockey,18,AUS,Boxing,10,AUS,Athletics,60,AUS,Cross Country Skiing,2,AUS,Athletics,36,AUS,Archery,4,AUS,Basketball,12,ARG,Judo,4,ANT,Cycling,3,ANG,Athletics,7,AUT,Ski Jumping,12,AND,Sailing,3,AUT,Luge,8,ANG,Athletics,2,AUT,Nordic Combined,12,AND,Shooting,1,AUS,Snowboarding,9,ALG,Wrestling,3,AUT,Biathlon,20,AND,Judo,1,AUT,Cross Country Skiing,21,ANG,Athletics,2
23,GER,Athletics,14,COL,Tug-Of-War,1,GER,Weightlifting,2,BOH,Wrestling,2,BOH,Fencing,23,BEL,Water Polo,9,BEL,Swimming,17,AUT,Diving,3,AUT,Cross Country Skiing,1,AUT,Weightlifting,2,AUT,Canoeing,14,AUS,Diving,1,AUS,Diving,3,AUS,Modern Pentathlon,6,AUS,Canoeing,11,AUS,Basketball,12,AUS,Cycling,14,AUS,Basketball,12,AUS,Athletics,47,AUS,Boxing,2,ARG,Rowing,7,ANT,Sailing,1,ANG,Basketball,12,AUT,Speed Skating,17,AND,Shooting,1,AUT,Nordic Combined,8,ANG,Basketball,12,AUT,Skeleton,2,AND,Swimming,2,AUT,Alpine Skiing,40,AND,Athletics,2,AUT,Bobsleigh,8,AND,Shooting,1,AUT,Figure Skating,4,ANG,Handball,15
24,GER,Cycling,10,CUB,Fencing,2,GER,Wrestling,3,CAN,Athletics,4,BOH,Gymnastics,2,BEL,Wrestling,1,BEL,Tennis,32,AUT,Equestrianism,2,AUT,Cycling,4,AUT,Wrestling,2,AUT,Cross Country Skiing,8,AUS,Rowing,8,AUS,Fencing,23,AUS,Rowing,26,AUS,Cross Country Skiing,1,AUS,Boxing,10,AUS,Diving,4,AUS,Boxing,4,AUS,Basketball,12,AUS,Canoeing,8,ARG,Sailing,8,ARG,Alpine Skiing,35,ANG,Boxing,1,BEL,Alpine Skiing,2,AND,Swimming,2,AUT,Ski Jumping,12,ANG,Handball,13,AUT,Ski Jumping,12,ANG,Athletics,1,AUT,Biathlon,17,AND,Canoeing,1,AUT,Cross Country Skiing,3,AND,Swimming,2,AUT,Freestyle Skiing,11,ANG,Judo,1
25,GER,Gymnastics,66,DEN,Athletics,6,GRE,Athletics,11,CRT,Athletics,10,BOH,Tennis,6,BOH,Art Competitions,1,BEL,Tug-Of-War,8,AUT,Fencing,8,AUT,Diving,3,BEL,Art Competitions,57,AUT,Cycling,16,AUS,Sailing,3,AUS,Figure Skating,3,AUS,Sailing,11,AUS,Cycling,16,AUS,Canoeing,12,AUS,Equestrianism,14,AUS,Canoeing,7,AUS,Boxing,4,AUS,Cross Country Skiing,2,ARG,Shooting,8,ARG,Archery,2,ANG,Judo,4,BEL,Short Track Speed Skating,6,ANG,Athletics,3,AUT,Snowboarding,11,ANG,Shooting,1,AUT,Snowboarding,9,ANG,Basketball,12,AUT,Bobsleigh,8,AND,Judo,1,AUT,Figure Skating,2,ANG,Athletics,2,AUT,Ice Hockey,24,ANG,Rowing,2
26,GER,Tennis,2,DEN,Fencing,1,GRE,Tug-Of-War,5,CRT,Shooting,1,BOH,Wrestling,4,BOH,Athletics,15,BEL,Water Polo,8,AUT,Figure Skating,4,AUT,Equestrianism,6,BEL,Bobsleigh,4,AUT,Diving,4,AUS,Shooting,6,AUS,Modern Pentathlon,1,AUS,Shooting,14,AUS,Diving,5,AUS,Cycling,14,AUS,Fencing,11,AUS,Cycling,15,AUS,Canoeing,10,AUS,Cycling,15,ARG,Swimming,12,ARG,Athletics,2,ANG,Sailing,3,BER,Luge,1,ANG,Basketball,11,AUT,Speed Skating,11,ANG,Swimming,2,AUT,Speed Skating,3,ANG,Handball,15,AUT,Cross Country Skiing,12,AND,Swimming,1,AUT,Freestyle Skiing,9,ANG,Basketball,12,AUT,Luge,14,ANG,Sailing,3
27,GER,Weightlifting,1,DEN,Shooting,25,GRE,Weightlifting,1,DEN,Athletics,13,CAN,Athletics,52,BOH,Cycling,10,BEL,Weightlifting,7,AUT,Shooting,10,AUT,Fencing,9,BEL,Fencing,12,AUT,Equestrianism,14,AUS,Swimming,14,AUS,Rowing,14,AUS,Speed Skating,4,AUS,Equestrianism,8,AUS,Diving,4,AUS,Gymnastics,12,AUS,Diving,6,AUS,Cycling,15,AUS,Diving,6,ARG,Volleyball,10,ARG,Biathlon,6,ANG,Swimming,6,BIH,Alpine Skiing,2,ANG,Handball,13,AZE,Figure Skating,4,ANT,Athletics,3,AZE,Alpine Skiing,1,ANG,Judo,1,AUT,Figure Skating,1,ANG,Athletics,1,AUT,Luge,9,ANG,Canoeing,4,AUT,Nordic Combined,12,ANG,Shooting,1
28,GER,Wrestling,1,DEN,Swimming,1,HUN,Athletics,5,DEN,Cycling,2,CAN,Cycling,24,BOH,Fencing,27,BEL,Wrestling,14,AUT,Weightlifting,15,AUT,Figure Skating,11,BEL,Figure Skating,1,AUT,Fencing,29,AUS,Water Polo,10,AUS,Sailing,6,AUS,Swimming,40,AUS,Fencing,19,AUS,Equestrianism,14,AUS,Hockey,14,AUS,Equestrianism,8,AUS,Diving,8,AUS,Fencing,4,ARG,Wrestling,6,ARG,Boxing,4,ANT,Athletics,7,BIH,Bobsleigh,6,ANG,Shooting,1,BEL,Speed Skating,3,ANT,Sailing,1,AZE,Figure Skating,3,ANG,Swimming,1,AUT,Freestyle Skiing,1,ANG,Basketball,12,AUT,Nordic Combined,12,ANG,Handball,14,AUT,Short Track Speed Skating,3,ANG,Swimming,2
29,GRE,Athletics,36,DEN,Tug-Of-War,3,HUN,Swimming,4,DEN,Fencing,5,CAN,Diving,1,BOH,Gymnastics,1,BRA,Diving,3,AUT,Wrestling,8,AUT,Hockey,16,BRA,Athletics,22,AUT,Figure Skating,12,AUS,Weightlifting,2,AUS,Speed Skating,3,AUS,Water Polo,9,AUS,Figure Skating,6,AUS,Fencing,32,AUS,Modern Pentathlon,6,AUS,Fencing,4,AUS,Equestrianism,14,AUS,Figure Skating,2,AUS,Alpine Skiing,4,ARG,Canoeing,10,ANT,Cycling,6,BIH,Cross Country Skiing,2,ANG,Swimming,2,BER,Luge,1,ARG,Athletics,11,BEL,Figure Skating,1,ANT,Athletics,3,AUT,Luge,10,ANG,Beach Volleyball,2,AUT,Short Track Speed Skating,2,ANG,Judo,1,AUT,Skeleton,3,ANT,Athletics,7
30,GRE,Cycling,15,ESP,Basque Pelota,2,ITA,Cycling,1,DEN,Football,12,CAN,Fencing,1,BOH,Rowing,1,BRA,Rowing,5,BEL,Art Competitions,6,AUT,Ice Hockey,12,BRA,Rowing,19,AUT,Football,13,AUS,Wrestling,4,AUS,Swimming,18,AUS,Weightlifting,7,AUS,Gymnastics,24,AUS,Gymnastics,78,AUS,Rowing,11,AUS,Gymnastics,19,AUS,Fencing,4,AUS,Gymnastics,17,AUS,Archery,2,ARG,Cross Country Skiing,3,ANT,Sailing,5,BIH,Luge,2,ANT,Athletics,14,BIH,Alpine Skiing,5,ARG,Beach Volleyball,4,BEL,Short Track Speed Skating,10,ANT,Swimming,2,AUT,Nordic Combined,12,ANG,Canoeing,2,AUT,Skeleton,1,ANG,Swimming,2,AUT,Ski Jumping,14,ANT,Swimming,2
