,"(1896, '1')","(1896, '2')","(1896, '3')","(1900, '1')","(1900, '2')","(1900, '3')","(1904, '1')","(1904, '2')","(1904, '3')","(1906, '1')","(1906, '2')","(1906, '3')","(1908, '1')","(1908, '2')","(1908, '3')","(1912, '1')","(1912, '2')","(1912, '3')","(1920, '1')","(1920, '2')","(1920, '3')","(1924, '1')","(1924, '2')","(1924, '3')","(1928, '1')","(1928, '2')","(1928, '3')","(1932, '1')","(1932, '2')","(1932, '3')","(1936, '1')","(1936, '2')","(1936, '3')","(1948, '1')","(1948, '2')","(1948, '3')","(1952, '1')","(1952, '2')","(1952, '3')","(1956, '1')","(1956, '2')","(1956, '3')","(1960, '1')","(1960, '2')","(1960, '3')","(1964, '1')","(1964, '2')","(1964, '3')","(1968, '1')","(1968, '2')","(1968, '3')","(1972, '1')","(1972, '2')","(1972, '3')","(1976, '1')","(1976, '2')","(1976, '3')","(1980, '1')","(1980, '2')","(1980, '3')","(1984, '1')","(1984, '2')","(1984, '3')","(1988, '1')","(1988, '2')","(1988, '3')","(1992, '1')","(1992, '2')","(1992, '3')","(1994, '1')","(1994, '2')","(1994, '3')","(1996, '1')","(1996, '2')","(1996, '3')","(1998, '1')","(1998, '2')","(1998, '3')","(2000, '1')","(2000, '2')","(2000, '3')","(2002, '1')","(2002, '2')","(2002, '3')","(2004, '1')","(2004, '2')","(2004, '3')","(2006, '1')","(2006, '2')","(2006, '3')","(2008, '1')","(2008, '2')","(2008, '3')","(2010, '1')","(2010, '2')","(2010, '3')","(2012, '1')","(2012, '2')","(2012, '3')","(2014, '1')","(2014, '2')","(2014, '3')","(2016, '1')","(2016, '2')","(2016, '3')"
1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Cycling,15,PHI,Swimming,17,,,,RUS,Weightlifting,9,,,,PRK,Shooting,1,,,,POL,Swimming,13,,,,PER,Weightlifting,1,,,,NOR,Cycling,7,,,,MOZ,Judo,1
1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Figure Skating,6,PNG,Athletics,12,,,,RUS,Wrestling,20,,,,PRK,Synchronized Swimming,2,,,,POL,Table Tennis,4,,,,PER,Wrestling,1,,,,NOR,Diving,1,,,,MOZ,Swimming,2
1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Gymnastics,36,PNG,Boxing,5,,,,RWA,Athletics,4,,,,PRK,Weightlifting,4,,,,POL,Taekwondo,1,,,,PHI,Archery,1,,,,NOR,Equestrianism,1,,,,MRI,Athletics,3
1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Handball,29,PNG,Sailing,1,,,,SAM,Athletics,2,,,,PRK,Wrestling,4,,,,POL,Tennis,2,,,,PHI,Athletics,2,,,,NOR,Fencing,1,,,,MRI,Badminton,1
1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Ice Hockey,22,PNG,Weightlifting,1,,,,SAM,Boxing,2,,,,PUR,Athletics,8,,,,POL,Volleyball,12,,,,PHI,Boxing,1,,,,NOR,Handball,14,,,,MRI,Boxing,2
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Judo,3,POL,Alpine Skiing,9,,,,SAM,Weightlifting,1,,,,PUR,Boxing,5,,,,POL,Weightlifting,7,,,,PHI,Diving,2,,,,NOR,Rowing,5,,,,MRI,Judo,1
1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Luge,4,POL,Archery,12,,,,SCG,Athletics,9,,,,PUR,Diving,2,,,,POL,Wrestling,9,,,,PHI,Shooting,1,,,,NOR,Sailing,6,,,,MRI,Swimming,2
1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Modern Pentathlon,6,POL,Athletics,25,,,,SCG,Basketball,12,,,,PUR,Fencing,1,,,,POR,Athletics,27,,,,PHI,Swimming,7,,,,NOR,Shooting,9,,,,MRI,Triathlon,1
1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Nordic Combined,7,POL,Badminton,8,,,,SCG,Canoeing,1,,,,PUR,Gymnastics,7,,,,POR,Badminton,1,,,,PHI,Taekwondo,2,,,,NOR,Swimming,5,,,,MRI,Weightlifting,1
1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Rhythmic Gymnastics,2,POL,Biathlon,23,,,,SCG,Diving,2,,,,PUR,Judo,4,,,,POR,Beach Volleyball,2,,,,PHI,Weightlifting,1,,,,NOR,Wrestling,1,,,,MTN,Athletics,2
1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCH,Rowing,17,POL,Boxing,8,,,,SCG,Fencing,1,,,,PUR,Sailing,2,,,,POR,Canoeing,2,,,,PLE,Athletics,2,,,,NRU,Judo,1,,,,MYA,Archery,1
