,Age,Sport,count
964,31.0,Skeleton,9
965,31.0,Ski Jumping,44
966,31.0,Snowboarding,34
967,31.0,Softball,17
968,31.0,Speed Skating,147
969,31.0,Swimming,91
970,31.0,Synchronized Swimming,10
971,31.0,Table Tennis,79
972,31.0,Taekwondo,12
973,31.0,Tennis,96
974,31.0,Trampolining,8
975,31.0,Triathlon,33
976,31.0,Tug-Of-War,4
977,31.0,Volleyball,96
978,31.0,Water Polo,137
979,31.0,Weightlifting,127
980,31.0,Wrestling,240
981,32.0,Alpine Skiing,100
982,32.0,Archery,54
983,32.0,Art Competitions,67
984,32.0,Athletics,915
985,32.0,Badminton,41
986,32.0,Baseball,24
987,32.0,Basketball,100
988,32.0,Beach Volleyball,37
989,32.0,Biathlon,237
990,32.0,Bobsleigh,156
991,32.0,Boxing,54
992,32.0,Canoeing,181
993,32.0,Cricket,1
994,32.0,Cross Country Skiing,298
995,32.0,Curling,20
996,32.0,Cycling,238
997,32.0,Diving,27
998,32.0,Equestrianism,267
999,32.0,Fencing,398
1000,32.0,Figure Skating,8
1001,32.0,Football,83
1002,32.0,Freestyle Skiing,13
1003,32.0,Golf,3
1004,32.0,Gymnastics,294
1005,32.0,Handball,143
1006,32.0,Hockey,147
1007,32.0,Ice Hockey,172
1008,32.0,Jeu De Paume,1
1009,32.0,Judo,97
1010,32.0,Lacrosse,2
1011,32.0,Luge,32
1012,32.0,Military Ski Patrol,1
1013,32.0,Modern Pentathlon,43
1014,32.0,Nordic Combined,25
1015,32.0,Polo,7
1016,32.0,Rowing,214
1017,32.0,Rugby,1
1018,32.0,Rugby Sevens,10
1019,32.0,Sailing,261
1020,32.0,Shooting,536
1021,32.0,Short Track Speed Skating,10
1022,32.0,Skeleton,12
1023,32.0,Ski Jumping,26
1024,32.0,Snowboarding,18
1025,32.0,Softball,14
1026,32.0,Speed Skating,81
1027,32.0,Swimming,66
1028,32.0,Synchronized Swimming,3
1029,32.0,Table Tennis,72
1030,32.0,Taekwondo,16
1031,32.0,Tennis,71
1032,32.0,Trampolining,2
1033,32.0,Triathlon,28
1034,32.0,Tug-Of-War,3
1035,32.0,Volleyball,83
1036,32.0,Water Polo,118
1037,32.0,Weightlifting,106
1038,32.0,Wrestling,209
1039,33.0,Alpine Skiing,57
1040,33.0,Alpinism,3
1041,33.0,Archery,59
1042,33.0,Art Competitions,70
1043,33.0,Athletics,620
1044,33.0,Badminton,20
1045,33.0,Baseball,27
1046,33.0,Basketball,71
1047,33.0,Beach Volleyball,29
1048,33.0,Biathlon,111
1049,33.0,Bobsleigh,134
1050,33.0,Boxing,26
1051,33.0,Canoeing,118
1052,33.0,Cricket,1
1053,33.0,Croquet,2
1054,33.0,Cross Country Skiing,244
1055,33.0,Curling,18
1056,33.0,Cycling,163
1057,33.0,Diving,12
1058,33.0,Equestrianism,294
1059,33.0,Fencing,361
1060,33.0,Figure Skating,12
1061,33.0,Football,45
1062,33.0,Freestyle Skiing,13
1063,33.0,Golf,3
1064,33.0,Gymnastics,227
1065,33.0,Handball,95
1066,33.0,Hockey,112
1067,33.0,Ice Hockey,131
1068,33.0,Judo,62
1069,33.0,Lacrosse,2
1070,33.0,Luge,18
1071,33.0,Modern Pentathlon,48
1072,33.0,Motorboating,2
1073,33.0,Nordic Combined,18
1074,33.0,Polo,8
1075,33.0,Rowing,163
1076,33.0,Rugby,1
1077,33.0,Rugby Sevens,8
1078,33.0,Sailing,224
1079,33.0,Shooting,475
1080,33.0,Short Track Speed Skating,5
1081,33.0,Skeleton,10
1082,33.0,Ski Jumping,14
1083,33.0,Snowboarding,24
1084,33.0,Softball,9
1085,33.0,Speed Skating,78
1086,33.0,Swimming,40
1087,33.0,Table Tennis,56
1088,33.0,Taekwondo,8
1089,33.0,Tennis,60
1090,33.0,Trampolining,2
1091,33.0,Triathlon,18
1092,33.0,Tug-Of-War,10
1093,33.0,Volleyball,54
1094,33.0,Water Polo,95
1095,33.0,Weightlifting,76
1096,33.0,Wrestling,134
1097,34.0,Alpine Skiing,34
1098,34.0,Archery,55
1099,34.0,Art Competitions,56
1100,34.0,Athletics,504
1101,34.0,Badminton,26
1102,34.0,Baseball,11
1103,34.0,Basketball,44
1104,34.0,Beach Volleyball,31
1105,34.0,Biathlon,102
1106,34.0,Bobsleigh,101
1107,34.0,Boxing,12
1108,34.0,Canoeing,108
1109,34.0,Cross Country Skiing,149
1110,34.0,Curling,23
1111,34.0,Cycling,131
1112,34.0,Diving,11
1113,34.0,Equestrianism,274
1114,34.0,Fencing,323
1115,34.0,Figure Skating,17
1116,34.0,Football,30
1117,34.0,Freestyle Skiing,11
1118,34.0,Golf,9
1119,34.0,Gymnastics,244
1120,34.0,Handball,59
1121,34.0,Hockey,68
1122,34.0,Ice Hockey,80
1123,34.0,Judo,40
1124,34.0,Luge,14
1125,34.0,Modern Pentathlon,38
1126,34.0,Nordic Combined,9
1127,34.0,Polo,3
1128,34.0,Rowing,141
1129,34.0,Rugby Sevens,7
1130,34.0,Sailing,235
1131,34.0,Shooting,467
1132,34.0,Short Track Speed Skating,5
1133,34.0,Skeleton,7
1134,34.0,Ski Jumping,12
1135,34.0,Snowboarding,13
1136,34.0,Softball,9
1137,34.0,Speed Skating,52
1138,34.0,Swimming,27
1139,34.0,Synchronized Swimming,2
1140,34.0,Table Tennis,35
1141,34.0,Taekwondo,3
1142,34.0,Tennis,56
1143,34.0,Trampolining,4
1144,34.0,Triathlon,24
1145,34.0,Tug-Of-War,7
1146,34.0,Volleyball,44
1147,34.0,Water Polo,66
1148,34.0,Weightlifting,45
1149,34.0,Wrestling,107
1150,35.0,Alpine Skiing,30
1151,35.0,Alpinism,1
1152,35.0,Archery,35
1153,35.0,Art Competitions,76
1154,35.0,Athletics,362
1155,35.0,Badminton,11
1156,35.0,Baseball,19
1157,35.0,Basketball,40
1158,35.0,Beach Volleyball,21
1159,35.0,Biathlon,68
1160,35.0,Bobsleigh,103
1161,35.0,Boxing,5
1162,35.0,Canoeing,71
1163,35.0,Cricket,2
1164,35.0,Cross Country Skiing,80
1165,35.0,Curling,24
1166,35.0,Cycling,106
1167,35.0,Diving,7
1168,35.0,Equestrianism,271
1169,35.0,Fencing,277
1170,35.0,Figure Skating,9
1171,35.0,Football,10
1172,35.0,Freestyle Skiing,3
1173,35.0,Golf,6
1174,35.0,Gymnastics,139
1175,35.0,Handball,45
1176,35.0,Hockey,41
1177,35.0,Ice Hockey,97
1178,35.0,Judo,22
1179,35.0,Lacrosse,1
1180,35.0,Luge,15
1181,35.0,Modern Pentathlon,25
1182,35.0,Nordic Combined,6
1183,35.0,Polo,6
1184,35.0,Rowing,88
1185,35.0,Rugby Sevens,2
1186,35.0,Sailing,186
1187,35.0,Shooting,473
1188,35.0,Short Track Speed Skating,1
1189,35.0,Skeleton,9
1190,35.0,Ski Jumping,8
1191,35.0,Snowboarding,13
1192,35.0,Softball,9
1193,35.0,Speed Skating,36
1194,35.0,Swimming,16
1195,35.0,Table Tennis,49
1196,35.0,Taekwondo,2
1197,35.0,Tennis,32
1198,35.0,Trampolining,1
1199,35.0,Triathlon,13
1200,35.0,Tug-Of-War,1
1201,35.0,Volleyball,25
1202,35.0,Water Polo,32
1203,35.0,Weightlifting,36
1204,35.0,Wrestling,67
1205,36.0,Alpine Skiing,17
1206,36.0,Archery,52
1207,36.0,Art Competitions,45
1208,36.0,Athletics,258
1209,36.0,Badminton,4
1210,36.0,Baseball,9
1211,36.0,Basketball,30
1212,36.0,Beach Volleyball,17
1213,36.0,Biathlon,52
1214,36.0,Bobsleigh,79
1215,36.0,Boxing,6
1216,36.0,Canoeing,55
1217,36.0,Cross Country Skiing,76
1218,36.0,Curling,14
1219,36.0,Cycling,55
1220,36.0,Diving,6
1221,36.0,Equestrianism,274
1222,36.0,Fencing,227
1223,36.0,Figure Skating,6
1224,36.0,Football,9
1225,36.0,Freestyle Skiing,6
1226,36.0,Golf,5
1227,36.0,Gymnastics,116
1228,36.0,Handball,37
1229,36.0,Hockey,30
1230,36.0,Ice Hockey,41
1231,36.0,Judo,12
1232,36.0,Lacrosse,1
1233,36.0,Luge,21
1234,36.0,Modern Pentathlon,11
1235,36.0,Nordic Combined,10
1236,36.0,Polo,2
1237,36.0,Rowing,57
1238,36.0,Rugby,1
1239,36.0,Rugby Sevens,1
1240,36.0,Sailing,184
1241,36.0,Shooting,416
1242,36.0,Skeleton,4
1243,36.0,Ski Jumping,5
1244,36.0,Snowboarding,6
1245,36.0,Softball,4
1246,36.0,Speed Skating,11
1247,36.0,Swimming,14
1248,36.0,Synchronized Swimming,1
1249,36.0,Table Tennis,27
1250,36.0,Taekwondo,2
1251,36.0,Tennis,43
1252,36.0,Triathlon,9
1253,36.0,Tug-Of-War,4
1254,36.0,Volleyball,20
1255,36.0,Water Polo,30
1256,36.0,Weightlifting,30
1257,36.0,Wrestling,51
1258,37.0,Alpine Skiing,2
1259,37.0,Alpinism,1
1260,37.0,Archery,38
1261,37.0,Art Competitions,112
1262,37.0,Athletics,182
1263,37.0,Badminton,5
1264,37.0,Baseball,11
1265,37.0,Basketball,8
1266,37.0,Beach Volleyball,8
1267,37.0,Biathlon,19
1268,37.0,Bobsleigh,53
1269,37.0,Boxing,2
1270,37.0,Canoeing,30
1271,37.0,Cross Country Skiing,57
1272,37.0,Curling,16
1273,37.0,Cycling,56
1274,37.0,Diving,4
1275,37.0,Equestrianism,231
1276,37.0,Fencing,187
1277,37.0,Figure Skating,3
1278,37.0,Football,2
1279,37.0,Freestyle Skiing,6
1280,37.0,Golf,11
1281,37.0,Gymnastics,62
1282,37.0,Handball,16
1283,37.0,Hockey,18
1284,37.0,Ice Hockey,37
1285,37.0,Judo,7
1286,37.0,Lacrosse,1
1287,37.0,Luge,4
1288,37.0,Modern Pentathlon,6
1289,37.0,Nordic Combined,5
1290,37.0,Polo,6
1291,37.0,Roque,1
1292,37.0,Rowing,49
1293,37.0,Sailing,139
1294,37.0,Shooting,372
1295,37.0,Skeleton,6
1296,37.0,Ski Jumping,8
1297,37.0,Snowboarding,6
1298,37.0,Softball,4
1299,37.0,Speed Skating,18
1300,37.0,Swimming,5
1301,37.0,Table Tennis,25
1302,37.0,Taekwondo,1
1303,37.0,Tennis,29
1304,37.0,Triathlon,6
1305,37.0,Tug-Of-War,4
1306,37.0,Volleyball,7
1307,37.0,Water Polo,21
1308,37.0,Weightlifting,16
1309,37.0,Wrestling,30
1310,38.0,Alpine Skiing,3
1311,38.0,Archery,42
1312,38.0,Art Competitions,72
1313,38.0,Athletics,137
1314,38.0,Badminton,2
1315,38.0,Baseball,4
1316,38.0,Basketball,3
1317,38.0,Beach Volleyball,6
1318,38.0,Biathlon,42
1319,38.0,Bobsleigh,46
1320,38.0,Boxing,2
1321,38.0,Canoeing,20
1322,38.0,Cross Country Skiing,30
1323,38.0,Curling,20
1324,38.0,Cycling,33
1325,38.0,Diving,2
1326,38.0,Equestrianism,203
1327,38.0,Fencing,172
1328,38.0,Figure Skating,7
1329,38.0,Football,5
1330,38.0,Golf,7
1331,38.0,Gymnastics,72
1332,38.0,Handball,13
1333,38.0,Hockey,10
1334,38.0,Ice Hockey,18
1335,38.0,Judo,6
1336,38.0,Luge,6
1337,38.0,Modern Pentathlon,5
1338,38.0,Polo,6
1339,38.0,Rowing,33
1340,38.0,Sailing,122
1341,38.0,Shooting,343
1342,38.0,Skeleton,7
1343,38.0,Ski Jumping,2
1344,38.0,Snowboarding,2
1345,38.0,Softball,4
1346,38.0,Speed Skating,11
1347,38.0,Swimming,4
1348,38.0,Table Tennis,17
1349,38.0,Tennis,12
1350,38.0,Trampolining,1
1351,38.0,Triathlon,2
1352,38.0,Tug-Of-War,5
1353,38.0,Volleyball,8
1354,38.0,Water Polo,12
1355,38.0,Weightlifting,15
1356,38.0,Wrestling,18
1357,39.0,Alpine Skiing,8
1358,39.0,Alpinism,1
1359,39.0,Archery,30
1360,39.0,Art Competitions,95
1361,39.0,Athletics,84
1362,39.0,Baseball,3
1363,39.0,Basketball,3
1364,39.0,Beach Volleyball,6
1365,39.0,Biathlon,19
1366,39.0,Bobsleigh,59
1367,39.0,Canoeing,11
1368,39.0,Croquet,2
1369,39.0,Cross Country Skiing,15
1370,39.0,Curling,17
1371,39.0,Cycling,35
1372,39.0,Diving,1
1373,39.0,Equestrianism,184
1374,39.0,Fencing,163
1375,39.0,Figure Skating,6
1376,39.0,Football,2
1377,39.0,Freestyle Skiing,1
1378,39.0,Golf,4
1379,39.0,Gymnastics,23
1380,39.0,Handball,10
1381,39.0,Hockey,4
1382,39.0,Ice Hockey,9
1383,39.0,Jeu De Paume,1
1384,39.0,Judo,3
1385,39.0,Luge,3
1386,39.0,Modern Pentathlon,1
1387,39.0,Nordic Combined,1
1388,39.0,Polo,5
1389,39.0,Rowing,22
1390,39.0,Rugby,1
1391,39.0,Sailing,112
1392,39.0,Shooting,383
1393,39.0,Skeleton,3
1394,39.0,Ski Jumping,1
1395,39.0,Softball,1
1396,39.0,Speed Skating,8
1397,39.0,Swimming,1
1398,39.0,Synchronized Swimming,1
1399,39.0,Table Tennis,17
1400,39.0,Tennis,17
1401,39.0,Trampolining,1
1402,39.0,Volleyball,2
1403,39.0,Water Polo,7
1404,39.0,Weightlifting,5
1405,39.0,Wrestling,14
1406,40.0,Alpine Skiing,3
1407,40.0,Archery,31
1408,40.0,Art Competitions,71
1409,40.0,Athletics,72
1410,40.0,Badminton,2
1411,40.0,Baseball,1
1412,40.0,Basketball,1
1413,40.0,Beach Volleyball,3
1414,40.0,Biathlon,11
1415,40.0,Bobsleigh,24
1416,40.0,Canoeing,14
1417,40.0,Cricket,1
1418,40.0,Cross Country Skiing,14
1419,40.0,Curling,6
1420,40.0,Cycling,10
1421,40.0,Diving,1
1422,40.0,Equestrianism,226
1423,40.0,Fencing,120
1424,40.0,Figure Skating,1
1425,40.0,Football,2
1426,40.0,Freestyle Skiing,4
1427,40.0,Golf,3
1428,40.0,Gymnastics,25
1429,40.0,Handball,3
1430,40.0,Hockey,5
1431,40.0,Ice Hockey,9
1432,40.0,Judo,2
1433,40.0,Luge,7
1434,40.0,Modern Pentathlon,5
1435,40.0,Motorboating,2
1436,40.0,Polo,4
1437,40.0,Rowing,20
1438,40.0,Sailing,124
1439,40.0,Shooting,312
1440,40.0,Skeleton,1
1441,40.0,Ski Jumping,1
1442,40.0,Snowboarding,2
1443,40.0,Speed Skating,5
1444,40.0,Swimming,3
1445,40.0,Synchronized Swimming,1
1446,40.0,Table Tennis,10
1447,40.0,Tennis,18
1448,40.0,Triathlon,2
1449,40.0,Tug-Of-War,4
1450,40.0,Volleyball,2
1451,40.0,Water Polo,3
1452,40.0,Weightlifting,12
1453,40.0,Wrestling,7
1454,41.0,Alpine Skiing,4
1455,41.0,Alpinism,1
1456,41.0,Archery,24
1457,41.0,Art Competitions,92
1458,41.0,Athletics,35
1459,41.0,Baseball,2
1460,41.0,Beach Volleyball,1
1461,41.0,Biathlon,2
1462,41.0,Bobsleigh,19
1463,41.0,Boxing,1
1464,41.0,Canoeing,4
1465,41.0,Cross Country Skiing,9
1466,41.0,Curling,8
1467,41.0,Cycling,6
1468,41.0,Equestrianism,167
1469,41.0,Fencing,97
1470,41.0,Figure Skating,3
1471,41.0,Golf,6
1472,41.0,Gymnastics,12
1473,41.0,Hockey,5
1474,41.0,Ice Hockey,8
1475,41.0,Polo,3
1476,41.0,Rowing,12
1477,41.0,Sailing,82
1478,41.0,Shooting,304
1479,41.0,Skeleton,5
1480,41.0,Ski Jumping,3
1481,41.0,Softball,3
1482,41.0,Speed Skating,4
1483,41.0,Swimming,4
1484,41.0,Table Tennis,10
1485,41.0,Tennis,1
1486,41.0,Tug-Of-War,2
1487,41.0,Volleyball,3
1488,41.0,Water Polo,4
1489,41.0,Weightlifting,2
1490,41.0,Wrestling,5
1491,42.0,Archery,23
1492,42.0,Art Competitions,114
1493,42.0,Athletics,29
1494,42.0,Biathlon,2
1495,42.0,Bobsleigh,16
1496,42.0,Canoeing,6
1497,42.0,Curling,9
1498,42.0,Cycling,5
1499,42.0,Diving,1
1500,42.0,Equestrianism,147
1501,42.0,Fencing,125
1502,42.0,Figure Skating,3
1503,42.0,Freestyle Skiing,1
1504,42.0,Golf,5
1505,42.0,Gymnastics,17
1506,42.0,Handball,2
1507,42.0,Hockey,1
1508,42.0,Ice Hockey,2
1509,42.0,Jeu De Paume,2
1510,42.0,Judo,2
1511,42.0,Luge,2
1512,42.0,Polo,1
1513,42.0,Rowing,7
1514,42.0,Sailing,80
1515,42.0,Shooting,241
1516,42.0,Speed Skating,2
1517,42.0,Table Tennis,8
1518,42.0,Tennis,6
1519,42.0,Triathlon,1
1520,42.0,Tug-Of-War,2
1521,42.0,Water Polo,2
1522,42.0,Weightlifting,1
1523,42.0,Wrestling,1
1524,43.0,Alpine Skiing,1
1525,43.0,Alpinism,1
1526,43.0,Archery,21
1527,43.0,Art Competitions,91
1528,43.0,Athletics,14
1529,43.0,Bobsleigh,14
1530,43.0,Canoeing,7
1531,43.0,Cross Country Skiing,7
1532,43.0,Curling,8
1533,43.0,Cycling,5
1534,43.0,Equestrianism,154
1535,43.0,Fencing,83
1536,43.0,Figure Skating,1
1537,43.0,Freestyle Skiing,1
1538,43.0,Golf,3
1539,43.0,Gymnastics,7
1540,43.0,Handball,1
1541,43.0,Hockey,2
1542,43.0,Ice Hockey,1
1543,43.0,Jeu De Paume,1
1544,43.0,Judo,1
1545,43.0,Luge,2
1546,43.0,Modern Pentathlon,1
1547,43.0,Polo,3
1548,43.0,Rowing,2
1549,43.0,Sailing,71
1550,43.0,Shooting,266
1551,43.0,Ski Jumping,1
1552,43.0,Table Tennis,10
1553,43.0,Tennis,7
1554,43.0,Tug-Of-War,1
1555,43.0,Weightlifting,5
1556,44.0,Archery,26
1557,44.0,Art Competitions,85
1558,44.0,Athletics,14
1559,44.0,Badminton,2
1560,44.0,Baseball,1
1561,44.0,Bobsleigh,9
1562,44.0,Canoeing,2
1563,44.0,Cricket,1
1564,44.0,Cross Country Skiing,1
1565,44.0,Curling,8
1566,44.0,Cycling,1
1567,44.0,Diving,1
1568,44.0,Equestrianism,139
1569,44.0,Fencing,66
1570,44.0,Figure Skating,3
1571,44.0,Freestyle Skiing,1
1572,44.0,Golf,3
1573,44.0,Gymnastics,8
1574,44.0,Hockey,2
1575,44.0,Ice Hockey,1
1576,44.0,Luge,1
1577,44.0,Polo,4
1578,44.0,Rowing,6
1579,44.0,Sailing,85
1580,44.0,Shooting,202
1581,44.0,Skeleton,1
1582,44.0,Table Tennis,2
1583,44.0,Tennis,7
1584,44.0,Weightlifting,1
1585,45.0,Alpine Skiing,3
1586,45.0,Archery,9
1587,45.0,Art Competitions,127
1588,45.0,Athletics,5
1589,45.0,Biathlon,2
1590,45.0,Bobsleigh,6
1591,45.0,Canoeing,1
1592,45.0,Cross Country Skiing,2
1593,45.0,Curling,6
1594,45.0,Cycling,2
1595,45.0,Equestrianism,132
1596,45.0,Fencing,58
1597,45.0,Figure Skating,1
1598,45.0,Golf,3
1599,45.0,Gymnastics,2
1600,45.0,Racquets,2
1601,45.0,Rowing,4
1602,45.0,Sailing,41
1603,45.0,Shooting,171
1604,45.0,Skeleton,1
1605,45.0,Table Tennis,2
1606,45.0,Tennis,1
1607,45.0,Tug-Of-War,1
1608,45.0,Water Polo,1
1609,45.0,Weightlifting,1
1610,46.0,Archery,12
1611,46.0,Art Competitions,73
1612,46.0,Athletics,8
1613,46.0,Bobsleigh,13
1614,46.0,Canoeing,1
1615,46.0,Croquet,2
1616,46.0,Curling,3
1617,46.0,Equestrianism,89
1618,46.0,Fencing,23
1619,46.0,Figure Skating,4
1620,46.0,Golf,2
1621,46.0,Ice Hockey,2
1622,46.0,Motorboating,1
1623,46.0,Polo,1
1624,46.0,Rowing,3
1625,46.0,Sailing,40
1626,46.0,Shooting,144
1627,46.0,Speed Skating,4
1628,46.0,Swimming,1
1629,46.0,Table Tennis,3
1630,47.0,Alpinism,1
1631,47.0,Archery,8
1632,47.0,Art Competitions,89
1633,47.0,Athletics,2
1634,47.0,Bobsleigh,5
1635,47.0,Canoeing,3
1636,47.0,Cross Country Skiing,2
1637,47.0,Curling,2
1638,47.0,Equestrianism,98
1639,47.0,Fencing,22
1640,47.0,Golf,2
1641,47.0,Luge,1
1642,47.0,Polo,1
1643,47.0,Rowing,1
1644,47.0,Sailing,42
1645,47.0,Shooting,126
1646,47.0,Skeleton,2
1647,47.0,Tennis,1
1648,48.0,Archery,11
1649,48.0,Art Competitions,100
1650,48.0,Athletics,5
1651,48.0,Bobsleigh,5
1652,48.0,Canoeing,2
1653,48.0,Curling,3
1654,48.0,Diving,1
1655,48.0,Equestrianism,80
1656,48.0,Fencing,29
1657,48.0,Golf,1
1658,48.0,Ice Hockey,1
1659,48.0,Luge,2
1660,48.0,Polo,3
1661,48.0,Rowing,2
1662,48.0,Sailing,34
1663,48.0,Shooting,128
1664,49.0,Alpinism,3
1665,49.0,Archery,1
1666,49.0,Art Competitions,113
1667,49.0,Athletics,1
1668,49.0,Bobsleigh,8
1669,49.0,Cross Country Skiing,1
1670,49.0,Curling,3
1671,49.0,Cycling,2
1672,49.0,Equestrianism,79
1673,49.0,Fencing,24
1674,49.0,Gymnastics,1
1675,49.0,Sailing,30
1676,49.0,Shooting,94
1677,49.0,Skeleton,1
1678,49.0,Table Tennis,1
1679,50.0,Archery,7
1680,50.0,Art Competitions,85
1681,50.0,Athletics,1
1682,50.0,Bobsleigh,1
1683,50.0,Curling,2
1684,50.0,Equestrianism,52
1685,50.0,Fencing,9
1686,50.0,Golf,3
1687,50.0,Rowing,1
1688,50.0,Sailing,31
1689,50.0,Shooting,84
1690,50.0,Table Tennis,1
1691,50.0,Wrestling,1
1692,51.0,Alpine Skiing,2
1693,51.0,Archery,2
1694,51.0,Art Competitions,55
1695,51.0,Bobsleigh,1
1696,51.0,Diving,1
1697,51.0,Equestrianism,36
1698,51.0,Fencing,12
1699,51.0,Rowing,3
1700,51.0,Sailing,20
1701,51.0,Shooting,66
1702,51.0,Skeleton,1
1703,52.0,Archery,5
1704,52.0,Art Competitions,77
1705,52.0,Athletics,1
1706,52.0,Bobsleigh,1
1707,52.0,Curling,1
1708,52.0,Equestrianism,49
1709,52.0,Fencing,6
1710,52.0,Figure Skating,1
1711,52.0,Luge,1
1712,52.0,Polo,1
1713,52.0,Rowing,1
1714,52.0,Sailing,21
1715,52.0,Shooting,77
1716,52.0,Speed Skating,2
1717,53.0,Archery,6
1718,53.0,Art Competitions,93
1719,53.0,Bobsleigh,2
1720,53.0,Equestrianism,38
1721,53.0,Fencing,7
1722,53.0,Luge,1
1723,53.0,Modern Pentathlon,1
1724,53.0,Polo,1
1725,53.0,Sailing,14
1726,53.0,Shooting,35
1727,53.0,Skeleton,1
1728,53.0,Table Tennis,1
1729,54.0,Archery,13
1730,54.0,Art Competitions,54
1731,54.0,Bobsleigh,1
1732,54.0,Curling,1
1733,54.0,Equestrianism,25
1734,54.0,Fencing,4
1735,54.0,Motorboating,1
1736,54.0,Sailing,16
1737,54.0,Shooting,46
1738,54.0,Table Tennis,1
1739,55.0,Alpine Skiing,1
1740,55.0,Archery,5
1741,55.0,Art Competitions,53
1742,55.0,Equestrianism,10
1743,55.0,Fencing,1
1744,55.0,Sailing,14
1745,55.0,Shooting,20
1746,56.0,Archery,5
1747,56.0,Art Competitions,53
1748,56.0,Equestrianism,19
1749,56.0,Rowing,3
1750,56.0,Sailing,14
1751,56.0,Shooting,37
1752,57.0,Alpinism,1
1753,57.0,Archery,4
1754,57.0,Art Competitions,23
1755,57.0,Equestrianism,12
1756,57.0,Fencing,4
1757,57.0,Sailing,2
1758,57.0,Shooting,23
1759,58.0,Archery,3
1760,58.0,Art Competitions,50
1761,58.0,Croquet,2
1762,58.0,Curling,1
1763,58.0,Equestrianism,15
1764,58.0,Rowing,1
1765,58.0,Sailing,6
1766,58.0,Shooting,6
1767,59.0,Archery,4
1768,59.0,Art Competitions,53
1769,59.0,Equestrianism,2
1770,59.0,Fencing,3
1771,59.0,Roque,1
1772,59.0,Sailing,11
1773,59.0,Shooting,13
1774,60.0,Art Competitions,45
1775,60.0,Equestrianism,10
1776,60.0,Rowing,1
1777,60.0,Sailing,10
1778,60.0,Shooting,22
1779,61.0,Archery,5
1780,61.0,Art Competitions,42
1781,61.0,Equestrianism,9
1782,61.0,Fencing,2
1783,61.0,Sailing,4
1784,61.0,Shooting,6
1785,62.0,Archery,1
1786,62.0,Art Competitions,48
1787,62.0,Equestrianism,2
1788,62.0,Sailing,5
1789,62.0,Shooting,6
1790,63.0,Archery,8
1791,63.0,Art Competitions,37
1792,63.0,Equestrianism,6
1793,63.0,Fencing,1
1794,63.0,Shooting,4
1795,64.0,Art Competitions,23
1796,64.0,Roque,1
1797,64.0,Shooting,6
1798,65.0,Art Competitions,76
1799,65.0,Equestrianism,3
1800,65.0,Shooting,5
1801,66.0,Archery,1
1802,66.0,Art Competitions,24
1803,66.0,Equestrianism,2
1804,66.0,Sailing,1
1805,66.0,Shooting,3
1806,67.0,Art Competitions,22
1807,67.0,Equestrianism,3
1808,68.0,Archery,2
1809,68.0,Art Competitions,22
1810,68.0,Shooting,1
1811,69.0,Art Competitions,57
1812,69.0,Equestrianism,3
1813,70.0,Art Competitions,25
1814,70.0,Sailing,2
1815,70.0,Shooting,1
1816,71.0,Archery,2
1817,71.0,Art Competitions,24
1818,71.0,Equestrianism,1
1819,71.0,Sailing,6
1820,72.0,Art Competitions,19
1821,72.0,Equestrianism,2
1822,72.0,Shooting,3
1823,73.0,Art Competitions,8
1824,74.0,Art Competitions,12
1825,75.0,Art Competitions,4
1826,76.0,Art Competitions,7
1827,77.0,Art Competitions,2
1828,80.0,Art Competitions,3
1829,81.0,Art Competitions,2
1830,84.0,Art Competitions,1
1831,88.0,Art Competitions,3
1832,96.0,Art Competitions,1
1833,97.0,Art Competitions,1
