,Age,Sport,count
193,18.0,Golf,7
194,18.0,Gymnastics,1480
195,18.0,Handball,33
196,18.0,Hockey,54
197,18.0,Ice Hockey,91
198,18.0,Judo,61
199,18.0,Luge,41
200,18.0,Modern Pentathlon,7
201,18.0,Nordic Combined,30
202,18.0,Rhythmic Gymnastics,127
203,18.0,Rowing,107
204,18.0,Rugby,1
205,18.0,Rugby Sevens,2
206,18.0,Sailing,59
207,18.0,Shooting,64
208,18.0,Short Track Speed Skating,94
209,18.0,Skeleton,2
210,18.0,Ski Jumping,130
211,18.0,Snowboarding,40
212,18.0,Softball,5
213,18.0,Speed Skating,162
214,18.0,Swimming,2377
215,18.0,Synchronized Swimming,60
216,18.0,Table Tennis,38
217,18.0,Taekwondo,28
218,18.0,Tennis,76
219,18.0,Trampolining,7
220,18.0,Triathlon,3
221,18.0,Volleyball,71
222,18.0,Water Polo,73
223,18.0,Weightlifting,63
224,18.0,Wrestling,87
225,19.0,Alpine Skiing,601
226,19.0,Archery,115
227,19.0,Art Competitions,1
228,19.0,Athletics,1354
229,19.0,Badminton,36
230,19.0,Baseball,25
231,19.0,Basketball,125
232,19.0,Beach Volleyball,5
233,19.0,Biathlon,81
234,19.0,Bobsleigh,19
235,19.0,Boxing,435
236,19.0,Canoeing,241
237,19.0,Cross Country Skiing,226
238,19.0,Curling,7
239,19.0,Cycling,498
240,19.0,Diving,216
241,19.0,Equestrianism,33
242,19.0,Fencing,226
243,19.0,Figure Skating,201
244,19.0,Football,319
245,19.0,Freestyle Skiing,52
246,19.0,Golf,4
247,19.0,Gymnastics,1622
248,19.0,Handball,51
249,19.0,Hockey,134
250,19.0,Ice Hockey,145
251,19.0,Jeu De Paume,1
252,19.0,Judo,103
253,19.0,Luge,76
254,19.0,Modern Pentathlon,24
255,19.0,Nordic Combined,65
256,19.0,Racquets,1
257,19.0,Rhythmic Gymnastics,103
258,19.0,Rowing,304
259,19.0,Rugby,1
260,19.0,Rugby Sevens,6
261,19.0,Sailing,102
262,19.0,Shooting,120
263,19.0,Short Track Speed Skating,133
264,19.0,Skeleton,4
265,19.0,Ski Jumping,172
266,19.0,Snowboarding,42
267,19.0,Softball,8
268,19.0,Speed Skating,265
269,19.0,Swimming,2546
270,19.0,Synchronized Swimming,67
271,19.0,Table Tennis,93
272,19.0,Taekwondo,28
273,19.0,Tennis,109
274,19.0,Trampolining,10
275,19.0,Triathlon,2
276,19.0,Tug-Of-War,1
277,19.0,Volleyball,104
278,19.0,Water Polo,115
279,19.0,Weightlifting,121
280,19.0,Wrestling,145
281,20.0,Alpine Skiing,759
282,20.0,Archery,135
283,20.0,Art Competitions,7
284,20.0,Athletics,2177
285,20.0,Badminton,55
286,20.0,Baseball,42
287,20.0,Basketball,210
288,20.0,Beach Volleyball,1
289,20.0,Biathlon,163
290,20.0,Bobsleigh,45
291,20.0,Boxing,650
292,20.0,Canoeing,335
293,20.0,Croquet,1
294,20.0,Cross Country Skiing,328
295,20.0,Curling,4
296,20.0,Cycling,795
297,20.0,Diving,216
298,20.0,Equestrianism,77
299,20.0,Fencing,319
300,20.0,Figure Skating,192
301,20.0,Football,537
302,20.0,Freestyle Skiing,57
303,20.0,Golf,14
304,20.0,Gymnastics,1895
305,20.0,Handball,129
306,20.0,Hockey,228
307,20.0,Ice Hockey,252
308,20.0,Judo,171
309,20.0,Lacrosse,1
310,20.0,Luge,132
311,20.0,Military Ski Patrol,2
312,20.0,Modern Pentathlon,43
313,20.0,Nordic Combined,72
314,20.0,Rhythmic Gymnastics,71
315,20.0,Rowing,533
316,20.0,Rugby,9
317,20.0,Rugby Sevens,11
318,20.0,Sailing,150
319,20.0,Shooting,169
320,20.0,Short Track Speed Skating,132
321,20.0,Skeleton,5
322,20.0,Ski Jumping,198
323,20.0,Snowboarding,66
324,20.0,Softball,15
325,20.0,Speed Skating,403
326,20.0,Swimming,2261
327,20.0,Synchronized Swimming,93
328,20.0,Table Tennis,94
329,20.0,Taekwondo,55
330,20.0,Tennis,125
331,20.0,Trampolining,12
332,20.0,Triathlon,10
333,20.0,Tug-Of-War,3
334,20.0,Volleyball,169
335,20.0,Water Polo,184
336,20.0,Weightlifting,165
