,Height,Sport,count
199,153.0,Gymnastics,352
200,153.0,Handball,1
201,153.0,Hockey,7
202,153.0,Ice Hockey,2
203,153.0,Judo,13
204,153.0,Luge,2
205,153.0,Rhythmic Gymnastics,2
206,153.0,Rowing,6
207,153.0,Rugby Sevens,1
208,153.0,Shooting,13
209,153.0,Short Track Speed Skating,8
210,153.0,Ski Jumping,1
211,153.0,Snowboarding,2
212,153.0,Speed Skating,23
213,153.0,Swimming,18
214,153.0,Synchronized Swimming,1
215,153.0,Table Tennis,3
216,153.0,Triathlon,1
217,153.0,Volleyball,2
218,153.0,Weightlifting,28
219,153.0,Wrestling,25
220,154.0,Alpine Skiing,5
221,154.0,Athletics,48
222,154.0,Badminton,1
223,154.0,Biathlon,10
224,154.0,Boxing,18
225,154.0,Canoeing,3
226,154.0,Cross Country Skiing,16
227,154.0,Curling,2
228,154.0,Cycling,6
229,154.0,Diving,20
230,154.0,Equestrianism,3
231,154.0,Fencing,3
232,154.0,Figure Skating,18
233,154.0,Football,4
234,154.0,Freestyle Skiing,1
235,154.0,Gymnastics,325
236,154.0,Hockey,5
237,154.0,Ice Hockey,1
238,154.0,Judo,18
239,154.0,Rhythmic Gymnastics,1
240,154.0,Rowing,13
241,154.0,Rugby Sevens,2
242,154.0,Sailing,3
243,154.0,Shooting,36
244,154.0,Short Track Speed Skating,10
245,154.0,Snowboarding,5
246,154.0,Softball,1
247,154.0,Speed Skating,7
248,154.0,Swimming,23
249,154.0,Synchronized Swimming,2
250,154.0,Table Tennis,7
251,154.0,Taekwondo,2
252,154.0,Tennis,2
253,154.0,Trampolining,3
254,154.0,Triathlon,1
255,154.0,Water Polo,1
256,154.0,Weightlifting,36
257,154.0,Wrestling,35
258,155.0,Alpine Skiing,24
259,155.0,Archery,9
260,155.0,Athletics,166
261,155.0,Badminton,5
262,155.0,Biathlon,3
263,155.0,Bobsleigh,8
264,155.0,Boxing,32
265,155.0,Canoeing,8
266,155.0,Cross Country Skiing,13
267,155.0,Curling,4
268,155.0,Cycling,15
269,155.0,Diving,64
270,155.0,Equestrianism,8
271,155.0,Fencing,11
272,155.0,Figure Skating,44
273,155.0,Football,13
274,155.0,Freestyle Skiing,6
275,155.0,Gymnastics,466
276,155.0,Handball,1
277,155.0,Hockey,20
278,155.0,Ice Hockey,3
279,155.0,Judo,34
280,155.0,Luge,1
281,155.0,Modern Pentathlon,1
282,155.0,Rhythmic Gymnastics,5
283,155.0,Rowing,16
284,155.0,Rugby Sevens,1
285,155.0,Sailing,5
286,155.0,Shooting,41
287,155.0,Short Track Speed Skating,27
288,155.0,Snowboarding,2
289,155.0,Softball,4
290,155.0,Speed Skating,8
291,155.0,Swimming,29
292,155.0,Synchronized Swimming,3
293,155.0,Table Tennis,18
294,155.0,Taekwondo,7
295,155.0,Trampolining,3
296,155.0,Triathlon,4
297,155.0,Volleyball,3
298,155.0,Water Polo,9
299,155.0,Weightlifting,91
300,155.0,Wrestling,64
301,156.0,Alpine Skiing,27
302,156.0,Archery,8
303,156.0,Athletics,69
304,156.0,Badminton,4
305,156.0,Biathlon,14
306,156.0,Boxing,33
307,156.0,Canoeing,3
308,156.0,Cross Country Skiing,9
309,156.0,Curling,3
310,156.0,Cycling,16
311,156.0,Diving,53
312,156.0,Equestrianism,19
313,156.0,Fencing,10
314,156.0,Figure Skating,16
315,156.0,Football,19
316,156.0,Freestyle Skiing,6
317,156.0,Gymnastics,546
318,156.0,Hockey,21
319,156.0,Ice Hockey,6
320,156.0,Judo,18
321,156.0,Rhythmic Gymnastics,7
322,156.0,Rowing,6
323,156.0,Rugby Sevens,1
324,156.0,Sailing,14
325,156.0,Shooting,33
326,156.0,Short Track Speed Skating,10
327,156.0,Ski Jumping,2
328,156.0,Snowboarding,5
329,156.0,Speed Skating,26
330,156.0,Swimming,22
331,156.0,Table Tennis,16
332,156.0,Taekwondo,4
333,156.0,Tennis,6
334,156.0,Trampolining,6
335,156.0,Triathlon,1
336,156.0,Weightlifting,55
337,156.0,Wrestling,62
338,157.0,Alpine Skiing,18
339,157.0,Archery,25
340,157.0,Athletics,173
341,157.0,Badminton,12
342,157.0,Biathlon,28
343,157.0,Boxing,39
344,157.0,Canoeing,7
345,157.0,Cross Country Skiing,50
346,157.0,Curling,5
347,157.0,Cycling,24
348,157.0,Diving,55
349,157.0,Equestrianism,13
350,157.0,Fencing,26
351,157.0,Figure Skating,47
352,157.0,Football,22
353,157.0,Freestyle Skiing,27
354,157.0,Golf,1
355,157.0,Gymnastics,611
356,157.0,Handball,2
357,157.0,Hockey,35
358,157.0,Ice Hockey,10
359,157.0,Judo,51
360,157.0,Luge,5
361,157.0,Modern Pentathlon,1
362,157.0,Rhythmic Gymnastics,4
363,157.0,Rowing,31
364,157.0,Rugby Sevens,5
365,157.0,Sailing,12
366,157.0,Shooting,64
367,157.0,Short Track Speed Skating,25
368,157.0,Skeleton,2
369,157.0,Ski Jumping,1
370,157.0,Snowboarding,15
371,157.0,Softball,7
372,157.0,Speed Skating,36
373,157.0,Swimming,47
374,157.0,Synchronized Swimming,4
375,157.0,Table Tennis,24
376,157.0,Taekwondo,4
377,157.0,Tennis,5
378,157.0,Trampolining,4
379,157.0,Triathlon,7
380,157.0,Water Polo,1
381,157.0,Weightlifting,75
382,157.0,Wrestling,72
383,158.0,Alpine Skiing,39
384,158.0,Archery,12
385,158.0,Athletics,208
386,158.0,Badminton,6
387,158.0,Biathlon,53
388,158.0,Bobsleigh,1
389,158.0,Boxing,43
390,158.0,Canoeing,8
391,158.0,Cross Country Skiing,140
392,158.0,Curling,4
393,158.0,Cycling,31
394,158.0,Diving,57
395,158.0,Equestrianism,21
396,158.0,Fencing,34
397,158.0,Figure Skating,39
398,158.0,Football,25
399,158.0,Freestyle Skiing,18
400,158.0,Golf,1
401,158.0,Gymnastics,683
402,158.0,Handball,1
403,158.0,Hockey,31
404,158.0,Ice Hockey,10
405,158.0,Judo,50
406,158.0,Luge,4
407,158.0,Modern Pentathlon,1
408,158.0,Rhythmic Gymnastics,4
409,158.0,Rowing,28
410,158.0,Rugby Sevens,2
411,158.0,Sailing,14
412,158.0,Shooting,94
413,158.0,Short Track Speed Skating,8
414,158.0,Skeleton,2
415,158.0,Ski Jumping,5
416,158.0,Snowboarding,10
417,158.0,Softball,8
418,158.0,Speed Skating,45
419,158.0,Swimming,80
420,158.0,Synchronized Swimming,8
421,158.0,Table Tennis,39
422,158.0,Taekwondo,2
423,158.0,Trampolining,13
424,158.0,Triathlon,5
425,158.0,Weightlifting,94
426,158.0,Wrestling,90
427,159.0,Alpine Skiing,56
428,159.0,Archery,15
429,159.0,Athletics,152
430,159.0,Badminton,11
431,159.0,Biathlon,42
432,159.0,Boxing,22
433,159.0,Canoeing,8
434,159.0,Cross Country Skiing,39
435,159.0,Curling,2
436,159.0,Cycling,24
437,159.0,Diving,46
438,159.0,Equestrianism,20
439,159.0,Fencing,17
440,159.0,Figure Skating,38
441,159.0,Football,14
442,159.0,Freestyle Skiing,10
443,159.0,Gymnastics,360
444,159.0,Hockey,45
445,159.0,Ice Hockey,16
446,159.0,Judo,29
447,159.0,Luge,1
448,159.0,Modern Pentathlon,3
449,159.0,Rhythmic Gymnastics,4
450,159.0,Rowing,10
451,159.0,Rugby Sevens,3
452,159.0,Sailing,7
453,159.0,Shooting,44
454,159.0,Short Track Speed Skating,3
455,159.0,Snowboarding,5
456,159.0,Softball,3
457,159.0,Speed Skating,42
458,159.0,Swimming,80
459,159.0,Synchronized Swimming,5
460,159.0,Table Tennis,20
461,159.0,Taekwondo,2
462,159.0,Tennis,3
463,159.0,Triathlon,1
464,159.0,Volleyball,9
465,159.0,Weightlifting,34
466,159.0,Wrestling,39
467,160.0,Alpine Skiing,130
468,160.0,Archery,37
469,160.0,Art Competitions,1
470,160.0,Athletics,579
471,160.0,Badminton,29
472,160.0,Baseball,2
473,160.0,Biathlon,102
474,160.0,Bobsleigh,5
475,160.0,Boxing,159
476,160.0,Canoeing,50
477,160.0,Cross Country Skiing,175
478,160.0,Curling,10
479,160.0,Cycling,106
480,160.0,Diving,130
481,160.0,Equestrianism,59
482,160.0,Fencing,89
483,160.0,Figure Skating,114
484,160.0,Football,57
485,160.0,Freestyle Skiing,36
486,160.0,Golf,3
487,160.0,Gymnastics,1112
488,160.0,Handball,13
489,160.0,Hockey,115
490,160.0,Ice Hockey,33
491,160.0,Judo,119
492,160.0,Luge,9
493,160.0,Modern Pentathlon,9
494,160.0,Nordic Combined,3
495,160.0,Rhythmic Gymnastics,29
496,160.0,Rowing,77
497,160.0,Rugby Sevens,4
498,160.0,Sailing,35
