,Year,Height,Sport,count
168,1906,184.0,Athletics,13
169,1906,184.0,Tug-Of-War,1
170,1906,185.0,Athletics,15
171,1906,185.0,Gymnastics,3
172,1906,185.0,Tug-Of-War,1
173,1906,186.0,Athletics,3
174,1906,186.0,Swimming,1
175,1906,187.0,Athletics,5
176,1906,187.0,Swimming,2
177,1906,189.0,Athletics,2
178,1906,190.0,Athletics,15
179,1906,190.0,Tug-Of-War,1
180,1906,195.0,Athletics,2
181,1906,196.0,Athletics,3
182,1908,157.0,Gymnastics,1
183,1908,160.0,Athletics,1
184,1908,160.0,Wrestling,2
185,1908,161.0,Wrestling,4
186,1908,162.0,Athletics,4
187,1908,162.0,Boxing,1
188,1908,163.0,Athletics,1
189,1908,163.0,Cycling,1
190,1908,164.0,Athletics,1
191,1908,165.0,Athletics,3
192,1908,165.0,Boxing,1
193,1908,165.0,Swimming,3
194,1908,166.0,Athletics,3
195,1908,166.0,Diving,2
196,1908,166.0,Wrestling,1
197,1908,167.0,Athletics,8
198,1908,167.0,Gymnastics,1
199,1908,168.0,Athletics,8
200,1908,168.0,Boxing,1
201,1908,168.0,Rowing,1
202,1908,168.0,Rugby,1
203,1908,168.0,Shooting,10
204,1908,169.0,Athletics,8
205,1908,169.0,Gymnastics,1
206,1908,170.0,Athletics,15
207,1908,170.0,Diving,2
208,1908,170.0,Fencing,2
209,1908,170.0,Rugby,1
210,1908,170.0,Shooting,8
211,1908,170.0,Swimming,5
212,1908,170.0,Wrestling,1
213,1908,171.0,Athletics,10
214,1908,171.0,Gymnastics,1
215,1908,171.0,Shooting,1
216,1908,172.0,Athletics,8
217,1908,172.0,Gymnastics,1
218,1908,173.0,Athletics,10
219,1908,173.0,Cycling,4
220,1908,173.0,Diving,1
221,1908,173.0,Rugby,2
222,1908,173.0,Shooting,2
223,1908,173.0,Water Polo,1
224,1908,173.0,Wrestling,2
225,1908,174.0,Athletics,7
226,1908,174.0,Fencing,3
227,1908,174.0,Rowing,1
228,1908,174.0,Swimming,3
229,1908,174.0,Water Polo,1
230,1908,174.0,Wrestling,3
231,1908,175.0,Athletics,21
232,1908,175.0,Fencing,2
233,1908,175.0,Gymnastics,1
234,1908,175.0,Rugby,1
235,1908,175.0,Shooting,5
236,1908,175.0,Wrestling,1
237,1908,176.0,Athletics,11
238,1908,176.0,Jeu De Paume,1
239,1908,176.0,Racquets,2
240,1908,177.0,Athletics,14
241,1908,177.0,Cycling,2
242,1908,178.0,Athletics,19
243,1908,178.0,Boxing,1
244,1908,178.0,Diving,1
245,1908,178.0,Gymnastics,1
246,1908,178.0,Rugby,1
247,1908,178.0,Swimming,2
248,1908,178.0,Tug-Of-War,3
249,1908,178.0,Water Polo,1
250,1908,178.0,Wrestling,2
251,1908,179.0,Athletics,15
252,1908,179.0,Cycling,3
253,1908,179.0,Water Polo,1
254,1908,180.0,Athletics,28
255,1908,180.0,Boxing,1
256,1908,180.0,Swimming,6
257,1908,180.0,Water Polo,1
258,1908,180.0,Wrestling,1
259,1908,181.0,Athletics,8
260,1908,181.0,Jeu De Paume,1
261,1908,181.0,Motorboating,1
262,1908,182.0,Athletics,20
263,1908,182.0,Football,1
264,1908,182.0,Sailing,1
265,1908,182.0,Tug-Of-War,1
266,1908,183.0,Athletics,16
267,1908,183.0,Cycling,1
268,1908,183.0,Fencing,2
269,1908,183.0,Rugby,1
270,1908,183.0,Swimming,3
271,1908,183.0,Tug-Of-War,1
272,1908,183.0,Wrestling,2
273,1908,184.0,Athletics,10
274,1908,185.0,Athletics,33
275,1908,185.0,Gymnastics,1
276,1908,185.0,Rowing,3
277,1908,185.0,Tug-Of-War,1
278,1908,185.0,Wrestling,2
279,1908,186.0,Athletics,3
280,1908,186.0,Water Polo,1
281,1908,187.0,Swimming,2
282,1908,188.0,Athletics,15
283,1908,188.0,Cycling,5
284,1908,188.0,Rugby,1
285,1908,188.0,Tug-Of-War,2
286,1908,188.0,Wrestling,1
287,1908,189.0,Athletics,3
288,1908,190.0,Athletics,11
289,1908,190.0,Wrestling,1
290,1908,191.0,Rowing,1
291,1908,191.0,Water Polo,1
292,1908,193.0,Hockey,1
293,1908,195.0,Athletics,1
294,1908,195.0,Tug-Of-War,1
295,1908,196.0,Athletics,2
296,1908,201.0,Fencing,3
297,1912,157.0,Athletics,1
298,1912,158.0,Athletics,1
299,1912,160.0,Athletics,5
300,1912,161.0,Wrestling,1
301,1912,162.0,Athletics,2
302,1912,163.0,Athletics,2
303,1912,164.0,Athletics,2
304,1912,165.0,Athletics,6
305,1912,165.0,Fencing,3
306,1912,165.0,Football,1
307,1912,165.0,Swimming,3
308,1912,166.0,Athletics,2
309,1912,166.0,Diving,3
310,1912,166.0,Football,2
311,1912,166.0,Wrestling,2
312,1912,167.0,Athletics,6
313,1912,167.0,Gymnastics,2
314,1912,168.0,Athletics,17
315,1912,168.0,Fencing,3
316,1912,168.0,Football,1
317,1912,168.0,Shooting,12
318,1912,169.0,Athletics,6
319,1912,169.0,Football,1
320,1912,169.0,Modern Pentathlon,1
321,1912,170.0,Athletics,37
322,1912,170.0,Diving,2
323,1912,170.0,Fencing,4
324,1912,170.0,Football,2
325,1912,170.0,Shooting,16
326,1912,170.0,Swimming,2
327,1912,171.0,Athletics,17
328,1912,172.0,Athletics,35
329,1912,172.0,Diving,2
330,1912,172.0,Equestrianism,1
331,1912,172.0,Wrestling,1
332,1912,173.0,Athletics,20
333,1912,173.0,Diving,3
334,1912,173.0,Equestrianism,5
335,1912,173.0,Football,1
336,1912,173.0,Rowing,1
337,1912,173.0,Shooting,8
338,1912,173.0,Water Polo,1
339,1912,173.0,Wrestling,1
340,1912,174.0,Athletics,20
341,1912,174.0,Fencing,5
342,1912,174.0,Football,2
343,1912,174.0,Wrestling,2
344,1912,175.0,Athletics,23
345,1912,175.0,Fencing,1
346,1912,175.0,Modern Pentathlon,1
347,1912,175.0,Rowing,2
348,1912,175.0,Shooting,8
349,1912,175.0,Wrestling,1
350,1912,176.0,Athletics,16
351,1912,176.0,Football,2
352,1912,176.0,Gymnastics,1
353,1912,176.0,Rowing,1
354,1912,176.0,Sailing,1
355,1912,176.0,Wrestling,1
356,1912,177.0,Athletics,14
357,1912,177.0,Football,1
358,1912,177.0,Rowing,1
359,1912,177.0,Wrestling,1
360,1912,178.0,Athletics,40
361,1912,178.0,Fencing,2
362,1912,178.0,Gymnastics,1
363,1912,178.0,Rowing,2
364,1912,178.0,Shooting,4
365,1912,179.0,Athletics,22
366,1912,179.0,Shooting,5
367,1912,180.0,Athletics,43
368,1912,180.0,Equestrianism,5
369,1912,180.0,Fencing,3
370,1912,180.0,Football,1
371,1912,180.0,Shooting,7
372,1912,180.0,Swimming,4
373,1912,180.0,Water Polo,1
374,1912,180.0,Wrestling,2
375,1912,181.0,Athletics,17
376,1912,182.0,Athletics,19
377,1912,182.0,Football,1
378,1912,182.0,Sailing,1
379,1912,182.0,Shooting,7
380,1912,183.0,Athletics,37
381,1912,183.0,Fencing,6
382,1912,183.0,Rowing,1
383,1912,183.0,Sailing,1
384,1912,183.0,Tennis,3
385,1912,184.0,Athletics,8
386,1912,184.0,Football,1
387,1912,184.0,Rowing,1
388,1912,185.0,Athletics,20
389,1912,185.0,Rowing,1
390,1912,185.0,Wrestling,1
391,1912,186.0,Athletics,8
392,1912,186.0,Football,1
393,1912,186.0,Water Polo,1
394,1912,186.0,Wrestling,1
395,1912,187.0,Athletics,10
396,1912,188.0,Athletics,29
397,1912,188.0,Fencing,7
398,1912,188.0,Rowing,2
399,1912,188.0,Tennis,2
400,1912,189.0,Athletics,7
401,1912,189.0,Rowing,1
402,1912,190.0,Athletics,16
403,1912,191.0,Athletics,9
404,1912,191.0,Water Polo,1
405,1912,192.0,Athletics,1
406,1912,193.0,Athletics,3
407,1912,195.0,Athletics,4
408,1912,196.0,Athletics,2
409,1912,200.0,Wrestling,1
410,1920,142.0,Diving,2
411,1920,148.0,Athletics,1
412,1920,152.0,Diving,1
413,1920,152.0,Swimming,3
414,1920,155.0,Diving,1
415,1920,156.0,Boxing,1
416,1920,156.0,Rowing,1
417,1920,156.0,Tennis,1
418,1920,157.0,Diving,3
419,1920,157.0,Swimming,2
420,1920,158.0,Boxing,1
421,1920,158.0,Wrestling,1
422,1920,160.0,Athletics,8
423,1920,161.0,Wrestling,1
424,1920,162.0,Athletics,1
425,1920,162.0,Tennis,2
426,1920,163.0,Cycling,3
427,1920,163.0,Sailing,1
428,1920,163.0,Wrestling,1
429,1920,164.0,Athletics,4
430,1920,164.0,Gymnastics,1
431,1920,164.0,Rowing,1
432,1920,165.0,Athletics,7
433,1920,165.0,Boxing,1
434,1920,165.0,Diving,1
435,1920,165.0,Fencing,8
436,1920,165.0,Figure Skating,1
437,1920,165.0,Ice Hockey,2
438,1920,165.0,Swimming,5
439,1920,165.0,Weightlifting,1
440,1920,166.0,Athletics,1
441,1920,166.0,Boxing,1
442,1920,166.0,Diving,1
443,1920,166.0,Swimming,1
444,1920,166.0,Weightlifting,1
445,1920,167.0,Athletics,3
446,1920,167.0,Boxing,1
447,1920,167.0,Fencing,2
448,1920,167.0,Ice Hockey,2
449,1920,167.0,Rugby,3
450,1920,167.0,Swimming,1
451,1920,167.0,Weightlifting,1
452,1920,167.0,Wrestling,1
453,1920,168.0,Athletics,10
454,1920,168.0,Boxing,2
455,1920,168.0,Cycling,2
456,1920,168.0,Diving,3
457,1920,168.0,Football,1
458,1920,168.0,Shooting,10
459,1920,168.0,Swimming,3
460,1920,168.0,Tennis,2
461,1920,169.0,Athletics,8
462,1920,169.0,Cycling,3
463,1920,169.0,Diving,3
464,1920,169.0,Football,1
465,1920,169.0,Polo,1
466,1920,169.0,Swimming,1
467,1920,170.0,Athletics,21
468,1920,170.0,Boxing,2
469,1920,170.0,Cycling,4
470,1920,170.0,Diving,2
471,1920,170.0,Fencing,5
472,1920,170.0,Football,3
473,1920,170.0,Gymnastics,2
474,1920,170.0,Ice Hockey,1
475,1920,170.0,Rowing,4
476,1920,170.0,Rugby,1
477,1920,170.0,Shooting,14
478,1920,170.0,Swimming,7
479,1920,170.0,Water Polo,3
480,1920,170.0,Weightlifting,1
481,1920,170.0,Wrestling,3
482,1920,171.0,Athletics,5
483,1920,171.0,Equestrianism,3
484,1920,171.0,Football,1
485,1920,171.0,Ice Hockey,1
486,1920,171.0,Sailing,1
487,1920,171.0,Shooting,2
488,1920,171.0,Swimming,6
489,1920,171.0,Wrestling,1
490,1920,172.0,Athletics,28
491,1920,172.0,Cycling,1
492,1920,172.0,Fencing,2
493,1920,172.0,Football,1
494,1920,172.0,Rugby,1
495,1920,172.0,Water Polo,1
496,1920,172.0,Wrestling,1
497,1920,173.0,Athletics,14
498,1920,173.0,Fencing,10
499,1920,173.0,Ice Hockey,1
500,1920,173.0,Rugby,2
501,1920,173.0,Shooting,17
502,1920,174.0,Athletics,16
503,1920,174.0,Fencing,5
504,1920,174.0,Figure Skating,1
505,1920,174.0,Football,1
506,1920,174.0,Ice Hockey,1
507,1920,174.0,Rugby,1
508,1920,174.0,Shooting,2
509,1920,174.0,Tennis,1
510,1920,174.0,Wrestling,4
511,1920,175.0,Athletics,19
512,1920,175.0,Boxing,2
513,1920,175.0,Cycling,7
514,1920,175.0,Diving,1
515,1920,175.0,Equestrianism,1
516,1920,175.0,Fencing,1
517,1920,175.0,Gymnastics,2
518,1920,175.0,Ice Hockey,4
519,1920,175.0,Modern Pentathlon,1
520,1920,175.0,Rugby,1
521,1920,175.0,Shooting,8
522,1920,175.0,Swimming,2
523,1920,175.0,Tennis,2
524,1920,176.0,Athletics,12
525,1920,176.0,Football,1
526,1920,176.0,Water Polo,1
527,1920,176.0,Wrestling,1
528,1920,177.0,Athletics,6
529,1920,177.0,Rugby,1
530,1920,177.0,Shooting,2
531,1920,177.0,Swimming,2
532,1920,177.0,Tug-Of-War,1
533,1920,177.0,Wrestling,1
534,1920,178.0,Athletics,25
535,1920,178.0,Boxing,1
536,1920,178.0,Fencing,9
537,1920,178.0,Modern Pentathlon,1
538,1920,178.0,Rowing,1
539,1920,178.0,Rugby,4
540,1920,178.0,Sailing,1
541,1920,178.0,Shooting,8
542,1920,178.0,Swimming,3
543,1920,179.0,Athletics,5
544,1920,179.0,Boxing,1
545,1920,179.0,Cycling,2
546,1920,179.0,Ice Hockey,2
547,1920,179.0,Rugby,1
548,1920,179.0,Shooting,18
549,1920,179.0,Swimming,1
550,1920,180.0,Athletics,34
551,1920,180.0,Boxing,1
552,1920,180.0,Fencing,8
553,1920,180.0,Ice Hockey,4
554,1920,180.0,Rowing,1
555,1920,180.0,Rugby,1
556,1920,180.0,Sailing,1
557,1920,180.0,Shooting,11
558,1920,180.0,Swimming,3
559,1920,180.0,Water Polo,3
560,1920,180.0,Wrestling,1
561,1920,181.0,Athletics,4
562,1920,182.0,Athletics,13
563,1920,182.0,Equestrianism,1
564,1920,182.0,Football,1
565,1920,182.0,Rowing,1
566,1920,182.0,Sailing,1
567,1920,182.0,Shooting,1
568,1920,183.0,Athletics,28
569,1920,183.0,Fencing,12
570,1920,183.0,Ice Hockey,1
571,1920,183.0,Rowing,2
572,1920,183.0,Rugby,1
573,1920,183.0,Shooting,11
574,1920,183.0,Swimming,6
575,1920,183.0,Water Polo,1
576,1920,183.0,Wrestling,1
577,1920,184.0,Athletics,12
578,1920,184.0,Football,1
579,1920,184.0,Rugby,1
580,1920,184.0,Sailing,1
581,1920,185.0,Athletics,10
582,1920,185.0,Boxing,1
583,1920,185.0,Fencing,5
584,1920,185.0,Rowing,5
585,1920,185.0,Sailing,1
586,1920,185.0,Shooting,5
587,1920,186.0,Athletics,7
588,1920,186.0,Fencing,2
589,1920,186.0,Sailing,1
590,1920,186.0,Water Polo,1
591,1920,187.0,Athletics,2
592,1920,187.0,Rowing,2
593,1920,187.0,Rugby,1
594,1920,187.0,Shooting,2
595,1920,188.0,Athletics,16
596,1920,188.0,Fencing,7
597,1920,188.0,Rowing,3
598,1920,188.0,Swimming,4
599,1920,188.0,Water Polo,1
600,1920,189.0,Athletics,1
601,1920,190.0,Athletics,7
602,1920,190.0,Ice Hockey,1
603,1920,190.0,Rowing,1
604,1920,191.0,Athletics,2
605,1920,191.0,Rugby,1
606,1920,192.0,Rowing,1
607,1920,192.0,Tug-Of-War,1
608,1920,193.0,Football,1
609,1920,194.0,Athletics,1
610,1920,196.0,Athletics,1
611,1920,197.0,Athletics,3
612,1924,142.0,Diving,1
613,1924,142.0,Swimming,1
614,1924,152.0,Curling,1
615,1924,152.0,Diving,1
616,1924,152.0,Swimming,2
617,1924,154.0,Boxing,1
618,1924,155.0,Diving,2
619,1924,155.0,Figure Skating,1
620,1924,155.0,Swimming,1
621,1924,155.0,Water Polo,2
622,1924,156.0,Tennis,2
623,1924,157.0,Diving,1
624,1924,157.0,Fencing,1
625,1924,157.0,Gymnastics,9
626,1924,157.0,Ice Hockey,1
627,1924,157.0,Rowing,1
628,1924,159.0,Athletics,1
629,1924,159.0,Football,1
630,1924,160.0,Athletics,9
631,1924,160.0,Boxing,1
632,1924,160.0,Diving,1
633,1924,162.0,Wrestling,1
634,1924,163.0,Athletics,1
635,1924,163.0,Speed Skating,2
636,1924,163.0,Swimming,2
637,1924,163.0,Tennis,3
638,1924,163.0,Weightlifting,1
639,1924,164.0,Athletics,5
640,1924,164.0,Football,1
641,1924,164.0,Gymnastics,9
642,1924,164.0,Ice Hockey,1
643,1924,164.0,Weightlifting,1
644,1924,165.0,Athletics,6
645,1924,165.0,Cycling,2
646,1924,165.0,Fencing,7
647,1924,165.0,Figure Skating,3
648,1924,165.0,Football,2
649,1924,165.0,Gymnastics,9
650,1924,165.0,Ice Hockey,1
651,1924,165.0,Rowing,1
652,1924,165.0,Rugby,3
653,1924,165.0,Swimming,3
654,1924,166.0,Athletics,7
655,1924,166.0,Fencing,1
656,1924,166.0,Weightlifting,1
657,1924,166.0,Wrestling,2
658,1924,167.0,Athletics,13
659,1924,167.0,Fencing,1
660,1924,167.0,Football,2
661,1924,167.0,Rowing,1
662,1924,167.0,Rugby,2
663,1924,167.0,Shooting,1
664,1924,167.0,Speed Skating,5
665,1924,167.0,Swimming,3
666,1924,167.0,Weightlifting,3
667,1924,167.0,Wrestling,1
668,1924,168.0,Athletics,17
669,1924,168.0,Boxing,1
670,1924,168.0,Cycling,2
671,1924,168.0,Diving,2
672,1924,168.0,Fencing,6
673,1924,168.0,Figure Skating,2
674,1924,168.0,Football,2
675,1924,168.0,Shooting,6
676,1924,168.0,Speed Skating,5
677,1924,168.0,Swimming,1
678,1924,168.0,Tennis,3
679,1924,169.0,Athletics,9
680,1924,169.0,Cross Country Skiing,2
681,1924,169.0,Diving,1
682,1924,169.0,Fencing,1
683,1924,169.0,Football,1
684,1924,169.0,Modern Pentathlon,1
685,1924,169.0,Shooting,2
686,1924,169.0,Wrestling,1
687,1924,170.0,Art Competitions,2
688,1924,170.0,Athletics,31
689,1924,170.0,Boxing,2
690,1924,170.0,Cross Country Skiing,1
691,1924,170.0,Curling,1
692,1924,170.0,Equestrianism,2
693,1924,170.0,Fencing,10
694,1924,170.0,Football,6
695,1924,170.0,Ice Hockey,4
696,1924,170.0,Modern Pentathlon,1
697,1924,170.0,Nordic Combined,1
698,1924,170.0,Rowing,3
699,1924,170.0,Rugby,1
700,1924,170.0,Shooting,5
701,1924,170.0,Speed Skating,3
702,1924,170.0,Swimming,7
703,1924,170.0,Weightlifting,1
704,1924,170.0,Wrestling,4
705,1924,171.0,Athletics,10
706,1924,171.0,Boxing,1
707,1924,171.0,Cross Country Skiing,2
708,1924,171.0,Diving,2
709,1924,171.0,Equestrianism,4
710,1924,171.0,Rugby,1
711,1924,171.0,Shooting,7
712,1924,171.0,Speed Skating,4
713,1924,171.0,Weightlifting,1
714,1924,172.0,Art Competitions,1
715,1924,172.0,Athletics,22
716,1924,172.0,Boxing,1
717,1924,172.0,Cross Country Skiing,4
718,1924,172.0,Cycling,4
719,1924,172.0,Equestrianism,9
720,1924,172.0,Fencing,1
721,1924,172.0,Football,4
722,1924,172.0,Nordic Combined,1
723,1924,172.0,Rowing,2
724,1924,172.0,Rugby,2
725,1924,172.0,Ski Jumping,1
726,1924,172.0,Speed Skating,5
727,1924,172.0,Weightlifting,1
728,1924,172.0,Wrestling,2
729,1924,173.0,Athletics,14
730,1924,173.0,Fencing,8
731,1924,173.0,Football,3
732,1924,173.0,Ice Hockey,2
733,1924,173.0,Modern Pentathlon,1
734,1924,173.0,Rowing,1
735,1924,173.0,Rugby,7
736,1924,173.0,Shooting,6
737,1924,173.0,Speed Skating,5
738,1924,173.0,Weightlifting,1
739,1924,173.0,Wrestling,3
740,1924,174.0,Athletics,22
741,1924,174.0,Boxing,1
742,1924,174.0,Cross Country Skiing,1
743,1924,174.0,Fencing,3
744,1924,174.0,Figure Skating,2
745,1924,174.0,Football,2
746,1924,174.0,Ice Hockey,1
747,1924,174.0,Shooting,1
748,1924,174.0,Wrestling,3
749,1924,175.0,Art Competitions,6
750,1924,175.0,Athletics,38
751,1924,175.0,Boxing,2
752,1924,175.0,Cross Country Skiing,1
753,1924,175.0,Cycling,2
754,1924,175.0,Diving,1
755,1924,175.0,Fencing,2
756,1924,175.0,Football,1
757,1924,175.0,Ice Hockey,1
758,1924,175.0,Rowing,1
759,1924,175.0,Rugby,1
760,1924,175.0,Shooting,1
761,1924,175.0,Swimming,1
762,1924,175.0,Tennis,3
763,1924,176.0,Athletics,10
764,1924,176.0,Cross Country Skiing,1
765,1924,176.0,Cycling,3
766,1924,176.0,Fencing,1
767,1924,176.0,Nordic Combined,1
768,1924,176.0,Speed Skating,3
769,1924,176.0,Weightlifting,1
770,1924,176.0,Wrestling,1
771,1924,177.0,Athletics,5
772,1924,177.0,Football,1
773,1924,177.0,Polo,1
774,1924,177.0,Rowing,2
775,1924,177.0,Rugby,1
776,1924,177.0,Sailing,1
777,1924,177.0,Shooting,1
778,1924,178.0,Athletics,22
779,1924,178.0,Boxing,3
780,1924,178.0,Cross Country Skiing,1
781,1924,178.0,Equestrianism,1
782,1924,178.0,Fencing,9
783,1924,178.0,Football,1
784,1924,178.0,Gymnastics,18
785,1924,178.0,Ice Hockey,4
786,1924,178.0,Nordic Combined,1
787,1924,178.0,Polo,1
788,1924,178.0,Rowing,6
789,1924,178.0,Rugby,1
790,1924,178.0,Shooting,2
791,1924,178.0,Ski Jumping,1
792,1924,178.0,Speed Skating,2
793,1924,178.0,Swimming,2
794,1924,178.0,Tennis,3
795,1924,178.0,Water Polo,1
796,1924,178.0,Weightlifting,1
797,1924,178.0,Wrestling,1
798,1924,179.0,Athletics,8
799,1924,179.0,Boxing,1
800,1924,179.0,Cross Country Skiing,1
801,1924,179.0,Equestrianism,2
802,1924,179.0,Football,1
803,1924,179.0,Nordic Combined,1
804,1924,179.0,Rowing,1
805,1924,179.0,Ski Jumping,1
806,1924,179.0,Wrestling,1
807,1924,180.0,Athletics,28
808,1924,180.0,Boxing,2
809,1924,180.0,Cross Country Skiing,2
810,1924,180.0,Cycling,2
811,1924,180.0,Diving,1
812,1924,180.0,Fencing,5
813,1924,180.0,Modern Pentathlon,1
814,1924,180.0,Nordic Combined,1
815,1924,180.0,Rowing,1
816,1924,180.0,Rugby,4
817,1924,180.0,Shooting,4
818,1924,180.0,Swimming,9
819,1924,180.0,Tennis,2
820,1924,180.0,Water Polo,1
821,1924,180.0,Wrestling,1
822,1924,181.0,Athletics,12
823,1924,181.0,Boxing,2
824,1924,181.0,Rugby,1
825,1924,182.0,Athletics,16
826,1924,182.0,Boxing,1
827,1924,182.0,Cycling,2
828,1924,182.0,Football,5
829,1924,182.0,Shooting,2
830,1924,182.0,Swimming,1
831,1924,182.0,Tennis,3
832,1924,183.0,Athletics,32
833,1924,183.0,Boxing,1
834,1924,183.0,Cycling,1
835,1924,183.0,Fencing,8
836,1924,183.0,Figure Skating,2
837,1924,183.0,Football,1
838,1924,183.0,Rowing,4
839,1924,183.0,Rugby,4
840,1924,183.0,Shooting,2
841,1924,183.0,Swimming,8
842,1924,183.0,Tennis,3
843,1924,183.0,Water Polo,2
844,1924,184.0,Athletics,13
845,1924,184.0,Cycling,2
846,1924,184.0,Fencing,4
