Gymnastics,1.0,1.0,3.0,36.0,322.0,918.0,1365.0,1209.0,1480.0,1622.0,1895.0,2073.0,2016.0,1942.0,2347.0,1631.0,1464.0,1144.0,967.0,777.0,647.0,419.0,294.0,227.0,244.0,139.0,116.0,62.0,72.0,23.0,25.0,12.0,17.0,7.0,8.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handball,,,,,1.0,1.0,2.0,11.0,33.0,51.0,129.0,201.0,255.0,306.0,328.0,324.0,330.0,335.0,301.0,254.0,178.0,169.0,143.0,95.0,59.0,45.0,37.0,16.0,13.0,10.0,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hockey,,,,,,1.0,7.0,25.0,54.0,134.0,228.0,310.0,387.0,478.0,554.0,501.0,471.0,443.0,400.0,319.0,251.0,205.0,147.0,112.0,68.0,41.0,30.0,18.0,10.0,4.0,5.0,5.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Hockey,,,,,,4.0,16.0,27.0,91.0,145.0,252.0,355.0,456.0,494.0,477.0,498.0,455.0,443.0,339.0,320.0,288.0,218.0,172.0,131.0,80.0,97.0,41.0,37.0,18.0,9.0,9.0,8.0,2.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeu De Paume,,,,,,,,,,1.0,,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judo,,,,,1.0,1.0,11.0,25.0,61.0,103.0,171.0,250.0,308.0,350.0,381.0,397.0,349.0,283.0,308.0,217.0,173.0,120.0,97.0,62.0,40.0,22.0,12.0,7.0,6.0,3.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacrosse,,,,,1.0,,,,,,1.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,,2.0,4.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luge,,,,,,1.0,11.0,23.0,41.0,76.0,132.0,136.0,146.0,129.0,149.0,106.0,89.0,91.0,84.0,53.0,42.0,38.0,32.0,18.0,14.0,15.0,21.0,4.0,6.0,3.0,7.0,,2.0,2.0,1.0,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Ski Patrol,,,,,,,,,,,2.0,4.0,2.0,1.0,2.0,4.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Pentathlon,,,,,,1.0,6.0,2.0,7.0,24.0,43.0,97.0,108.0,143.0,142.0,170.0,134.0,149.0,118.0,135.0,79.0,82.0,43.0,48.0,38.0,25.0,11.0,6.0,5.0,1.0,5.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorboating,,,,,,,,,,,,,,,,,3.0,1.0,,3.0,,2.0,,2.0,,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordic Combined,,,,,,1.0,5.0,25.0,30.0,65.0,72.0,118.0,139.0,154.0,142.0,118.0,106.0,101.0,84.0,51.0,32.0,18.0,25.0,18.0,9.0,6.0,10.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polo,,,,,,,,,,,,1.0,1.0,,4.0,,2.0,1.0,5.0,2.0,4.0,5.0,7.0,8.0,3.0,6.0,2.0,6.0,6.0,5.0,4.0,3.0,1.0,3.0,4.0,,1.0,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racquets,,,,,,,,,,1.0,,2.0,,1.0,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhythmic Gymnastics,,,,1.0,7.0,39.0,77.0,90.0,127.0,103.0,71.0,55.0,34.0,23.0,15.0,8.0,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
Rowing,,1.0,4.0,12.0,23.0,23.0,36.0,39.0,107.0,304.0,533.0,811.0,941.0,954.0,960.0,988.0,923.0,742.0,617.0,515.0,412.0,290.0,214.0,163.0,141.0,88.0,57.0,49.0,33.0,22.0,20.0,12.0,7.0,2.0,6.0,4.0,3.0,1.0,2.0,,1.0,3.0,1.0,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Rugby,,,,,,,,,1.0,1.0,9.0,15.0,9.0,17.0,13.0,14.0,11.0,5.0,4.0,7.0,3.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rugby Sevens,,,,,,,,,2.0,6.0,11.0,10.0,25.0,29.0,33.0,28.0,26.0,22.0,31.0,20.0,15.0,13.0,10.0,8.0,7.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sailing,,,,1.0,1.0,6.0,16.0,33.0,59.0,102.0,150.0,208.0,261.0,318.0,384.0,401.0,371.0,402.0,374.0,332.0,322.0,291.0,261.0,224.0,235.0,186.0,184.0,139.0,122.0,112.0,124.0,82.0,80.0,71.0,85.0,41.0,40.0,42.0,34.0,30.0,31.0,20.0,21.0,14.0,16.0,14.0,14.0,2.0,6.0,11.0,10.0,4.0,5.0,,,,1.0,,,,2.0,6.0,,,,,,,,,,,,
Shooting,,,,,,2.0,21.0,46.0,64.0,120.0,169.0,251.0,258.0,325.0,367.0,411.0,437.0,433.0,493.0,429.0,421.0,463.0,536.0,475.0,467.0,473.0,416.0,372.0,343.0,383.0,312.0,304.0,241.0,266.0,202.0,171.0,144.0,126.0,128.0,94.0,84.0,66.0,77.0,35.0,46.0,20.0,37.0,23.0,6.0,13.0,22.0,6.0,6.0,4.0,6.0,5.0,3.0,,1.0,,1.0,,3.0,,,,,,,,,,,
Short Track Speed Skating,,,,1.0,3.0,13.0,23.0,65.0,94.0,133.0,132.0,145.0,139.0,151.0,158.0,120.0,85.0,79.0,57.0,64.0,34.0,17.0,10.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton,,,,,,,,,2.0,4.0,5.0,7.0,3.0,6.0,11.0,15.0,13.0,10.0,11.0,17.0,13.0,9.0,12.0,10.0,7.0,9.0,4.0,6.0,7.0,3.0,1.0,5.0,,,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ski Jumping,,,,,3.0,9.0,41.0,60.0,130.0,172.0,198.0,232.0,244.0,225.0,228.0,202.0,142.0,143.0,118.0,78.0,37.0,44.0,26.0,14.0,12.0,8.0,5.0,8.0,2.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowboarding,,,,,1.0,3.0,9.0,16.0,40.0,42.0,66.0,59.0,82.0,78.0,87.0,57.0,76.0,78.0,49.0,43.0,32.0,34.0,18.0,24.0,13.0,13.0,6.0,6.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softball,,,,,,,,2.0,5.0,8.0,15.0,26.0,26.0,40.0,58.0,37.0,59.0,47.0,34.0,24.0,23.0,17.0,14.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed Skating,,,,2.0,12.0,23.0,32.0,105.0,162.0,265.0,403.0,506.0,515.0,554.0,608.0,449.0,409.0,386.0,327.0,209.0,168.0,147.0,81.0,78.0,52.0,36.0,11.0,18.0,11.0,8.0,5.0,4.0,2.0,,,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimming,,4.0,21.0,110.0,384.0,882.0,1497.0,1965.0,2377.0,2546.0,2261.0,2345.0,2015.0,1698.0,1326.0,965.0,691.0,561.0,361.0,239.0,151.0,91.0,66.0,40.0,27.0,16.0,14.0,5.0,4.0,1.0,3.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synchronized Swimming,,,,,,8.0,14.0,30.0,60.0,67.0,93.0,115.0,114.0,98.0,78.0,79.0,55.0,29.0,21.0,19.0,7.0,10.0,3.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Tennis,,,,,,5.0,23.0,20.0,38.0,93.0,94.0,111.0,113.0,145.0,157.0,139.0,123.0,151.0,123.0,99.0,88.0,79.0,72.0,56.0,35.0,49.0,27.0,25.0,17.0,17.0,10.0,10.0,8.0,10.0,2.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taekwondo,,,,,,,4.0,15.0,28.0,28.0,55.0,51.0,54.0,52.0,58.0,53.0,43.0,40.0,41.0,24.0,16.0,12.0,16.0,8.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennis,,,,1.0,2.0,7.0,6.0,33.0,76.0,109.0,125.0,174.0,219.0,234.0,224.0,214.0,213.0,192.0,189.0,151.0,112.0,96.0,71.0,60.0,56.0,32.0,43.0,29.0,12.0,17.0,18.0,1.0,6.0,7.0,7.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trampolining,,,,,,,,,7.0,10.0,12.0,4.0,8.0,24.0,11.0,8.0,10.0,15.0,9.0,4.0,11.0,8.0,2.0,2.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triathlon,,,,,,,,,3.0,2.0,10.0,22.0,22.0,24.0,34.0,43.0,44.0,46.0,45.0,51.0,47.0,33.0,28.0,18.0,24.0,13.0,9.0,6.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tug-Of-War,,,,,,,,1.0,,1.0,3.0,6.0,6.0,10.0,8.0,4.0,7.0,8.0,3.0,14.0,7.0,4.0,3.0,10.0,7.0,1.0,4.0,4.0,5.0,,4.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volleyball,,,,,,2.0,6.0,28.0,71.0,104.0,169.0,232.0,297.0,337.0,343.0,331.0,313.0,285.0,206.0,161.0,166.0,96.0,83.0,54.0,44.0,25.0,20.0,7.0,8.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Polo,,,,,1.0,2.0,4.0,30.0,73.0,115.0,184.0,253.0,285.0,313.0,327.0,326.0,276.0,288.0,248.0,229.0,164.0,137.0,118.0,95.0,66.0,32.0,30.0,21.0,12.0,7.0,3.0,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weightlifting,,,,,,2.0,7.0,37.0,63.0,121.0,165.0,248.0,316.0,386.0,355.0,313.0,322.0,311.0,248.0,194.0,165.0,127.0,106.0,76.0,45.0,36.0,30.0,16.0,15.0,5.0,12.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,,,,,,1.0,7.0,26.0,87.0,145.0,281.0,407.0,539.0,614.0,646.0,644.0,624.0,544.0,467.0,431.0,316.0,240.0,209.0,134.0,107.0,67.0,51.0,30.0,18.0,14.0,7.0,5.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
